# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Temperature_C,CTE_1e-6_per_K,Thermal_Conductivity_W_per_mK,Specific_Heat_Capacity_J_per_kgK,Elastic_Modulus_GPa,Poissons_Ratio,Density_kg_per_m3
25,10.025,1.98,803.75,89.375,0.24,2800
50,10.05,1.96,807.5,88.75,0.24,2800
75,10.075,1.94,811.25,88.125,0.24,2800
100,10.1,1.92,815.0,87.5,0.24,2800
125,10.125,1.9,818.75,86.875,0.24,2800
150,10.15,1.88,822.5,86.25,0.24,2800
175,10.175,1.86,826.25,85.625,0.24,2800
200,10.2,1.8399999999999999,830.0,85.0,0.24,2800
225,10.225,1.82,833.75,84.375,0.24,2800
250,10.25,1.8,837.5,83.75,0.24,2800
275,10.275,1.78,841.25,83.125,0.24,2800
300,10.3,1.76,845.0,82.5,0.24,2800
325,10.325,1.74,848.75,81.875,0.24,2800
350,10.35,1.72,852.5,81.25,0.24,2800
375,10.375,1.7,856.25,80.625,0.24,2800
400,10.4,1.68,860.0,80.0,0.24,2800
425,10.425,1.66,863.75,79.375,0.24,2800
450,10.45,1.64,867.5,78.75,0.24,2800
475,10.475,1.62,871.25,78.125,0.24,2800
500,10.5,1.6,875.0,77.5,0.24,2800
525,10.525,1.58,878.75,76.875,0.24,2800
550,10.55,1.56,882.5,76.25,0.24,2800
575,10.575,1.54,886.25,75.625,0.24,2800
600,10.6,1.52,890.0,75.0,0.24,2800
625,10.625,1.5,893.75,74.375,0.24,2800
650,10.65,1.48,897.5,73.75,0.24,2800
675,10.675,1.46,901.25,73.125,0.24,2800
700,10.7,1.44,905.0,72.5,0.24,2800
725,10.725,1.42,908.75,71.875,0.24,2800
750,10.75,1.4,912.5,71.25,0.24,2800
775,10.775,1.38,916.25,70.625,0.24,2800
800,10.8,1.3599999999999999,920.0,70.0,0.24,2800
825,10.825,1.3399999999999999,923.75,69.375,0.24,2800
850,10.85,1.3199999999999998,927.5,68.75,0.24,2800
875,10.875,1.2999999999999998,931.25,68.125,0.24,2800
900,10.9,1.2799999999999998,935.0,67.5,0.24,2800
925,10.925,1.2599999999999998,938.75,66.875,0.24,2800
950,10.95,1.24,942.5,66.25,0.24,2800
975,10.975,1.22,946.25,65.625,0.24,2800
1000,11.0,1.2,950.0,65.0,0.24,2800
