# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Material,Temperature_C,Fracture_Toughness_MPa_sqrt_m,Flexural_Strength_MPa,Vickers_Hardness_GPa,Creep_Rate_1_per_s
YSZ,25,1.9925,347.375,12.918750000000001,1.45e-12
YSZ,200,1.94,329.0,12.35,2.01e-11
YSZ,400,1.88,308.0,11.700000000000001,4.03e-10
YSZ,600,1.82,287.0,11.049999999999999,8.10e-09
YSZ,800,1.76,266.0,10.4,1.63e-07
YSZ,1000,1.7,244.99999999999997,9.75,3.27e-06
Ni-YSZ,25,3.486875,198.5,7.95,1.45e-11
Ni-YSZ,200,3.395,188.0,7.6,2.01e-10
Ni-YSZ,400,3.29,176.0,7.2,4.03e-09
Ni-YSZ,600,3.185,164.0,6.8,8.10e-08
Ni-YSZ,800,3.08,152.0,6.4,1.63e-06
Ni-YSZ,1000,2.975,140.0,6.0,3.27e-05
LSM,25,1.79325,148.875,6.95625,1.45e-11
LSM,200,1.746,141.0,6.6499999999999995,2.01e-10
LSM,400,1.692,132.0,6.3,4.03e-09
LSM,600,1.6380000000000001,123.00000000000001,5.95,8.10e-08
LSM,800,1.584,114.0,5.6000000000000005,1.63e-06
LSM,1000,1.53,105.0,5.25,3.27e-05
LSCF,25,1.494375,119.10000000000001,5.9625,1.45e-10
LSCF,200,1.455,112.8,5.699999999999999,2.01e-09
LSCF,400,1.41,105.6,5.4,4.03e-08
LSCF,600,1.365,98.4,5.1,8.10e-07
LSCF,800,1.32,91.2,4.800000000000001,1.63e-05
LSCF,1000,1.275,84.0,4.5,3.27e-04
Crofer_22_APU,25,24.90625,496.25,2.484375,1.45e-13
Crofer_22_APU,200,24.25,470.0,2.375,2.01e-12
Crofer_22_APU,400,23.5,440.0,2.25,4.03e-11
Crofer_22_APU,600,22.75,410.00000000000006,2.125,8.10e-10
Crofer_22_APU,800,22.0,380.0,2.0,1.63e-08
Crofer_22_APU,1000,21.25,350.0,1.875,3.27e-07
Glass-Ceramic,25,1.1955,79.4,4.96875,1.45e-09
Glass-Ceramic,200,1.164,75.19999999999999,4.75,2.01e-08
Glass-Ceramic,400,1.128,70.4,4.5,4.03e-07
Glass-Ceramic,600,1.092,65.60000000000001,4.25,8.10e-06
Glass-Ceramic,800,1.056,60.8,4.0,1.63e-04
Glass-Ceramic,1000,1.02,56.0,3.75,3.27e-03
