# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Temperature_C,CTE_1e-6_per_K,Thermal_Conductivity_W_per_mK,Specific_Heat_Capacity_J_per_kgK,Elastic_Modulus_GPa,Poissons_Ratio,Density_kg_per_m3
25,15.025,2.98,422.375,177.875,0.3,6800
50,15.05,2.96,424.75,175.75,0.3,6800
75,15.075,2.94,427.125,173.625,0.3,6800
100,15.1,2.92,429.5,171.5,0.3,6800
125,15.125,2.9,431.875,169.375,0.3,6800
150,15.15,2.88,434.25,167.25,0.3,6800
175,15.175,2.86,436.625,165.125,0.3,6800
200,15.2,2.84,439.0,163.0,0.3,6800
225,15.225,2.82,441.375,160.875,0.3,6800
250,15.25,2.8,443.75,158.75,0.3,6800
275,15.275,2.78,446.125,156.625,0.3,6800
300,15.3,2.76,448.5,154.5,0.3,6800
325,15.325,2.74,450.875,152.375,0.3,6800
350,15.35,2.72,453.25,150.25,0.3,6800
375,15.375,2.7,455.625,148.125,0.3,6800
400,15.4,2.6799999999999997,458.0,146.0,0.3,6800
425,15.425,2.66,460.375,143.875,0.3,6800
450,15.45,2.64,462.75,141.75,0.3,6800
475,15.475,2.62,465.125,139.625,0.3,6800
500,15.5,2.6,467.5,137.5,0.3,6800
525,15.525,2.58,469.875,135.375,0.3,6800
550,15.55,2.56,472.25,133.25,0.3,6800
575,15.575,2.54,474.625,131.125,0.3,6800
600,15.6,2.52,477.0,129.0,0.3,6800
625,15.625,2.5,479.375,126.875,0.3,6800
650,15.65,2.48,481.75,124.75,0.3,6800
675,15.675,2.46,484.125,122.625,0.3,6800
700,15.7,2.44,486.5,120.5,0.3,6800
725,15.725,2.42,488.875,118.375,0.3,6800
750,15.75,2.4,491.25,116.25,0.3,6800
775,15.775,2.38,493.625,114.125,0.3,6800
800,15.8,2.36,496.0,112.0,0.3,6800
825,15.825,2.34,498.375,109.875,0.3,6800
850,15.85,2.32,500.75,107.75,0.3,6800
875,15.875,2.3,503.125,105.625,0.3,6800
900,15.9,2.28,505.5,103.5,0.3,6800
925,15.925,2.26,507.875,101.375,0.3,6800
950,15.95,2.24,510.25,99.25,0.3,6800
975,15.975,2.2199999999999998,512.625,97.125,0.3,6800
1000,16.0,2.2,515.0,95.0,0.3,6800
