# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Temperature_C,CTE_1e-6_per_K,Thermal_Conductivity_W_per_mK,Specific_Heat_Capacity_J_per_kgK,Elastic_Modulus_GPa,Poissons_Ratio,Density_kg_per_m3
25,11.5125,2.98,402.25,197.75,0.27,6500
50,11.525,2.96,404.5,195.5,0.27,6500
75,11.5375,2.94,406.75,193.25,0.27,6500
100,11.55,2.92,409.0,191.0,0.27,6500
125,11.5625,2.9,411.25,188.75,0.27,6500
150,11.575,2.88,413.5,186.5,0.27,6500
175,11.5875,2.86,415.75,184.25,0.27,6500
200,11.6,2.84,418.0,182.0,0.27,6500
225,11.6125,2.82,420.25,179.75,0.27,6500
250,11.625,2.8,422.5,177.5,0.27,6500
275,11.6375,2.78,424.75,175.25,0.27,6500
300,11.65,2.76,427.0,173.0,0.27,6500
325,11.6625,2.74,429.25,170.75,0.27,6500
350,11.675,2.72,431.5,168.5,0.27,6500
375,11.6875,2.7,433.75,166.25,0.27,6500
400,11.7,2.6799999999999997,436.0,164.0,0.27,6500
425,11.7125,2.66,438.25,161.75,0.27,6500
450,11.725,2.64,440.5,159.5,0.27,6500
475,11.7375,2.62,442.75,157.25,0.27,6500
500,11.75,2.6,445.0,155.0,0.27,6500
525,11.7625,2.58,447.25,152.75,0.27,6500
550,11.775,2.56,449.5,150.5,0.27,6500
575,11.7875,2.54,451.75,148.25,0.27,6500
600,11.8,2.52,454.0,146.0,0.27,6500
625,11.8125,2.5,456.25,143.75,0.27,6500
650,11.825,2.48,458.5,141.5,0.27,6500
675,11.8375,2.46,460.75,139.25,0.27,6500
700,11.85,2.44,463.0,137.0,0.27,6500
725,11.8625,2.42,465.25,134.75,0.27,6500
750,11.875,2.4,467.5,132.5,0.27,6500
775,11.8875,2.38,469.75,130.25,0.27,6500
800,11.9,2.36,472.0,128.0,0.27,6500
825,11.9125,2.34,474.25,125.75,0.27,6500
850,11.925,2.32,476.5,123.5,0.27,6500
875,11.9375,2.3,478.75,121.25,0.27,6500
900,11.95,2.28,481.0,119.0,0.27,6500
925,11.9625,2.26,483.25,116.75,0.27,6500
950,11.975,2.24,485.5,114.5,0.27,6500
975,11.9875,2.2199999999999998,487.75,112.25,0.27,6500
1000,12.0,2.2,490.0,110.0,0.27,6500
