# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Temperature_C,CTE_1e-6_per_K,Thermal_Conductivity_W_per_mK,Specific_Heat_Capacity_J_per_kgK,Elastic_Modulus_GPa,Poissons_Ratio,Density_kg_per_m3
25,12.5125,11.9,453.0,197.75,0.32,6200
50,12.525,11.8,456.0,195.5,0.32,6200
75,12.5375,11.7,459.0,193.25,0.32,6200
100,12.55,11.6,462.0,191.0,0.32,6200
125,12.5625,11.5,465.0,188.75,0.32,6200
150,12.575,11.4,468.0,186.5,0.32,6200
175,12.5875,11.3,471.0,184.25,0.32,6200
200,12.6,11.2,474.0,182.0,0.32,6200
225,12.6125,11.1,477.0,179.75,0.32,6200
250,12.625,11.0,480.0,177.5,0.32,6200
275,12.6375,10.9,483.0,175.25,0.32,6200
300,12.65,10.8,486.0,173.0,0.32,6200
325,12.6625,10.7,489.0,170.75,0.32,6200
350,12.675,10.6,492.0,168.5,0.32,6200
375,12.6875,10.5,495.0,166.25,0.32,6200
400,12.7,10.4,498.0,164.0,0.32,6200
425,12.7125,10.3,501.0,161.75,0.32,6200
450,12.725,10.2,504.0,159.5,0.32,6200
475,12.7375,10.1,507.0,157.25,0.32,6200
500,12.75,10.0,510.0,155.0,0.32,6200
525,12.7625,9.9,513.0,152.75,0.32,6200
550,12.775,9.8,516.0,150.5,0.32,6200
575,12.7875,9.7,519.0,148.25,0.32,6200
600,12.8,9.6,522.0,146.0,0.32,6200
625,12.8125,9.5,525.0,143.75,0.32,6200
650,12.825,9.4,528.0,141.5,0.32,6200
675,12.8375,9.3,531.0,139.25,0.32,6200
700,12.85,9.2,534.0,137.0,0.32,6200
725,12.8625,9.1,537.0,134.75,0.32,6200
750,12.875,9.0,540.0,132.5,0.32,6200
775,12.8875,8.9,543.0,130.25,0.32,6200
800,12.9,8.8,546.0,128.0,0.32,6200
825,12.9125,8.7,549.0,125.75,0.32,6200
850,12.925,8.6,552.0,123.5,0.32,6200
875,12.9375,8.5,555.0,121.25,0.32,6200
900,12.95,8.4,558.0,119.0,0.32,6200
925,12.9625,8.3,561.0,116.75,0.32,6200
950,12.975,8.2,564.0,114.5,0.32,6200
975,12.9875,8.1,567.0,112.25,0.32,6200
1000,13.0,8.0,570.0,110.0,0.32,6200
