# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Time_hours,ASR_Ohm_cm2,Temperature_C,Condition
0.0,0.1500,800,steady_state
50.5,0.1515,800,steady_state
101.0,0.1530,800,steady_state
101.0,0.1873,800,after_cycling
151.5,0.1545,800,steady_state
151.5,0.1909,800,after_cycling
202.0,0.1561,800,steady_state
202.0,0.1945,800,after_cycling
252.5,0.1576,800,steady_state
252.5,0.1982,800,after_cycling
303.0,0.1591,800,steady_state
303.0,0.2018,800,after_cycling
353.5,0.1606,800,steady_state
353.5,0.2055,800,after_cycling
404.0,0.1621,800,steady_state
404.0,0.2091,800,after_cycling
454.5,0.1636,800,steady_state
454.5,0.2127,800,after_cycling
505.1,0.1652,800,steady_state
505.1,0.2164,800,after_cycling
555.6,0.1667,800,steady_state
555.6,0.2200,800,after_cycling
606.1,0.1682,800,steady_state
606.1,0.2236,800,after_cycling
656.6,0.1697,800,steady_state
656.6,0.2273,800,after_cycling
707.1,0.1712,800,steady_state
707.1,0.2309,800,after_cycling
757.6,0.1727,800,steady_state
757.6,0.2345,800,after_cycling
808.1,0.1742,800,steady_state
808.1,0.2382,800,after_cycling
858.6,0.1758,800,steady_state
858.6,0.2418,800,after_cycling
909.1,0.1773,800,steady_state
909.1,0.2455,800,after_cycling
959.6,0.1788,800,steady_state
959.6,0.2491,800,after_cycling
1010.1,0.1803,800,steady_state
1010.1,0.2527,800,after_cycling
1060.6,0.1818,800,steady_state
1060.6,0.2564,800,after_cycling
1111.1,0.1833,800,steady_state
1111.1,0.2600,800,after_cycling
1161.6,0.1848,800,steady_state
1161.6,0.2636,800,after_cycling
1212.1,0.1864,800,steady_state
1212.1,0.2673,800,after_cycling
1262.6,0.1879,800,steady_state
1262.6,0.2709,800,after_cycling
1313.1,0.1894,800,steady_state
1313.1,0.2745,800,after_cycling
1363.6,0.1909,800,steady_state
1363.6,0.2782,800,after_cycling
1414.1,0.1924,800,steady_state
1414.1,0.2818,800,after_cycling
1464.6,0.1939,800,steady_state
1464.6,0.2855,800,after_cycling
1515.2,0.1955,800,steady_state
1515.2,0.2891,800,after_cycling
1565.7,0.1970,800,steady_state
1565.7,0.2927,800,after_cycling
1616.2,0.1985,800,steady_state
1616.2,0.2964,800,after_cycling
1666.7,0.2000,800,steady_state
1666.7,0.3000,800,after_cycling
1717.2,0.2015,800,steady_state
1717.2,0.3036,800,after_cycling
1767.7,0.2030,800,steady_state
1767.7,0.3073,800,after_cycling
1818.2,0.2045,800,steady_state
1818.2,0.3109,800,after_cycling
1868.7,0.2061,800,steady_state
1868.7,0.3145,800,after_cycling
1919.2,0.2076,800,steady_state
1919.2,0.3182,800,after_cycling
1969.7,0.2091,800,steady_state
1969.7,0.3218,800,after_cycling
2020.2,0.2106,800,steady_state
2020.2,0.3255,800,after_cycling
2070.7,0.2121,800,steady_state
2070.7,0.3291,800,after_cycling
2121.2,0.2136,800,steady_state
2121.2,0.3327,800,after_cycling
2171.7,0.2152,800,steady_state
2171.7,0.3364,800,after_cycling
2222.2,0.2167,800,steady_state
2222.2,0.3400,800,after_cycling
2272.7,0.2182,800,steady_state
2272.7,0.3436,800,after_cycling
2323.2,0.2197,800,steady_state
2323.2,0.3473,800,after_cycling
2373.7,0.2212,800,steady_state
2373.7,0.3509,800,after_cycling
2424.2,0.2227,800,steady_state
2424.2,0.3545,800,after_cycling
2474.7,0.2242,800,steady_state
2474.7,0.3582,800,after_cycling
2525.3,0.2258,800,steady_state
2525.3,0.3618,800,after_cycling
2575.8,0.2273,800,steady_state
2575.8,0.3655,800,after_cycling
2626.3,0.2288,800,steady_state
2626.3,0.3691,800,after_cycling
2676.8,0.2303,800,steady_state
2676.8,0.3727,800,after_cycling
2727.3,0.2318,800,steady_state
2727.3,0.3764,800,after_cycling
2777.8,0.2333,800,steady_state
2777.8,0.3800,800,after_cycling
2828.3,0.2348,800,steady_state
2828.3,0.3836,800,after_cycling
2878.8,0.2364,800,steady_state
2878.8,0.3873,800,after_cycling
2929.3,0.2379,800,steady_state
2929.3,0.3909,800,after_cycling
2979.8,0.2394,800,steady_state
2979.8,0.3945,800,after_cycling
