# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Current_Density_A_per_cm2,Voltage_V_600C,Voltage_V_650C,Voltage_V_700C,Voltage_V_750C,Voltage_V_800C,Power_Density_W_per_cm2_600C,Power_Density_W_per_cm2_650C,Power_Density_W_per_cm2_700C,Power_Density_W_per_cm2_750C,Power_Density_W_per_cm2_800C
0.0000,1.1500,1.1400,1.1300,1.1200,1.1100,0.0000,0.0000,0.0000,0.0000,0.0000
0.0408,1.1295,1.1215,1.1136,1.1056,1.0977,0.0461,0.0458,0.0455,0.0451,0.0448
0.0816,1.1089,1.1029,1.0970,1.0911,1.0852,0.0905,0.0900,0.0896,0.0891,0.0886
0.1224,1.0880,1.0841,1.0803,1.0764,1.0725,0.1332,0.1327,0.1323,0.1318,0.1313
0.1633,1.0670,1.0652,1.0634,1.0615,1.0597,0.1742,0.1739,0.1736,0.1733,0.1730
0.2041,1.0459,1.0461,1.0463,1.0465,1.0467,0.2134,0.2135,0.2135,0.2136,0.2136
0.2449,1.0246,1.0268,1.0290,1.0313,1.0335,0.2509,0.2515,0.2520,0.2526,0.2531
0.2857,1.0031,1.0073,1.0116,1.0159,1.0202,0.2866,0.2878,0.2890,0.2903,0.2915
0.3265,0.9814,0.9877,0.9941,1.0004,1.0067,0.3205,0.3225,0.3246,0.3267,0.3287
0.3673,0.9596,0.9679,0.9763,0.9847,0.9930,0.3525,0.3556,0.3586,0.3617,0.3648
0.4082,0.9376,0.9480,0.9584,0.9688,0.9792,0.3827,0.3869,0.3912,0.3954,0.3997
0.4490,0.9154,0.9279,0.9403,0.9528,0.9652,0.4110,0.4166,0.4222,0.4278,0.4334
0.4898,0.8931,0.9076,0.9221,0.9366,0.9511,0.4374,0.4445,0.4516,0.4587,0.4658
0.5306,0.8706,0.8871,0.9037,0.9202,0.9367,0.4620,0.4707,0.4795,0.4883,0.4970
0.5714,0.8480,0.8665,0.8851,0.9037,0.9222,0.4846,0.4951,0.5058,0.5164,0.5270
0.6122,0.8251,0.8457,0.8664,0.8870,0.9076,0.5052,0.5178,0.5304,0.5431,0.5557
0.6531,0.8021,0.8248,0.8475,0.8701,0.8928,0.5238,0.5386,0.5535,0.5682,0.5831
0.6939,0.7790,0.8037,0.8284,0.8531,0.8778,0.5405,0.5577,0.5748,0.5919,0.6091
0.7347,0.7557,0.7824,0.8091,0.8359,0.8626,0.5552,0.5748,0.5944,0.6141,0.6337
0.7755,0.7322,0.7609,0.7897,0.8185,0.8473,0.5678,0.5901,0.6124,0.6348,0.6571
0.8163,0.7085,0.7393,0.7701,0.8010,0.8318,0.5784,0.6035,0.6287,0.6539,0.6790
0.8571,0.6847,0.7176,0.7504,0.7833,0.8161,0.5869,0.6151,0.6432,0.6714,0.6995
0.8980,0.6607,0.6956,0.7305,0.7654,0.8003,0.5933,0.6246,0.6560,0.6873,0.7186
0.9388,0.6365,0.6735,0.7104,0.7474,0.7843,0.5975,0.6323,0.6669,0.7016,0.7363
