# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Two_Theta_degrees,Intensity_counts,Material,Temperature_C,Phase_ID
20.00,100,YSZ,800,Background
20.10,100,YSZ,800,Background
20.20,100,YSZ,800,Background
20.30,100,YSZ,800,Background
20.40,100,YSZ,800,Background
20.50,100,YSZ,800,Background
20.60,100,YSZ,800,Background
20.70,100,YSZ,800,Background
20.80,100,YSZ,800,Background
20.90,100,YSZ,800,Background
21.00,100,YSZ,800,Background
21.10,100,YSZ,800,Background
21.20,100,YSZ,800,Background
21.30,100,YSZ,800,Background
21.40,100,YSZ,800,Background
21.50,100,YSZ,800,Background
21.60,100,YSZ,800,Background
21.70,100,YSZ,800,Background
21.80,100,YSZ,800,Background
21.90,100,YSZ,800,Background
22.00,100,YSZ,800,Background
22.10,100,YSZ,800,Background
22.20,100,YSZ,800,Background
22.30,100,YSZ,800,Background
22.40,100,YSZ,800,Background
22.50,100,YSZ,800,Background
22.60,100,YSZ,800,Background
22.70,100,YSZ,800,Background
22.80,100,YSZ,800,Background
22.90,100,YSZ,800,Background
23.01,100,YSZ,800,Background
23.11,100,YSZ,800,Background
23.21,100,YSZ,800,Background
23.31,100,YSZ,800,Background
23.41,100,YSZ,800,Background
23.51,100,YSZ,800,Background
23.61,100,YSZ,800,Background
23.71,100,YSZ,800,Background
23.81,100,YSZ,800,Background
23.91,100,YSZ,800,Background
24.01,100,YSZ,800,Background
24.11,100,YSZ,800,Background
24.21,100,YSZ,800,Background
24.31,100,YSZ,800,Background
24.41,100,YSZ,800,Background
24.51,100,YSZ,800,Background
24.61,100,YSZ,800,Background
24.71,100,YSZ,800,Background
24.81,100,YSZ,800,Background
24.91,100,YSZ,800,Background
25.01,100,YSZ,800,Background
25.11,100,YSZ,800,Background
25.21,100,YSZ,800,Background
25.31,100,YSZ,800,Background
25.41,100,YSZ,800,Background
25.51,100,YSZ,800,Background
25.61,100,YSZ,800,Background
25.71,100,YSZ,800,Background
25.81,100,YSZ,800,Background
25.91,100,YSZ,800,Background
26.01,100,YSZ,800,Background
26.11,100,YSZ,800,Background
26.21,100,YSZ,800,Background
26.31,100,YSZ,800,Background
26.41,100,YSZ,800,Background
26.51,100,YSZ,800,Background
26.61,100,YSZ,800,Background
26.71,100,YSZ,800,Background
26.81,100,YSZ,800,Background
26.91,100,YSZ,800,Background
27.01,100,YSZ,800,Background
27.11,100,YSZ,800,Background
27.21,100,YSZ,800,Background
27.31,100,YSZ,800,Background
27.41,100,YSZ,800,Background
27.51,100,YSZ,800,Background
27.61,100,YSZ,800,Background
27.71,100,YSZ,800,Background
27.81,100,YSZ,800,Background
27.91,100,YSZ,800,Background
28.01,100,YSZ,800,Background
28.11,100,YSZ,800,Background
28.21,100,YSZ,800,Background
28.31,100,YSZ,800,Background
28.41,100,YSZ,800,Background
28.51,100,YSZ,800,Background
28.61,100,YSZ,800,Background
28.71,100,YSZ,800,Background
28.81,100,YSZ,800,Background
28.91,100,YSZ,800,Background
29.02,100,YSZ,800,Background
29.12,100,YSZ,800,Background
29.22,100,YSZ,800,Background
29.32,100,YSZ,800,Background
29.42,100,YSZ,800,Background
29.52,100,YSZ,800,Background
29.62,100,YSZ,800,Background
29.72,114,YSZ,800,Background
29.82,226,YSZ,800,Background
29.92,770,YSZ,800,Background
30.02,2258,YSZ,800,YSZ_Peak_30.2
30.12,4306,YSZ,800,YSZ_Peak_30.2
30.22,5063,YSZ,800,YSZ_Peak_30.2
30.32,3646,YSZ,800,YSZ_Peak_30.2
30.42,1634,YSZ,800,YSZ_Peak_30.2
30.52,502,YSZ,800,Background
30.62,163,YSZ,800,Background
30.72,100,YSZ,800,Background
30.82,100,YSZ,800,Background
30.92,100,YSZ,800,Background
31.02,100,YSZ,800,Background
31.12,100,YSZ,800,Background
31.22,100,YSZ,800,Background
31.32,100,YSZ,800,Background
31.42,100,YSZ,800,Background
31.52,100,YSZ,800,Background
31.62,100,YSZ,800,Background
31.72,100,YSZ,800,Background
31.82,100,YSZ,800,Background
31.92,100,YSZ,800,Background
32.02,100,YSZ,800,Background
32.12,100,YSZ,800,Background
32.22,100,YSZ,800,Background
32.32,100,YSZ,800,Background
32.42,100,YSZ,800,Background
32.52,100,YSZ,800,Background
32.62,100,YSZ,800,Background
32.72,100,YSZ,800,Background
32.82,100,YSZ,800,Background
32.92,100,YSZ,800,Background
33.02,100,YSZ,800,Background
33.12,100,YSZ,800,Background
33.22,100,YSZ,800,Background
33.32,100,YSZ,800,Background
33.42,100,YSZ,800,Background
33.52,100,YSZ,800,Background
33.62,100,YSZ,800,Background
33.72,100,YSZ,800,Background
33.82,100,YSZ,800,Background
33.92,100,YSZ,800,Background
34.02,100,YSZ,800,Background
34.12,100,YSZ,800,Background
34.22,100,YSZ,800,Background
34.32,100,YSZ,800,Background
34.42,100,YSZ,800,Background
34.52,100,YSZ,800,Background
34.62,117,YSZ,800,Background
34.72,247,YSZ,800,Background
34.82,851,YSZ,800,Background
34.92,2422,YSZ,800,YSZ_Peak_35.1
35.03,4444,YSZ,800,YSZ_Peak_35.1
35.13,5021,YSZ,800,YSZ_Peak_35.1
35.23,3475,YSZ,800,YSZ_Peak_35.1
35.33,1501,YSZ,800,YSZ_Peak_35.1
35.43,452,YSZ,800,Background
35.53,153,YSZ,800,Background
35.63,100,YSZ,800,Background
35.73,100,YSZ,800,Background
35.83,100,YSZ,800,Background
