# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
X_mm,Y_mm,Weibull_Modulus,Characteristic_Strength_MPa,Applied_Stress_MPa,Failure_Probability,Component
0.00,0.00,8,200,151.02,0.100273,anode
0.00,11.11,8,200,140.49,0.057559,anode
0.00,22.22,8,200,131.71,0.034760,anode
0.00,33.33,8,200,125.29,0.023443,anode
0.00,44.44,8,200,121.87,0.018826,anode
0.00,55.56,8,200,121.87,0.018826,anode
0.00,66.67,8,200,125.29,0.023443,anode
0.00,77.78,8,200,131.71,0.034760,anode
0.00,88.89,8,200,140.49,0.057559,anode
0.00,100.00,8,200,151.02,0.100273,anode
11.11,0.00,8,200,140.49,0.057559,anode
11.11,11.11,8,200,128.57,0.028740,anode
11.11,22.22,8,200,118.27,0.014845,anode
11.11,33.33,8,200,110.44,0.008610,anode
11.11,44.44,8,200,106.12,0.006263,anode
11.11,55.56,8,200,106.12,0.006263,anode
11.11,66.67,8,200,110.44,0.008610,anode
11.11,77.78,8,200,118.27,0.014845,anode
11.11,88.89,8,200,128.57,0.028740,anode
11.11,100.00,8,200,140.49,0.057559,anode
22.22,0.00,8,200,131.71,0.034760,anode
22.22,11.11,8,200,118.27,0.014845,anode
22.22,22.22,8,200,106.12,0.006263,anode
22.22,33.33,8,200,96.28,0.002880,anode
22.22,44.44,8,200,90.47,0.001751,anode
22.22,55.56,8,200,90.47,0.001751,anode
22.22,66.67,8,200,96.28,0.002880,anode
22.22,77.78,8,200,106.12,0.006263,anode
22.22,88.89,8,200,118.27,0.014845,anode
22.22,100.00,8,200,131.71,0.034760,anode
33.33,0.00,8,200,125.29,0.023443,anode
33.33,11.11,8,200,110.44,0.008610,anode
33.33,22.22,8,200,96.28,0.002880,anode
33.33,33.33,8,200,83.67,0.000938,anode
33.33,44.44,8,200,75.10,0.000395,anode
33.33,55.56,8,200,75.10,0.000395,anode
33.33,66.67,8,200,83.67,0.000938,anode
33.33,77.78,8,200,96.28,0.002880,anode
33.33,88.89,8,200,110.44,0.008610,anode
33.33,100.00,8,200,125.29,0.023443,anode
44.44,0.00,8,200,121.87,0.018826,anode
44.44,11.11,8,200,106.12,0.006263,anode
44.44,22.22,8,200,90.47,0.001751,anode
44.44,33.33,8,200,75.10,0.000395,anode
44.44,44.44,8,200,61.22,0.000077,anode
44.44,55.56,8,200,61.22,0.000077,anode
44.44,66.67,8,200,75.10,0.000395,anode
44.44,77.78,8,200,90.47,0.001751,anode
44.44,88.89,8,200,106.12,0.006263,anode
44.44,100.00,8,200,121.87,0.018826,anode
55.56,0.00,8,200,121.87,0.018826,anode
55.56,11.11,8,200,106.12,0.006263,anode
55.56,22.22,8,200,90.47,0.001751,anode
55.56,33.33,8,200,75.10,0.000395,anode
55.56,44.44,8,200,61.22,0.000077,anode
55.56,55.56,8,200,61.22,0.000077,anode
55.56,66.67,8,200,75.10,0.000395,anode
55.56,77.78,8,200,90.47,0.001751,anode
55.56,88.89,8,200,106.12,0.006263,anode
55.56,100.00,8,200,121.87,0.018826,anode
66.67,0.00,8,200,125.29,0.023443,anode
66.67,11.11,8,200,110.44,0.008610,anode
66.67,22.22,8,200,96.28,0.002880,anode
66.67,33.33,8,200,83.67,0.000938,anode
66.67,44.44,8,200,75.10,0.000395,anode
66.67,55.56,8,200,75.10,0.000395,anode
66.67,66.67,8,200,83.67,0.000938,anode
66.67,77.78,8,200,96.28,0.002880,anode
66.67,88.89,8,200,110.44,0.008610,anode
66.67,100.00,8,200,125.29,0.023443,anode
77.78,0.00,8,200,131.71,0.034760,anode
77.78,11.11,8,200,118.27,0.014845,anode
77.78,22.22,8,200,106.12,0.006263,anode
77.78,33.33,8,200,96.28,0.002880,anode
77.78,44.44,8,200,90.47,0.001751,anode
77.78,55.56,8,200,90.47,0.001751,anode
77.78,66.67,8,200,96.28,0.002880,anode
77.78,77.78,8,200,106.12,0.006263,anode
77.78,88.89,8,200,118.27,0.014845,anode
77.78,100.00,8,200,131.71,0.034760,anode
88.89,0.00,8,200,140.49,0.057559,anode
88.89,11.11,8,200,128.57,0.028740,anode
88.89,22.22,8,200,118.27,0.014845,anode
88.89,33.33,8,200,110.44,0.008610,anode
88.89,44.44,8,200,106.12,0.006263,anode
88.89,55.56,8,200,106.12,0.006263,anode
88.89,66.67,8,200,110.44,0.008610,anode
88.89,77.78,8,200,118.27,0.014845,anode
88.89,88.89,8,200,128.57,0.028740,anode
88.89,100.00,8,200,140.49,0.057559,anode
100.00,0.00,8,200,151.02,0.100273,anode
100.00,11.11,8,200,140.49,0.057559,anode
100.00,22.22,8,200,131.71,0.034760,anode
100.00,33.33,8,200,125.29,0.023443,anode
100.00,44.44,8,200,121.87,0.018826,anode
100.00,55.56,8,200,121.87,0.018826,anode
100.00,66.67,8,200,125.29,0.023443,anode
100.00,77.78,8,200,131.71,0.034760,anode
100.00,88.89,8,200,140.49,0.057559,anode
100.00,100.00,8,200,151.02,0.100273,anode
0.00,0.00,12,350,151.02,0.000042,electrolyte
0.00,11.11,12,350,140.49,0.000017,electrolyte
0.00,22.22,12,350,131.71,0.000008,electrolyte
0.00,33.33,12,350,125.29,0.000004,electrolyte
0.00,44.44,12,350,121.87,0.000003,electrolyte
0.00,55.56,12,350,121.87,0.000003,electrolyte
0.00,66.67,12,350,125.29,0.000004,electrolyte
0.00,77.78,12,350,131.71,0.000008,electrolyte
0.00,88.89,12,350,140.49,0.000017,electrolyte
0.00,100.00,12,350,151.02,0.000042,electrolyte
11.11,0.00,12,350,140.49,0.000017,electrolyte
11.11,11.11,12,350,128.57,0.000006,electrolyte
11.11,22.22,12,350,118.27,0.000002,electrolyte
11.11,33.33,12,350,110.44,0.000001,electrolyte
11.11,44.44,12,350,106.12,0.000001,electrolyte
11.11,55.56,12,350,106.12,0.000001,electrolyte
11.11,66.67,12,350,110.44,0.000001,electrolyte
11.11,77.78,12,350,118.27,0.000002,electrolyte
11.11,88.89,12,350,128.57,0.000006,electrolyte
11.11,100.00,12,350,140.49,0.000017,electrolyte
22.22,0.00,12,350,131.71,0.000008,electrolyte
22.22,11.11,12,350,118.27,0.000002,electrolyte
22.22,22.22,12,350,106.12,0.000001,electrolyte
22.22,33.33,12,350,96.28,0.000000,electrolyte
22.22,44.44,12,350,90.47,0.000000,electrolyte
22.22,55.56,12,350,90.47,0.000000,electrolyte
22.22,66.67,12,350,96.28,0.000000,electrolyte
22.22,77.78,12,350,106.12,0.000001,electrolyte
22.22,88.89,12,350,118.27,0.000002,electrolyte
22.22,100.00,12,350,131.71,0.000008,electrolyte
33.33,0.00,12,350,125.29,0.000004,electrolyte
33.33,11.11,12,350,110.44,0.000001,electrolyte
33.33,22.22,12,350,96.28,0.000000,electrolyte
33.33,33.33,12,350,83.67,0.000000,electrolyte
33.33,44.44,12,350,75.10,0.000000,electrolyte
33.33,55.56,12,350,75.10,0.000000,electrolyte
33.33,66.67,12,350,83.67,0.000000,electrolyte
33.33,77.78,12,350,96.28,0.000000,electrolyte
33.33,88.89,12,350,110.44,0.000001,electrolyte
33.33,100.00,12,350,125.29,0.000004,electrolyte
44.44,0.00,12,350,121.87,0.000003,electrolyte
44.44,11.11,12,350,106.12,0.000001,electrolyte
44.44,22.22,12,350,90.47,0.000000,electrolyte
44.44,33.33,12,350,75.10,0.000000,electrolyte
44.44,44.44,12,350,61.22,0.000000,electrolyte
44.44,55.56,12,350,61.22,0.000000,electrolyte
44.44,66.67,12,350,75.10,0.000000,electrolyte
44.44,77.78,12,350,90.47,0.000000,electrolyte
44.44,88.89,12,350,106.12,0.000001,electrolyte
44.44,100.00,12,350,121.87,0.000003,electrolyte
55.56,0.00,12,350,121.87,0.000003,electrolyte
55.56,11.11,12,350,106.12,0.000001,electrolyte
55.56,22.22,12,350,90.47,0.000000,electrolyte
55.56,33.33,12,350,75.10,0.000000,electrolyte
55.56,44.44,12,350,61.22,0.000000,electrolyte
55.56,55.56,12,350,61.22,0.000000,electrolyte
55.56,66.67,12,350,75.10,0.000000,electrolyte
55.56,77.78,12,350,90.47,0.000000,electrolyte
55.56,88.89,12,350,106.12,0.000001,electrolyte
55.56,100.00,12,350,121.87,0.000003,electrolyte
66.67,0.00,12,350,125.29,0.000004,electrolyte
66.67,11.11,12,350,110.44,0.000001,electrolyte
66.67,22.22,12,350,96.28,0.000000,electrolyte
66.67,33.33,12,350,83.67,0.000000,electrolyte
66.67,44.44,12,350,75.10,0.000000,electrolyte
66.67,55.56,12,350,75.10,0.000000,electrolyte
66.67,66.67,12,350,83.67,0.000000,electrolyte
66.67,77.78,12,350,96.28,0.000000,electrolyte
66.67,88.89,12,350,110.44,0.000001,electrolyte
66.67,100.00,12,350,125.29,0.000004,electrolyte
77.78,0.00,12,350,131.71,0.000008,electrolyte
77.78,11.11,12,350,118.27,0.000002,electrolyte
77.78,22.22,12,350,106.12,0.000001,electrolyte
77.78,33.33,12,350,96.28,0.000000,electrolyte
77.78,44.44,12,350,90.47,0.000000,electrolyte
77.78,55.56,12,350,90.47,0.000000,electrolyte
77.78,66.67,12,350,96.28,0.000000,electrolyte
77.78,77.78,12,350,106.12,0.000001,electrolyte
77.78,88.89,12,350,118.27,0.000002,electrolyte
77.78,100.00,12,350,131.71,0.000008,electrolyte
88.89,0.00,12,350,140.49,0.000017,electrolyte
88.89,11.11,12,350,128.57,0.000006,electrolyte
88.89,22.22,12,350,118.27,0.000002,electrolyte
88.89,33.33,12,350,110.44,0.000001,electrolyte
88.89,44.44,12,350,106.12,0.000001,electrolyte
88.89,55.56,12,350,106.12,0.000001,electrolyte
88.89,66.67,12,350,110.44,0.000001,electrolyte
88.89,77.78,12,350,118.27,0.000002,electrolyte
88.89,88.89,12,350,128.57,0.000006,electrolyte
88.89,100.00,12,350,140.49,0.000017,electrolyte
100.00,0.00,12,350,151.02,0.000042,electrolyte
100.00,11.11,12,350,140.49,0.000017,electrolyte
100.00,22.22,12,350,131.71,0.000008,electrolyte
100.00,33.33,12,350,125.29,0.000004,electrolyte
100.00,44.44,12,350,121.87,0.000003,electrolyte
100.00,55.56,12,350,121.87,0.000003,electrolyte
100.00,66.67,12,350,125.29,0.000004,electrolyte
100.00,77.78,12,350,131.71,0.000008,electrolyte
100.00,88.89,12,350,140.49,0.000017,electrolyte
100.00,100.00,12,350,151.02,0.000042,electrolyte
0.00,0.00,10,150,151.02,0.656917,cathode
0.00,11.11,10,150,140.49,0.405153,cathode
0.00,22.22,10,150,131.71,0.238504,cathode
0.00,33.33,10,150,125.29,0.152380,cathode
0.00,44.44,10,150,121.87,0.117777,cathode
0.00,55.56,10,150,121.87,0.117777,cathode
0.00,66.67,10,150,125.29,0.152380,cathode
0.00,77.78,10,150,131.71,0.238504,cathode
0.00,88.89,10,150,140.49,0.405153,cathode
