# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
X_mm,Y_mm,Z_mm,Sigma_xx_MPa,Sigma_yy_MPa,Sigma_zz_MPa,Von_Mises_MPa,Component
0.00,0.00,0.000,50.00,40.00,20.00,26.46,anode
0.00,7.14,0.000,50.00,45.71,20.00,28.10,anode
0.00,14.29,0.000,50.00,51.43,20.00,30.74,anode
0.00,21.43,0.000,50.00,57.14,20.00,34.14,anode
0.00,28.57,0.000,50.00,62.86,20.00,38.09,anode
0.00,35.71,0.000,50.00,68.57,20.00,42.45,anode
0.00,42.86,0.000,50.00,74.29,20.00,47.10,anode
0.00,50.00,0.000,50.00,80.00,20.00,51.96,anode
0.00,57.14,0.000,50.00,85.71,20.00,56.98,anode
0.00,64.29,0.000,50.00,91.43,20.00,62.12,anode
0.00,71.43,0.000,50.00,97.14,20.00,67.36,anode
0.00,78.57,0.000,50.00,102.86,20.00,72.66,anode
0.00,85.71,0.000,50.00,108.57,20.00,78.02,anode
0.00,92.86,0.000,50.00,114.29,20.00,83.43,anode
0.00,100.00,0.000,50.00,120.00,20.00,88.88,anode
7.14,0.00,0.000,57.14,40.00,20.00,32.20,anode
7.14,7.14,0.000,57.14,45.71,20.00,32.95,anode
7.14,14.29,0.000,57.14,51.43,20.00,34.64,anode
7.14,21.43,0.000,57.14,57.14,20.00,37.14,anode
7.14,28.57,0.000,57.14,62.86,20.00,40.30,anode
7.14,35.71,0.000,57.14,68.57,20.00,43.99,anode
7.14,42.86,0.000,57.14,74.29,20.00,48.06,anode
7.14,50.00,0.000,57.14,80.00,20.00,52.45,anode
7.14,57.14,0.000,57.14,85.71,20.00,57.07,anode
7.14,64.29,0.000,57.14,91.43,20.00,61.88,anode
7.14,71.43,0.000,57.14,97.14,20.00,66.82,anode
7.14,78.57,0.000,57.14,102.86,20.00,71.88,anode
7.14,85.71,0.000,57.14,108.57,20.00,77.04,anode
7.14,92.86,0.000,57.14,114.29,20.00,82.26,anode
7.14,100.00,0.000,57.14,120.00,20.00,87.55,anode
14.29,0.00,0.000,64.29,40.00,20.00,38.41,anode
14.29,7.14,0.000,64.29,45.71,20.00,38.52,anode
14.29,14.29,0.000,64.29,51.43,20.00,39.46,anode
14.29,21.43,0.000,64.29,57.14,20.00,41.18,anode
14.29,28.57,0.000,64.29,62.86,20.00,43.59,anode
14.29,35.71,0.000,64.29,68.57,20.00,46.58,anode
14.29,42.86,0.000,64.29,74.29,20.00,50.04,anode
14.29,50.00,0.000,64.29,80.00,20.00,53.89,anode
14.29,57.14,0.000,64.29,85.71,20.00,58.05,anode
14.29,64.29,0.000,64.29,91.43,20.00,62.45,anode
14.29,71.43,0.000,64.29,97.14,20.00,67.05,anode
14.29,78.57,0.000,64.29,102.86,20.00,71.81,anode
14.29,85.71,0.000,64.29,108.57,20.00,76.71,anode
14.29,92.86,0.000,64.29,114.29,20.00,81.70,anode
14.29,100.00,0.000,64.29,120.00,20.00,86.79,anode
21.43,0.00,0.000,71.43,40.00,20.00,44.90,anode
21.43,7.14,0.000,71.43,45.71,20.00,44.54,anode
21.43,14.29,0.000,71.43,51.43,20.00,44.90,anode
21.43,21.43,0.000,71.43,57.14,20.00,45.98,anode
21.43,28.57,0.000,71.43,62.86,20.00,47.72,anode
21.43,35.71,0.000,71.43,68.57,20.00,50.06,anode
21.43,42.86,0.000,71.43,74.29,20.00,52.92,anode
