# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
X_mm,Y_mm,Z_mm,Temperature_C
0.00,0.00,0.000,750.16
0.00,0.00,0.500,756.86
0.00,0.00,1.000,744.97
0.00,5.26,0.000,751.29
0.00,5.26,0.500,751.30
0.00,5.26,1.000,754.37
0.00,10.53,0.000,753.46
0.00,10.53,0.500,753.35
0.00,10.53,1.000,758.19
0.00,15.79,0.000,760.74
0.00,15.79,0.500,759.34
0.00,15.79,1.000,760.47
0.00,21.05,0.000,755.78
0.00,21.05,0.500,775.49
0.00,21.05,1.000,758.80
0.00,26.32,0.000,762.74
0.00,26.32,0.500,760.90
0.00,26.32,1.000,761.50
0.00,31.58,0.000,764.95
0.00,31.58,0.500,766.90
0.00,31.58,1.000,765.59
0.00,36.84,0.000,769.73
0.00,36.84,0.500,770.18
0.00,36.84,1.000,775.17
0.00,42.11,0.000,777.33
0.00,42.11,0.500,769.91
0.00,42.11,1.000,766.24
0.00,47.37,0.000,778.07
0.00,47.37,0.500,771.21
0.00,47.37,1.000,777.09
0.00,52.63,0.000,782.01
0.00,52.63,0.500,770.30
0.00,52.63,1.000,783.96
0.00,57.89,0.000,776.05
0.00,57.89,0.500,775.69
0.00,57.89,1.000,776.72
0.00,63.16,0.000,772.97
0.00,63.16,0.500,788.31
0.00,63.16,1.000,774.45
0.00,68.42,0.000,786.11
0.00,68.42,0.500,785.11
0.00,68.42,1.000,786.33
0.00,73.68,0.000,796.73
0.00,73.68,0.500,788.84
0.00,73.68,1.000,782.73
0.00,78.95,0.000,799.10
0.00,78.95,0.500,792.85
0.00,78.95,1.000,786.87
0.00,84.21,0.000,792.34
0.00,84.21,0.500,783.81
0.00,84.21,1.000,799.55
0.00,89.47,0.000,786.39
0.00,89.47,0.500,794.21
0.00,89.47,1.000,784.59
0.00,94.74,0.000,797.84
0.00,94.74,0.500,806.50
0.00,94.74,1.000,802.09
0.00,100.00,0.000,802.27
0.00,100.00,0.500,796.60
0.00,100.00,1.000,796.60
5.26,0.00,0.000,757.78
5.26,0.00,0.500,751.15
5.26,0.00,1.000,753.02
5.26,5.26,0.000,756.12
5.26,5.26,0.500,759.22
5.26,5.26,1.000,756.90
5.26,10.53,0.000,759.71
5.26,10.53,0.500,755.68
5.26,10.53,1.000,747.01
5.26,15.79,0.000,756.69
5.26,15.79,0.500,753.96
5.26,15.79,1.000,757.37
5.26,21.05,0.000,765.34
5.26,21.05,0.500,765.17
5.26,21.05,1.000,765.21
5.26,26.32,0.000,767.23
5.26,26.32,0.500,767.45
5.26,26.32,1.000,771.71
5.26,31.58,0.000,776.41
5.26,31.58,0.500,757.01
5.26,31.58,1.000,763.34
5.26,36.84,0.000,774.85
5.26,36.84,0.500,778.19
5.26,36.84,1.000,768.59
5.26,42.11,0.000,765.11
5.26,42.11,0.500,764.10
5.26,42.11,1.000,778.31
5.26,47.37,0.000,766.45
5.26,47.37,0.500,785.43
5.26,47.37,1.000,777.69
5.26,52.63,0.000,776.29
5.26,52.63,0.500,766.63
5.26,52.63,1.000,787.10
5.26,57.89,0.000,775.77
5.26,57.89,0.500,779.92
5.26,57.89,1.000,780.08
5.26,63.16,0.000,780.08
5.26,63.16,0.500,771.28
5.26,63.16,1.000,790.91
5.26,68.42,0.000,787.09
5.26,68.42,0.500,787.39
5.26,68.42,1.000,774.95
5.26,73.68,0.000,789.51
5.26,73.68,0.500,791.39
5.26,73.68,1.000,790.44
5.26,78.95,0.000,789.70
5.26,78.95,0.500,785.52
5.26,78.95,1.000,787.66
5.26,84.21,0.000,791.56
5.26,84.21,0.500,798.64
5.26,84.21,1.000,784.05
5.26,89.47,0.000,796.50
5.26,89.47,0.500,799.77
5.26,89.47,1.000,800.57
5.26,94.74,0.000,797.45
5.26,94.74,0.500,794.54
5.26,94.74,1.000,792.81
5.26,100.00,0.000,797.22
5.26,100.00,0.500,803.14
5.26,100.00,1.000,804.82
10.53,0.00,0.000,758.89
10.53,0.00,0.500,751.50
10.53,0.00,1.000,749.27
10.53,5.26,0.000,749.98
10.53,5.26,0.500,750.45
10.53,5.26,1.000,752.98
10.53,10.53,0.000,761.59
10.53,10.53,0.500,765.74
10.53,10.53,1.000,761.00
10.53,15.79,0.000,769.47
10.53,15.79,0.500,757.11
10.53,15.79,1.000,764.06
10.53,21.05,0.000,762.79
10.53,21.05,0.500,760.58
10.53,21.05,1.000,758.20
10.53,26.32,0.000,764.21
10.53,26.32,0.500,753.66
10.53,26.32,1.000,761.83
10.53,31.58,0.000,763.28
10.53,31.58,0.500,764.55
10.53,31.58,1.000,776.29
10.53,36.84,0.000,764.59
10.53,36.84,0.500,772.51
10.53,36.84,1.000,764.92
10.53,42.11,0.000,767.58
10.53,42.11,0.500,773.01
10.53,42.11,1.000,772.19
10.53,47.37,0.000,777.49
10.53,47.37,0.500,776.97
10.53,47.37,1.000,775.14
10.53,52.63,0.000,770.21
10.53,52.63,0.500,770.46
10.53,52.63,1.000,781.69
10.53,57.89,0.000,780.78
10.53,57.89,0.500,780.47
10.53,57.89,1.000,782.26
10.53,63.16,0.000,776.67
10.53,63.16,0.500,785.53
10.53,63.16,1.000,781.12
10.53,68.42,0.000,788.86
10.53,68.42,0.500,783.57
10.53,68.42,1.000,787.02
10.53,73.68,0.000,791.17
10.53,73.68,0.500,771.60
10.53,73.68,1.000,785.07
10.53,78.95,0.000,783.08
10.53,78.95,0.500,789.92
10.53,78.95,1.000,793.00
10.53,84.21,0.000,785.45
10.53,84.21,0.500,793.12
10.53,84.21,1.000,788.61
10.53,89.47,0.000,789.86
10.53,89.47,0.500,789.73
10.53,89.47,1.000,787.79
10.53,94.74,0.000,804.59
10.53,94.74,0.500,802.05
10.53,94.74,1.000,795.07
10.53,100.00,0.000,795.85
10.53,100.00,0.500,802.12
10.53,100.00,1.000,802.74
15.79,0.00,0.000,760.13
15.79,0.00,0.500,752.95
15.79,0.00,1.000,746.04
15.79,5.26,0.000,749.62
15.79,5.26,0.500,753.77
15.79,5.26,1.000,762.62
15.79,10.53,0.000,755.77
15.79,10.53,0.500,749.35
15.79,10.53,1.000,755.53
15.79,15.79,0.000,761.50
15.79,15.79,0.500,760.14
15.79,15.79,1.000,758.85
15.79,21.05,0.000,771.87
15.79,21.05,0.500,752.31
15.79,21.05,1.000,759.49
15.79,26.32,0.000,760.13
15.79,26.32,0.500,767.57
15.79,26.32,1.000,763.28
15.79,31.58,0.000,764.56
15.79,31.58,0.500,762.44
15.79,31.58,1.000,764.86
15.79,36.84,0.000,773.68
15.79,36.84,0.500,770.13
15.79,36.84,1.000,762.82
15.79,42.11,0.000,784.31
15.79,42.11,0.500,772.78
15.79,42.11,1.000,774.58
15.79,47.37,0.000,780.11
15.79,47.37,0.500,771.42
15.79,47.37,1.000,770.37
15.79,52.63,0.000,768.90
15.79,52.63,0.500,780.94
15.79,52.63,1.000,783.41
15.79,57.89,0.000,781.18
15.79,57.89,0.500,783.39
15.79,57.89,1.000,773.77
15.79,63.16,0.000,784.84
15.79,63.16,0.500,790.81
15.79,63.16,1.000,782.27
15.79,68.42,0.000,779.70
15.79,68.42,0.500,778.28
15.79,68.42,1.000,786.41
15.79,73.68,0.000,790.04
15.79,73.68,0.500,795.98
15.79,73.68,1.000,778.94
15.79,78.95,0.000,798.75
15.79,78.95,0.500,791.25
15.79,78.95,1.000,786.67
15.79,84.21,0.000,796.86
15.79,84.21,0.500,798.08
15.79,84.21,1.000,787.25
15.79,89.47,0.000,793.81
15.79,89.47,0.500,797.56
15.79,89.47,1.000,794.94
15.79,94.74,0.000,795.69
15.79,94.74,0.500,802.25
15.79,94.74,1.000,790.50
15.79,100.00,0.000,804.74
15.79,100.00,0.500,796.04
15.79,100.00,1.000,802.60
21.05,0.00,0.000,745.40
21.05,0.00,0.500,749.31
21.05,0.00,1.000,748.10
21.05,5.26,0.000,746.57
21.05,5.26,0.500,752.32
21.05,5.26,1.000,752.47
21.05,10.53,0.000,760.34
21.05,10.53,0.500,754.56
21.05,10.53,1.000,758.26
21.05,15.79,0.000,751.90
21.05,15.79,0.500,767.57
21.05,15.79,1.000,752.83
21.05,21.05,0.000,761.85
21.05,21.05,0.500,763.87
21.05,21.05,1.000,762.11
21.05,26.32,0.000,762.51
21.05,26.32,0.500,767.97
21.05,26.32,1.000,767.52
21.05,31.58,0.000,758.37
21.05,31.58,0.500,770.98
21.05,31.58,1.000,761.81
21.05,36.84,0.000,759.02
21.05,36.84,0.500,765.89
21.05,36.84,1.000,762.57
21.05,42.11,0.000,768.66
21.05,42.11,0.500,773.54
21.05,42.11,1.000,764.94
21.05,47.37,0.000,767.60
21.05,47.37,0.500,774.96
21.05,47.37,1.000,771.21
21.05,52.63,0.000,785.28
21.05,52.63,0.500,776.86
21.05,52.63,1.000,772.64
21.05,57.89,0.000,776.80
21.05,57.89,0.500,775.02
21.05,57.89,1.000,778.56
21.05,63.16,0.000,785.51
21.05,63.16,0.500,778.23
21.05,63.16,1.000,779.97
21.05,68.42,0.000,780.43
21.05,68.42,0.500,783.66
21.05,68.42,1.000,786.56
21.05,73.68,0.000,780.29
21.05,73.68,0.500,785.28
21.05,73.68,1.000,788.15
21.05,78.95,0.000,794.31
21.05,78.95,0.500,785.93
21.05,78.95,1.000,795.89
21.05,84.21,0.000,786.72
21.05,84.21,0.500,782.15
21.05,84.21,1.000,791.65
21.05,89.47,0.000,792.92
21.05,89.47,0.500,792.27
21.05,89.47,1.000,799.76
21.05,94.74,0.000,787.33
21.05,94.74,0.500,804.75
21.05,94.74,1.000,793.87
21.05,100.00,0.000,789.54
21.05,100.00,0.500,794.22
21.05,100.00,1.000,791.38
26.32,0.00,0.000,760.92
26.32,0.00,0.500,753.18
26.32,0.00,1.000,751.90
26.32,5.26,0.000,750.98
26.32,5.26,0.500,759.57
26.32,5.26,1.000,754.61
26.32,10.53,0.000,748.14
26.32,10.53,0.500,750.84
26.32,10.53,1.000,759.70
26.32,15.79,0.000,768.48
26.32,15.79,0.500,755.58
26.32,15.79,1.000,759.46
26.32,21.05,0.000,755.82
26.32,21.05,0.500,761.06
26.32,21.05,1.000,761.36
26.32,26.32,0.000,767.09
26.32,26.32,0.500,764.72
26.32,26.32,1.000,761.84
26.32,31.58,0.000,768.61
26.32,31.58,0.500,758.74
26.32,31.58,1.000,760.92
26.32,36.84,0.000,763.70
26.32,36.84,0.500,761.13
26.32,36.84,1.000,773.17
26.32,42.11,0.000,778.67
26.32,42.11,0.500,769.10
26.32,42.11,1.000,777.31
26.32,47.37,0.000,778.82
26.32,47.37,0.500,774.44
26.32,47.37,1.000,771.33
26.32,52.63,0.000,773.11
26.32,52.63,0.500,773.68
26.32,52.63,1.000,779.73
26.32,57.89,0.000,780.00
26.32,57.89,0.500,780.32
26.32,57.89,1.000,769.04
26.32,63.16,0.000,779.93
26.32,63.16,0.500,783.22
26.32,63.16,1.000,783.29
26.32,68.42,0.000,785.63
26.32,68.42,0.500,778.66
26.32,68.42,1.000,778.67
26.32,73.68,0.000,782.41
26.32,73.68,0.500,786.86
26.32,73.68,1.000,791.75
26.32,78.95,0.000,800.34
26.32,78.95,0.500,788.15
26.32,78.95,1.000,785.04
26.32,84.21,0.000,786.02
26.32,84.21,0.500,792.18
26.32,84.21,1.000,790.22
