# SYNTHETIC/ILLUSTRATIVE DATA - Based on published literature ranges
# Topic: Thermo-mechanical behavior of SOFC at high temperatures
# DO NOT use as ground truth without independent verification
Current_Density_A_per_cm2,Voltage_750C_V,Power_750C_W_per_cm2,Voltage_800C_V,Power_800C_W_per_cm2,Voltage_850C_V,Power_850C_W_per_cm2,Fuel_Composition
0.0,1.1,0.0,1.08,0.0,1.06,0.0,H2 97% + H2O 3%
0.02,1.0782,0.0216,1.0565,0.0211,1.0407,0.0208,H2 97% + H2O 3%
0.04,1.0489,0.042,1.0348,0.0414,1.023,0.0409,H2 97% + H2O 3%
0.06,1.0289,0.0617,1.0202,0.0612,1.0112,0.0607,H2 97% + H2O 3%
0.08,1.0129,0.081,1.0085,0.0807,1.0018,0.0801,H2 97% + H2O 3%
0.1,0.999,0.0999,0.9984,0.0998,0.9938,0.0994,H2 97% + H2O 3%
0.12,0.9864,0.1184,0.9894,0.1187,0.9866,0.1184,H2 97% + H2O 3%
0.14,0.9747,0.1365,0.981,0.1373,0.9801,0.1372,H2 97% + H2O 3%
0.16,0.9636,0.1542,0.9731,0.1557,0.9739,0.1558,H2 97% + H2O 3%
0.18,0.953,0.1715,0.9656,0.1738,0.9681,0.1743,H2 97% + H2O 3%
0.2,0.9428,0.1886,0.9584,0.1917,0.9625,0.1925,H2 97% + H2O 3%
0.22,0.9328,0.2052,0.9514,0.2093,0.9571,0.2106,H2 97% + H2O 3%
0.24,0.923,0.2215,0.9446,0.2267,0.9519,0.2285,H2 97% + H2O 3%
0.26,0.9134,0.2375,0.938,0.2439,0.9468,0.2462,H2 97% + H2O 3%
0.28,0.9038,0.2531,0.9314,0.2608,0.9418,0.2637,H2 97% + H2O 3%
0.3,0.8944,0.2683,0.925,0.2775,0.9369,0.2811,H2 97% + H2O 3%
0.32,0.885,0.2832,0.9186,0.2939,0.9321,0.2983,H2 97% + H2O 3%
0.34,0.8756,0.2977,0.9122,0.3102,0.9273,0.3153,H2 97% + H2O 3%
0.36,0.8662,0.3118,0.9059,0.3261,0.9226,0.3321,H2 97% + H2O 3%
0.38,0.8568,0.3256,0.8997,0.3419,0.9179,0.3488,H2 97% + H2O 3%
0.4,0.8474,0.339,0.8934,0.3574,0.9133,0.3653,H2 97% + H2O 3%
0.42,0.8379,0.3519,0.8872,0.3726,0.9087,0.3816,H2 97% + H2O 3%
0.44,0.8284,0.3645,0.881,0.3876,0.9041,0.3978,H2 97% + H2O 3%
0.46,0.8187,0.3766,0.8747,0.4024,0.8995,0.4138,H2 97% + H2O 3%
0.48,0.809,0.3883,0.8685,0.4169,0.895,0.4296,H2 97% + H2O 3%
0.5,0.7992,0.3996,0.8622,0.4311,0.8904,0.4452,H2 97% + H2O 3%
0.52,0.7893,0.4104,0.856,0.4451,0.8859,0.4606,H2 97% + H2O 3%
0.54,0.7792,0.4208,0.8496,0.4588,0.8813,0.4759,H2 97% + H2O 3%
0.56,0.769,0.4306,0.8433,0.4722,0.8768,0.491,H2 97% + H2O 3%
