# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Time_hours,Cell_1_Voltage_V,Cell_2_Voltage_V,Cell_3_Voltage_V,Cell_4_Voltage_V,Cell_5_Voltage_V,Stack_Voltage_V,Temperature_C
0.00,0.7052,0.6942,0.7048,0.7078,0.6913,3.5033,795.95
5.03,0.7223,0.6860,0.6952,0.7010,0.6919,3.4964,796.60
10.05,0.6724,0.7067,0.7016,0.6887,0.6819,3.4513,809.30
15.08,0.6734,0.6827,0.6936,0.6890,0.6858,3.4245,816.93
20.10,0.7106,0.6999,0.6957,0.6881,0.6882,3.4825,821.84
25.13,0.6877,0.6884,0.6848,0.6905,0.6882,3.4396,819.61
30.15,0.6996,0.6996,0.6676,0.6913,0.6949,3.4530,820.09
35.18,0.7084,0.6764,0.7171,0.7002,0.6834,3.4855,811.95
40.20,0.7035,0.6742,0.6916,0.6809,0.6829,3.4331,814.45
45.23,0.6999,0.6799,0.6775,0.6985,0.6859,3.4417,806.69
50.25,0.6984,0.6936,0.6939,0.6697,0.6862,3.4418,796.28
55.28,0.6936,0.6835,0.6854,0.6818,0.7117,3.4560,801.27
60.30,0.7013,0.6994,0.6926,0.7041,0.6787,3.4761,798.59
65.33,0.6775,0.7095,0.6850,0.6891,0.6789,3.4400,792.08
70.35,0.6959,0.7025,0.7072,0.6959,0.6865,3.4880,782.21
75.38,0.6794,0.6879,0.6960,0.6845,0.6918,3.4396,782.31
80.40,0.6795,0.7027,0.6865,0.6925,0.7027,3.4639,779.65
85.43,0.6724,0.6931,0.6810,0.7044,0.6692,3.4201,787.06
90.45,0.7014,0.6928,0.6886,0.6993,0.7045,3.4866,784.68
95.48,0.6824,0.6848,0.6886,0.6919,0.6892,3.4369,789.43
100.50,0.6823,0.7013,0.6930,0.6717,0.6618,3.4101,797.05
105.53,0.6900,0.7014,0.6841,0.6842,0.6896,3.4493,803.83
110.55,0.6725,0.6827,0.6886,0.6799,0.6892,3.4129,815.50
115.58,0.6824,0.6951,0.6884,0.6964,0.6996,3.4619,818.37
120.60,0.6724,0.6824,0.7116,0.6936,0.7056,3.4656,811.75
125.63,0.6813,0.6791,0.6925,0.6779,0.6765,3.4073,809.76
130.65,0.6781,0.6946,0.6825,0.6958,0.6841,3.4351,820.05
135.68,0.6824,0.6846,0.6905,0.6826,0.6812,3.4213,809.51
140.70,0.6910,0.6846,0.6995,0.6840,0.6756,3.4347,805.66
145.73,0.6749,0.6951,0.6809,0.6875,0.6927,3.4311,801.76
150.75,0.6801,0.6951,0.7107,0.6793,0.6852,3.4504,802.62
155.78,0.6653,0.6694,0.6711,0.6680,0.6829,3.3567,787.53
160.80,0.6841,0.6707,0.6896,0.6645,0.6738,3.3827,786.31
165.83,0.6801,0.6759,0.6803,0.6896,0.6682,3.3941,778.08
170.85,0.6779,0.6754,0.7010,0.6748,0.6560,3.3851,791.62
175.88,0.6783,0.6800,0.6628,0.6840,0.6788,3.3839,780.68
180.90,0.6895,0.6901,0.6723,0.6641,0.6692,3.3852,784.52
185.93,0.6633,0.6641,0.6780,0.6821,0.6976,3.3851,789.33
190.95,0.6884,0.6663,0.6813,0.6779,0.6926,3.4065,792.93
195.98,0.6804,0.6727,0.6807,0.6860,0.6849,3.4047,794.75
201.01,0.6646,0.6703,0.6947,0.6649,0.6909,3.3854,797.38
206.03,0.6829,0.6664,0.6921,0.6731,0.6688,3.3833,809.88
211.06,0.6884,0.6864,0.6778,0.6853,0.6864,3.4243,818.46
216.08,0.6896,0.6795,0.6877,0.6640,0.6684,3.3892,825.88
221.11,0.6880,0.6508,0.6673,0.6705,0.6676,3.3442,821.37
226.13,0.6629,0.6753,0.6607,0.6740,0.6565,3.3294,820.33
231.16,0.6913,0.6756,0.6647,0.6755,0.6775,3.3846,815.32
236.18,0.6678,0.6744,0.6809,0.6779,0.6733,3.3743,815.15
241.21,0.6692,0.6807,0.6729,0.6780,0.6548,3.3556,814.89
246.23,0.6779,0.6836,0.6637,0.6746,0.6774,3.3772,806.18
251.26,0.6744,0.6526,0.6725,0.6703,0.6612,3.3310,791.60
256.28,0.6875,0.6585,0.6784,0.6822,0.6924,3.3990,794.66
261.31,0.6873,0.6975,0.6857,0.6766,0.6737,3.4208,792.62
266.33,0.6712,0.6802,0.6642,0.6702,0.6734,3.3592,792.04
271.36,0.6592,0.6709,0.6628,0.6757,0.6627,3.3313,775.89
276.38,0.6726,0.6798,0.6666,0.6711,0.6510,3.3411,773.97
281.41,0.6782,0.6935,0.6811,0.6730,0.6796,3.4054,782.33
286.43,0.6665,0.6714,0.6863,0.6627,0.6790,3.3659,795.14
291.46,0.6646,0.6789,0.6668,0.6798,0.6476,3.3377,790.34
296.48,0.6590,0.6749,0.6533,0.6769,0.6712,3.3353,789.74
301.51,0.6728,0.6696,0.6751,0.6446,0.6573,3.3194,815.86
306.53,0.6470,0.6776,0.6684,0.6740,0.6689,3.3359,803.15
311.56,0.6664,0.6683,0.6493,0.6645,0.6593,3.3078,820.02
316.58,0.6610,0.6790,0.6710,0.6454,0.6718,3.3282,810.04
321.61,0.6541,0.6672,0.6774,0.6753,0.6381,3.3121,818.15
326.63,0.6757,0.6543,0.6696,0.6531,0.6595,3.3122,821.66
331.66,0.6567,0.6634,0.6670,0.6578,0.6583,3.3032,829.97
336.68,0.6599,0.6514,0.6563,0.6773,0.6604,3.3053,810.47
341.71,0.6614,0.6778,0.6736,0.6572,0.6470,3.3170,805.64
346.73,0.6570,0.6738,0.6837,0.6542,0.6724,3.3411,802.09
351.76,0.6426,0.6481,0.6704,0.6652,0.6553,3.2816,800.90
356.78,0.6757,0.6593,0.6691,0.6709,0.6503,3.3253,788.39
361.81,0.6528,0.6673,0.6664,0.6780,0.6699,3.3344,777.93
366.83,0.6706,0.6654,0.6828,0.6655,0.6513,3.3356,774.96
371.86,0.6538,0.6595,0.6479,0.6655,0.6705,3.2972,778.77
376.88,0.6440,0.6627,0.6783,0.6544,0.6558,3.2952,779.27
381.91,0.6552,0.6696,0.6636,0.6596,0.6551,3.3031,790.66
386.93,0.6554,0.6569,0.6758,0.6580,0.6667,3.3128,788.89
391.96,0.6599,0.6601,0.6426,0.6618,0.6544,3.2788,783.92
396.98,0.6534,0.6444,0.6496,0.6579,0.6530,3.2583,793.56
402.01,0.6525,0.6576,0.6627,0.6620,0.6462,3.2810,796.20
407.04,0.6556,0.6612,0.6638,0.6722,0.6570,3.3098,804.04
412.06,0.6516,0.6710,0.6615,0.6458,0.6494,3.2793,810.53
417.09,0.6538,0.6576,0.6719,0.6610,0.6705,3.3148,815.87
422.11,0.6422,0.6608,0.6506,0.6495,0.6523,3.2554,814.27
427.14,0.6613,0.6420,0.6692,0.6688,0.6444,3.2857,812.30
432.16,0.6641,0.6711,0.6470,0.6337,0.6419,3.2578,820.30
437.19,0.6504,0.6372,0.6624,0.6537,0.6501,3.2538,812.19
442.21,0.6505,0.6640,0.6695,0.6401,0.6761,3.3002,808.10
447.24,0.6533,0.6514,0.6817,0.6585,0.6586,3.3035,799.23
452.26,0.6743,0.6478,0.6647,0.6544,0.6465,3.2877,799.09
457.29,0.6451,0.6684,0.6625,0.6542,0.6520,3.2822,787.97
462.31,0.6514,0.6355,0.6417,0.6686,0.6401,3.2373,780.17
467.34,0.6480,0.6411,0.6474,0.6382,0.6366,3.2113,788.21
472.36,0.6546,0.6644,0.6428,0.6461,0.6347,3.2426,779.27
477.39,0.6597,0.6443,0.6260,0.6423,0.6451,3.2174,780.61
482.41,0.6439,0.6287,0.6512,0.6526,0.6392,3.2156,784.22
487.44,0.6544,0.6421,0.6542,0.6589,0.6639,3.2735,789.48
492.46,0.6355,0.6633,0.6392,0.6509,0.6286,3.2175,794.01
497.49,0.6406,0.6537,0.6458,0.6548,0.6605,3.2554,791.40
502.51,0.6516,0.6413,0.6552,0.6474,0.6322,3.2277,800.10
507.54,0.6561,0.6704,0.6394,0.6486,0.6412,3.2557,806.54
512.56,0.6541,0.6445,0.6577,0.6441,0.6413,3.2417,822.21
517.59,0.6351,0.6529,0.6629,0.6582,0.6369,3.2460,817.73
522.61,0.6561,0.6422,0.6465,0.6372,0.6593,3.2413,814.33
527.64,0.6439,0.6510,0.6430,0.6505,0.6387,3.2271,825.92
532.66,0.6445,0.6410,0.6474,0.6469,0.6387,3.2185,828.63
537.69,0.6506,0.6549,0.6457,0.6504,0.6344,3.2360,812.23
542.71,0.6459,0.6586,0.6492,0.6578,0.6506,3.2621,807.89
547.74,0.6187,0.6363,0.6541,0.6490,0.6406,3.1987,800.03
