# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Time_hours,TC_1_Inlet_C,TC_2_Middle_C,TC_3_Outlet_C,TC_4_Top_C,TC_5_Bottom_C
0.00,596.22,751.54,800.45,826.83,782.71
5.03,618.89,761.46,808.97,823.61,796.06
10.05,638.18,771.90,824.41,833.01,796.07
15.08,641.62,796.59,827.15,839.31,815.47
20.10,649.49,789.75,827.11,848.19,812.24
25.13,653.53,798.29,828.28,842.49,815.43
30.15,648.64,782.38,828.89,851.70,810.21
35.18,630.61,774.43,825.08,840.50,808.24
40.20,627.03,776.09,816.07,830.19,800.16
45.23,614.77,758.90,806.92,827.40,790.73
50.25,598.78,747.20,800.87,826.64,779.50
55.28,575.69,741.95,793.24,815.86,771.50
60.30,569.57,719.86,775.12,810.51,757.81
65.33,554.67,719.54,784.03,802.01,753.49
70.35,555.84,709.83,774.89,792.40,746.26
75.38,540.07,711.95,769.59,786.15,744.48
80.40,544.28,722.26,770.50,806.00,750.91
85.43,559.89,726.41,784.95,800.67,745.65
90.45,569.36,730.39,794.78,809.79,756.56
95.48,582.12,747.57,789.09,807.86,774.87
100.50,602.93,743.67,800.82,822.50,790.24
105.53,626.23,760.63,811.02,833.40,791.64
110.55,632.36,775.22,814.62,837.31,798.30
115.58,637.30,784.49,827.02,843.03,802.18
120.60,646.41,784.91,827.89,845.31,817.80
125.63,658.71,786.82,826.21,842.42,816.28
130.65,646.50,783.04,831.51,838.97,808.01
135.68,645.30,776.63,824.06,844.75,810.79
140.70,626.65,772.49,812.33,835.91,803.45
145.73,612.73,757.87,804.65,830.11,789.87
150.75,597.08,755.78,796.23,816.52,784.81
155.78,585.67,734.35,795.13,798.93,768.77
160.80,566.20,730.08,779.53,813.11,762.88
165.83,572.36,714.61,773.98,800.59,747.48
170.85,546.84,710.98,774.48,789.27,739.95
175.88,554.13,703.45,772.54,796.87,744.00
180.90,556.56,713.18,768.71,798.50,749.45
185.93,562.81,719.23,776.78,796.29,747.43
190.95,578.33,727.87,779.36,813.58,763.12
195.98,588.65,736.26,793.09,814.44,776.62
201.01,608.02,756.37,799.12,829.34,777.73
206.03,615.98,761.89,811.84,837.13,794.58
211.06,635.75,772.10,820.94,837.77,794.79
216.08,642.53,791.38,827.53,841.22,812.11
221.11,651.92,784.82,827.16,848.01,815.97
226.13,650.91,791.68,824.85,850.51,816.64
231.16,652.31,783.99,827.65,841.54,819.35
236.18,648.55,778.26,824.91,842.75,812.44
241.21,628.07,769.11,817.63,825.77,801.52
246.23,620.88,757.37,809.39,832.36,787.80
251.26,594.77,749.19,793.60,811.72,782.22
256.28,581.69,736.76,794.44,811.62,767.91
261.31,568.08,724.05,774.27,796.39,758.27
266.33,554.35,716.33,770.24,799.64,752.12
271.36,548.73,713.04,766.81,794.01,737.46
276.38,556.01,713.50,775.37,794.33,750.32
281.41,552.97,702.67,775.63,804.80,748.28
286.43,565.48,714.38,771.43,797.21,745.59
291.46,568.72,733.53,784.08,799.79,756.95
296.48,596.26,746.47,788.55,806.65,773.92
301.51,598.63,761.92,801.82,828.05,777.21
306.53,613.62,758.60,810.63,841.36,787.94
311.56,641.12,773.33,819.94,833.45,803.76
316.58,644.85,789.80,836.30,845.17,810.02
321.61,648.99,784.42,828.72,837.33,820.89
326.63,651.65,781.94,827.62,842.89,818.64
331.66,644.21,785.17,819.51,838.39,809.82
336.68,648.87,775.20,826.84,835.59,803.21
341.71,626.18,763.78,806.45,837.22,796.46
346.73,613.09,760.73,812.72,831.03,787.96
351.76,589.48,743.84,798.17,820.42,780.72
356.78,576.85,737.04,778.69,806.54,766.48
361.81,568.76,724.72,778.54,807.00,753.40
366.83,564.33,704.42,768.61,795.52,744.54
371.86,549.63,713.05,768.10,800.92,757.46
376.88,548.83,714.50,765.31,800.49,742.00
381.91,551.61,712.35,781.11,793.31,741.26
386.93,556.51,719.75,779.57,800.43,752.71
391.96,576.18,730.43,783.85,801.90,764.19
396.98,592.20,739.82,803.25,816.33,764.20
402.01,611.57,754.22,801.02,817.91,785.27
407.04,630.98,761.09,805.10,834.10,789.44
412.06,637.81,775.94,826.95,833.97,808.17
417.09,642.22,780.03,825.23,830.90,821.63
422.11,638.79,789.59,835.24,832.64,813.21
427.14,659.43,788.76,827.68,845.33,819.94
432.16,643.44,782.55,832.05,834.53,810.05
437.19,646.06,785.96,811.34,831.24,801.77
442.21,626.19,775.96,817.56,828.93,795.34
447.24,603.62,750.45,804.14,817.07,774.78
452.26,597.70,742.79,790.07,820.45,780.58
457.29,581.67,738.69,790.14,819.97,766.79
462.31,565.52,723.30,777.77,801.35,757.47
467.34,557.64,714.51,768.41,807.24,752.85
472.36,556.96,715.14,773.33,794.06,743.08
477.39,540.56,715.96,767.18,791.24,737.22
482.41,555.20,718.77,778.22,791.38,747.49
487.44,557.46,728.17,779.49,808.18,758.14
492.46,576.79,733.27,787.66,810.27,756.12
497.49,599.24,751.48,795.52,809.09,773.46
502.51,613.04,749.69,805.23,817.79,786.56
507.54,622.63,767.16,807.36,830.44,791.81
512.56,630.09,780.45,826.71,839.33,802.26
517.59,646.18,781.24,823.24,849.18,811.27
522.61,638.88,793.22,846.76,847.66,815.70
527.64,641.91,792.51,818.36,852.22,818.85
532.66,639.67,781.77,841.54,840.40,810.84
537.69,630.61,777.24,819.15,834.63,790.81
542.71,627.47,764.76,815.43,833.09,795.13
547.74,602.56,754.45,810.94,824.66,774.49
552.76,589.84,755.38,792.88,814.42,776.49
