# SYNTHETIC/ILLUSTRATIVE DATA - Based on published literature ranges
# Topic: Thermo-mechanical behavior of SOFC at high temperatures
# DO NOT use as ground truth without independent verification
Cycle_Number,Ramp_Rate_C_per_min,Peak_Power_W_per_cm2,OCV_V,Voltage_at_0.5A_per_cm2_V,ASR_Ohm_cm2,Cumulative_Degradation_pct,Observation
0,5,0.62,1.08,0.75,0.18,0.0,Fresh cell
1,5,0.6193,1.0799,0.7491,0.1804,0.12,Initial degradation phase
2,5,0.6185,1.0799,0.7482,0.1809,0.24,Initial degradation phase
5,5,0.6163,1.0797,0.7455,0.1822,0.6,Initial degradation phase
10,5,0.6126,1.0794,0.741,0.1843,1.2,Moderate degradation
20,5,0.6052,1.0788,0.7321,0.1886,2.38,Moderate degradation
30,5,0.598,1.0782,0.7233,0.1928,3.56,Moderate degradation
50,5,0.5836,1.0771,0.7059,0.2012,5.88,Accelerated degradation
75,5,0.5659,1.0756,0.6846,0.2114,8.73,Accelerated degradation
100,5,0.5486,1.0742,0.6636,0.2215,11.52,Significant performance loss
0,10,0.62,1.08,0.75,0.18,0.0,Fresh cell
1,10,0.6181,1.0798,0.7477,0.1811,0.3,Initial degradation phase
2,10,0.6163,1.0797,0.7455,0.1822,0.6,Initial degradation phase
5,10,0.6107,1.0792,0.7387,0.1854,1.5,Initial degradation phase
10,10,0.6015,1.0785,0.7276,0.1908,2.99,Moderate degradation
20,10,0.5834,1.0771,0.7058,0.2012,5.9,Moderate degradation
30,10,0.5658,1.0756,0.6845,0.2114,8.74,Moderate degradation
50,10,0.532,1.0729,0.6436,0.2311,14.19,Accelerated degradation
75,10,0.4922,1.0697,0.5954,0.2542,20.61,Accelerated degradation
100,10,0.4549,1.0667,0.5502,0.2759,26.64,Significant performance loss
0,20,0.62,1.08,0.75,0.18,0.0,Fresh cell
1,20,0.6149,1.0796,0.7439,0.1829,0.82,Initial degradation phase
2,20,0.6099,1.0792,0.7378,0.1859,1.63,Initial degradation phase
5,20,0.5951,1.078,0.7198,0.1945,4.02,Initial degradation phase
10,20,0.5711,1.0761,0.6908,0.2084,7.89,Moderate degradation
20,20,0.5258,1.0724,0.6361,0.2347,15.19,Moderate degradation
30,20,0.484,1.069,0.5855,0.259,21.94,Moderate degradation
50,20,0.4094,1.063,0.4952,0.3023,33.97,Accelerated degradation
75,20,0.331,1.0567,0.4004,0.3478,46.62,Accelerated degradation
100,20,0.2662,1.0515,0.322,0.3854,57.07,Significant performance loss
