# SYNTHETIC/ILLUSTRATIVE DATA - Based on published literature ranges
# Topic: Thermo-mechanical behavior of SOFC at high temperatures
# DO NOT use as ground truth without independent verification
Material,Temperature_C,C1_Pre_Exponential,C2_Stress_Exponent,C3_Activation_Energy_J_per_mol,C4_Gas_Constant_J_per_molK,Valid_Stress_Range_MPa,Model_Type,Source_Basis
Ni-8YSZ,750,2.1e-09,2.4,235000,8.314,5-20 MPa,Norton power-law,Huang et al. 1998
Ni-8YSZ,800,3.8e-09,2.6,240000,8.314,5-25 MPa,Norton power-law,Huang et al. 1998
Ni-8YSZ,900,1.2e-08,3.1,250000,8.314,5-30 MPa,Norton power-law,Huang et al. 1998
Ni-8YSZ,1000,4.5e-08,3.8,265000,8.314,5-35 MPa,Norton power-law,Huang et al. 1998
8YSZ,800,1.2e-11,1.8,400000,8.314,10-100 MPa,Coble creep,Kilo et al. 2003
8YSZ,900,5.5e-11,1.9,410000,8.314,10-120 MPa,Coble creep,Kilo et al. 2003
8YSZ,1000,2.8e-10,2.1,425000,8.314,10-150 MPa,Nabarro-Herring,Kilo et al. 2003
LSCF,800,5.2e-10,2.2,280000,8.314,5-40 MPa,Grain boundary sliding,Mori et al. 2005
LSCF,900,2.8e-09,2.5,295000,8.314,5-50 MPa,Dislocation creep,Mori et al. 2005
Crofer 22 APU,750,1.8e-14,5.2,320000,8.314,20-200 MPa,Dislocation creep,ThyssenKrupp VDM
Crofer 22 APU,800,8.5e-14,5.5,330000,8.314,20-220 MPa,Dislocation creep,ThyssenKrupp VDM
Crofer 22 APU,850,3.2e-13,5.8,340000,8.314,20-240 MPa,Power-law breakdown,ThyssenKrupp VDM
