# SYNTHETIC/ILLUSTRATIVE DATA - Based on published literature ranges
# Topic: Thermo-mechanical behavior of SOFC at high temperatures
# DO NOT use as ground truth without independent verification
Position_x_mm,Position_y_mm,T_SteadyState_K,T_Startup_K,T_LoadStep_K,dTdx_K_per_mm
0,0,1082.5,979.6,1073.0,0.223
0,5,1083.6,990.3,1073.0,0.263
0,10,1084.8,1001.0,1073.0,0.308
0,15,1086.1,1011.7,1073.0,0.357
0,20,1087.3,1022.5,1073.0,0.409
0,25,1088.5,1033.1,1073.0,0.463
0,30,1089.6,1043.7,1073.0,0.514
0,35,1090.6,1054.3,1073.0,0.56
0,40,1091.3,1064.6,1073.0,0.597
0,45,1091.7,1074.9,1073.0,0.621
0,50,1091.9,1085.0,1073.0,0.63
0,55,1091.7,1094.9,1073.0,0.621
0,60,1091.3,1104.6,1073.0,0.597
0,65,1090.6,1114.3,1073.0,0.56
0,70,1089.6,1123.7,1073.0,0.514
0,75,1088.5,1133.1,1073.0,0.463
0,80,1087.3,1142.5,1073.0,0.409
0,85,1086.1,1151.7,1073.0,0.357
0,90,1084.8,1161.0,1073.0,0.308
0,95,1083.6,1170.3,1073.0,0.263
0,100,1082.5,1179.6,1073.0,0.223
5,0,1083.6,980.3,1073.0,0.237
5,5,1085.0,991.1,1073.0,0.283
5,10,1086.4,1002.0,1073.0,0.335
5,15,1088.0,1012.8,1073.0,0.393
5,20,1089.5,1023.7,1073.0,0.457
5,25,1091.0,1034.5,1073.0,0.524
5,30,1092.4,1045.2,1073.0,0.59
5,35,1093.6,1055.9,1073.0,0.651
5,40,1094.5,1066.4,1073.0,0.7
5,45,1095.1,1076.7,1073.0,0.732
5,50,1095.3,1086.8,1073.0,0.744
5,55,1095.1,1096.7,1073.0,0.732
5,60,1094.5,1106.4,1073.0,0.7
5,65,1093.6,1115.9,1073.0,0.651
5,70,1092.4,1125.2,1073.0,0.59
5,75,1091.0,1134.5,1073.0,0.524
5,80,1089.5,1143.7,1073.0,0.457
5,85,1088.0,1152.8,1073.0,0.393
5,90,1086.4,1162.0,1073.0,0.335
5,95,1085.0,1171.1,1073.0,0.283
5,100,1083.6,1180.3,1073.0,0.237
10,0,1084.8,981.0,1073.0,0.246
10,5,1086.4,992.0,1073.0,0.298
10,10,1088.2,1002.9,1073.0,0.358
10,15,1090.0,1014.0,1073.0,0.427
10,20,1091.9,1025.0,1073.0,0.504
10,25,1093.8,1036.0,1073.0,0.587
10,30,1095.5,1046.9,1073.0,0.671
10,35,1097.1,1057.8,1073.1,0.751
10,40,1098.3,1068.4,1073.1,0.818
10,45,1099.1,1078.8,1073.1,0.863
10,50,1099.4,1088.9,1073.2,0.879
10,55,1099.1,1098.8,1073.1,0.863
10,60,1098.3,1108.4,1073.1,0.818
10,65,1097.1,1117.8,1073.1,0.751
10,70,1095.5,1126.9,1073.0,0.671
10,75,1093.8,1136.0,1073.0,0.587
10,80,1091.9,1145.0,1073.0,0.504
10,85,1090.0,1154.0,1073.0,0.427
10,90,1088.2,1162.9,1073.0,0.358
10,95,1086.4,1172.0,1073.0,0.298
10,100,1084.8,1181.0,1073.0,0.246
15,0,1086.1,981.7,1073.0,0.25
15,5,1088.0,992.8,1073.0,0.306
15,10,1090.0,1004.0,1073.0,0.373
15,15,1092.2,1015.2,1073.0,0.453
15,20,1094.5,1026.4,1073.0,0.544
15,25,1096.8,1037.6,1073.1,0.647
15,30,1099.1,1048.8,1073.1,0.755
15,35,1101.1,1059.8,1073.2,0.861
15,40,1102.7,1070.7,1073.4,0.953
15,45,1103.8,1081.2,1073.5,1.015
15,50,1104.1,1091.4,1073.5,1.038
15,55,1103.8,1101.2,1073.5,1.015
