# SYNTHETIC/ILLUSTRATIVE DATA - Based on published literature ranges
# Topic: Thermo-mechanical behavior of SOFC at high temperatures
# DO NOT use as ground truth without independent verification
Time_s,Temperature_C,Phase,VonMises_Anode_MPa,VonMises_Electrolyte_MPa,VonMises_Cathode_MPa,VonMises_Interconnect_MPa,Max_Principal_Electrolyte_MPa,Interface_Shear_MPa,Creep_Strain_pct
0,25.0,Heating,45.0,120.0,35.0,80.0,180.0,25.0,0
200,84.6,Heating,51.5,133.8,40.8,90.8,196.9,28.8,0
400,144.2,Heating,58.1,147.7,46.5,101.5,213.8,32.7,0
600,203.8,Heating,64.6,161.5,52.3,112.3,230.8,36.5,0
800,263.5,Heating,71.2,175.4,58.1,123.1,247.7,40.4,0
1000,323.1,Heating,77.7,189.2,63.8,133.8,264.6,44.2,0
1200,382.7,Heating,84.2,203.1,69.6,144.6,281.5,48.1,0
1400,442.3,Heating,90.8,216.9,75.4,155.4,298.5,51.9,0
1600,501.9,Heating,97.3,230.8,81.2,166.2,315.4,55.8,0
1800,561.5,Heating,103.8,244.6,86.9,176.9,332.3,59.6,0
2000,621.2,Heating,110.4,258.5,92.7,187.7,349.2,63.5,0
2200,680.8,Heating,116.9,272.3,98.5,198.5,366.2,67.3,0
2400,740.4,Heating,123.5,286.2,104.2,209.2,383.1,71.2,0
2600,800.0,Heating,130.0,300.0,110.0,220.0,400.0,75.0,0
2600,800,Dwell,130.0,300.0,110.0,220.0,400.0,75.0,0.0
2800,800,Dwell,127.8,295.1,108.2,216.4,393.2,73.8,0.0041
3000,800,Dwell,125.7,290.3,106.5,213.0,386.5,72.6,0.0081
3200,800,Dwell,123.6,285.6,104.8,209.6,380.0,71.4,0.012
3400,800,Dwell,121.6,281.1,103.2,206.3,373.7,70.3,0.0158
3600,800,Dwell,119.6,276.7,101.6,203.1,367.6,69.2,0.0195
3800,800,Dwell,117.7,272.4,100.0,200.0,361.6,68.1,0.023
4000,800,Dwell,115.9,268.2,98.5,197.0,355.8,67.0,0.0265
4200,800,Dwell,114.1,264.1,97.0,194.1,350.2,66.0,0.0299
4400,800,Dwell,112.3,260.2,95.6,191.2,344.7,65.0,0.0332
4600,800,Dwell,110.6,256.3,94.2,188.5,339.4,64.1,0.0364
4800,800,Dwell,108.9,252.6,92.9,185.8,334.2,63.2,0.0395
5000,800,Dwell,107.3,249.0,91.6,183.1,329.1,62.2,0.0425
5200,800,Dwell,105.8,245.4,90.3,180.6,324.2,61.4,0.0455
5400,800,Dwell,104.2,242.0,89.1,178.1,319.5,60.5,0.0483
5600,800,Dwell,102.7,238.7,87.9,175.7,314.8,59.7,0.0511
5800,800,Dwell,101.3,235.4,86.7,173.4,310.3,58.9,0.0538
6000,800,Dwell,99.9,232.3,85.5,171.1,305.9,58.1,0.0565
6200,800,Dwell,98.5,229.2,84.4,168.8,301.6,57.3,0.059
6200,800.0,Cooling,60.0,140.0,50.0,100.0,170.0,35.0,0.12
6400,740.4,Cooling,67.3,156.2,56.5,112.3,189.2,39.6,0.12
6600,680.8,Cooling,74.6,172.3,63.1,124.6,208.5,44.2,0.12
6800,621.2,Cooling,81.9,188.5,69.6,136.9,227.7,48.8,0.12
7000,561.5,Cooling,89.2,204.6,76.2,149.2,246.9,53.5,0.12
7200,501.9,Cooling,96.5,220.8,82.7,161.5,266.2,58.1,0.12
7400,442.3,Cooling,103.8,236.9,89.2,173.8,285.4,62.7,0.12
7600,382.7,Cooling,111.2,253.1,95.8,186.2,304.6,67.3,0.12
7800,323.1,Cooling,118.5,269.2,102.3,198.5,323.8,71.9,0.12
8000,263.5,Cooling,125.8,285.4,108.8,210.8,343.1,76.5,0.12
8200,203.8,Cooling,133.1,301.5,115.4,223.1,362.3,81.2,0.12
8400,144.2,Cooling,140.4,317.7,121.9,235.4,381.5,85.8,0.12
8600,84.6,Cooling,147.7,333.8,128.5,247.7,400.8,90.4,0.12
8800,25.0,Cooling,155.0,350.0,135.0,260.0,420.0,95.0,0.12
