feature1,feature2,correlation
resistance_change_percent,thermal_resistance_change_percent,0.9999999999999983
porosity_percent,microstructure_score,-0.9966596394971557
fatigue_life_cycles,mttf_hours,0.9895424788299848
shear_strength_mpa,tensile_strength_mpa,0.9813102169908774
nugget_diameter_mm,weld_width_mm,0.9782862489774921
weld_width_mm,haz_width_mm,0.9456523247438818
reliability_95_percent,performance_score,0.943398214493583
nugget_diameter_mm,haz_width_mm,0.9243973672254937
contact_resistance_mohm,thermal_resistance_k_w,0.9141231329196344
nugget_diameter_mm,penetration_depth_mm,0.900406763833695
penetration_depth_mm,weld_width_mm,0.882119735571311
electrical_conductivity_s_m,thermal_conductivity_w_mk,0.8768461533944705
shear_strength_mpa,thermal_resistance_k_w,0.8600817696606358
hardness_hv,creep_resistance_hours,0.8537834485737145
tensile_strength_mpa,thermal_resistance_k_w,0.8438499925319076
pulse_frequency_hz,nugget_diameter_mm,-0.8341928429232016
penetration_depth_mm,haz_width_mm,0.8326382265110037
thermal_conductivity_w_mk,thermal_resistance_k_w,-0.8312678396897367
contact_resistance_mohm,shear_strength_mpa,0.8275769598294797
pulse_frequency_hz,weld_width_mm,-0.8235714234299524
contact_resistance_mohm,tensile_strength_mpa,0.8119871558968712
pulse_frequency_hz,haz_width_mm,-0.7931691064990378
pulse_frequency_hz,penetration_depth_mm,-0.7791284951434434
resistance_change_percent,strength_retention_percent,-0.7779350375805387
strength_retention_percent,thermal_resistance_change_percent,-0.7779350375805376
electrical_conductivity_s_m,thermal_resistance_k_w,-0.766121678045051
contact_resistance_mohm,electrical_conductivity_s_m,-0.7596729798260796
thermal_conductivity_w_mk,shear_strength_mpa,-0.7427095282934643
contact_resistance_mohm,thermal_conductivity_w_mk,-0.7381853484734371
thermal_conductivity_w_mk,tensile_strength_mpa,-0.729715048775944
electrical_conductivity_s_m,shear_strength_mpa,-0.6910891896035634
electrical_conductivity_s_m,tensile_strength_mpa,-0.678907780102856
thermal_resistance_k_w,creep_resistance_hours,0.642753812024766
thermal_stress_mpa,creep_resistance_hours,-0.6425260099664484
thermal_stress_mpa,thermal_resistance_k_w,-0.6410486615181366
contact_resistance_mohm,creep_resistance_hours,0.6206236106707412
pulse_frequency_hz,fatigue_life_cycles,0.6118008458566644
hardness_hv,thermal_stress_mpa,-0.6099739568129843
hardness_hv,thermal_resistance_k_w,0.6099114010052722
contact_resistance_mohm,thermal_stress_mpa,-0.6066135443330607
pulse_frequency_hz,mttf_hours,0.6053346790094307
thermal_conductivity_w_mk,hardness_hv,-0.5863749995299266
power_w,pulse_frequency_hz,-0.5826745625561551
contact_resistance_mohm,hardness_hv,0.5824629822585138
thermal_conductivity_w_mk,thermal_stress_mpa,0.5780115274055224
electrical_conductivity_s_m,thermal_stress_mpa,0.5729920192909488
microstructure_score,bond_quality_index,0.5719397235153656
porosity_percent,bond_quality_index,-0.5699915503758223
electrical_conductivity_s_m,hardness_hv,-0.5603321588527787
thermal_conductivity_w_mk,creep_resistance_hours,-0.5479296482801184
shear_strength_mpa,creep_resistance_hours,0.5334837289124839
electrical_conductivity_s_m,creep_resistance_hours,-0.5279137637541448
tensile_strength_mpa,creep_resistance_hours,0.5236816883973936
shear_strength_mpa,hardness_hv,0.5223551737812658
tensile_strength_mpa,hardness_hv,0.5123113561816413
