anode_material,cathode_material,tab_thickness_um,surface_coating,welding_technique,power_W,amplitude_um,force_N,time_s,speed_mm_s,pulse_frequency_Hz,preheat_temp_C,humidity_percent,atmospheric_pressure_Pa,weld_strength_MPa,electrical_resistance_uOhm,weld_area_mm2,heat_affected_zone_mm,porosity_percent,surface_roughness_um,microhardness_HV,grain_size_um,energy_density_J_mm3,min_temp_C,max_temp_C,cycle_count,thermal_fatigue_life_cycles,resistance_drift_percent,mechanical_degradation_percent,crack_propagation_rate_mm_cycle,thermal_shock_resistance_J_m2,long_term_reliability_score,temperature_range_C,material_mismatch,conductivity_ratio,density_mismatch,weld_quality_class,thermal_performance_class
Brass,Al-Mg,265.0002266099076,Sn-plated,Laser,1836.0276128244986,0.0,0.0,0.08995727464335605,113.95479521899308,6846.030960329782,6.0745484281880415,75.89187213324996,108431.9409968519,64.32088460487341,39.7314697768359,0.1,0.1,7.209606266843329,1.7859064743023247,581.1266590629929,58.352352378650075,16.11189427611278,-25.737015200673923,148.52883172913295,6974,38941.70605968916,2.470949711621398,11.016889341096798,9.871866649555588e-08,10.0,38.31388182850605,174.26584692980686,300,0.7077922077922078,5.84,Fair,High
Bronze,Al,227.47929336518268,None,TIG,152.75897220659542,0.0,0.0,6.895924663829221,5.940626251781867,64.90256812604113,57.482014492355106,33.46898461969164,104810.20869750963,94.36273358408762,28.407240460182862,0.6746953803281585,0.1,11.844496734172168,1.2560149816851247,1075.72223755115,41.387337709275116,4630.8142973240665,-35.061411506018324,149.8463777963778,5384,60879.33519624497,2.470963896329586,6.937793020734026,1.4613660941536994e-07,93.60415024427459,42.666489678679454,184.9077893023961,290,0.2742616033755274,6.1000000000000005,Fair,High
Cu-Be,Al-1100,114.37850681432467,None,USW,1307.0964049448878,36.06664296187723,1921.9304547811792,0.4829417330137026,0.0,24813.416322390167,40.14347283025281,67.45135200469426,108802.14153078523,120.27318842422072,7.035647926441622,6.083272487393842,0.1,6.4803899784927,2.2345155911709984,1340.82794455056,16.699629593130368,5518.968734613758,-26.850419979098575,84.5589006068186,8376,178812.32843120114,1.8403111534487233,5.608441774320318,1.2550966594502136e-07,2669.5945353502925,61.12243663662219,111.40932058591717,387,0.47297297297297297,5.54,Good,Excellent
Bronze,Al-1100,147.06079018472724,Ag-plated,Laser,1630.8474634715883,0.0,0.0,0.01317813591477578,198.89169019077292,6781.707614170989,33.111801327805864,45.84659537284345,103153.68032583139,34.254407156449226,56.65226305144656,0.1,0.1,10.386506412308222,2.789551495762957,388.30422942180974,45.2444745199619,8.199676225323,-21.68506230566518,106.437960144413,1675,16945.502433509053,1.991328885943568,1.0148310430193566,2.2525545820974225e-07,10.0,19.558532419675604,128.12302245007817,307,0.2927927927927928,6.090000000000001,Poor,High
Bronze,Al-Mg,329.58997760445874,Ag-plated,RSW,7375.6032617384,0.0,4352.214173470898,0.7994214419917383,0.0,50.0,30.31985426023497,54.01549269022405,89133.38772109819,601.9599841064481,7.984142131498761,20.921170167123577,0.11529586585059785,0.0,2.5704276568488176,3405.7154232663875,9.134474287958977,17889.546999921015,-27.840511219994667,121.51968885185448,1355,2270715.117487991,0.8474636778679124,1.6297952702719594,1.8383860003222073e-08,61146.29672685251,100.0,149.36020007184914,320,0.42207792207792205,6.140000000000001,Excellent,Excellent
Cu-Ni,Al-5052,93.04119816463255,Ni-plated,Laser,162.5120145501616,0.0,0.0,0.041243115443231254,48.3538549874542,8713.46194284842,34.157314898076095,69.29156447340378,107761.48318154045,86.48101883626488,22.99454176414343,0.1,0.1,10.780817499010046,1.1038219393141584,729.6767517980918,46.94271528213544,3.360890555516756,-31.64374177719086,113.7394618149599,1617,44412.981676111856,1.9075909027069429,1.5381547995318565,5.7897783875343303e-08,10.0,39.46028803219954,145.38320359215075,563,0.32608695652173914,6.220000000000001,Fair,High
Cu-Be,Al-Mg,69.55591009728514,None,Friction,1520.4294001976734,0.3034392924629896,1398.9943751639403,0.8118867615543437,2245.9902220929043,0.0,23.223917027545177,53.34380924584857,100553.38014379512,419.472391163329,1.8171288588473213,4.30145130054443,0.14538465899502498,2.6743757842626414,1.7149834198545508,4135.383288026967,10.468360371128682,17747.11164259043,-38.69201697378349,94.69174588280931,1900,1784960.939431212,0.5029573722424441,1.488500640024838,5.900267148571685e-08,8781.17487138945,93.63755912751334,133.3837628565928,400,0.6818181818181818,5.59,Excellent,Excellent
Cu-Be,Al-6061,121.04925841909275,Sn-plated,USW,1545.79493908079,19.37485076879276,1131.843057257749,0.17988442611001354,0.0,21432.365332199588,22.365734822013057,30.93576626438981,99225.39486219225,561.9613768563343,2.2012854632108976,3.345400255139807,0.1,0.0,1.2938684104900546,1521.5431272079838,14.801004247204245,2297.118042124684,-38.76518032935224,145.84760373149632,1804,1934614.464144676,0.7879580111306591,2.2708365274706668,2.536614566310106e-08,4667.443420418658,94.79690382316193,184.61278406084855,448,0.6287425149700598,5.55,Excellent,Excellent
Cu-Be,Al-Mg,145.07982936361861,Sn-plated,TIG,93.82605361545217,0.0,0.0,9.375792943174085,4.393966654204079,117.10235679706484,26.145095097127268,78.65245356460994,100541.31902409246,276.96651736979936,5.889429864035428,0.7461770288560048,0.1,3.2915188398650086,2.734963676629673,1921.611768482768,31.549990474061328,6063.514516334473,-25.97769406230458,134.92311752162942,2490,421077.80393302644,1.2081328396952022,2.872600303554025,5.3350323622265176e-08,347.22237689154366,81.58298263404525,160.900811583934,400,0.6818181818181818,5.59,Excellent,Excellent
Bronze,Al-6061,108.82674387982044,Sn-plated,Laser,1055.5897065823399,0.0,0.0,0.06626128252376279,63.03204586451908,1208.675013855538,39.68268883563374,70.45610454301314,108606.84260889489,95.37217436563361,15.507233397220789,0.1,0.1,5.739651519682474,1.1801850439850088,724.0505718767495,43.70203638645559,16.746873627602408,-37.00615795681176,97.21002931664896,4278,90335.95287490524,1.486639379977597,4.926310907460824,9.800658335460428e-08,14.001240362874304,48.99788471893923,134.21618727346072,368,0.38922155688622756,6.1000000000000005,Fair,High
Brass,Al,221.71643985086607,Ni-plated,Laser,254.75805151501297,0.0,0.0,0.02014629946087929,101.7376150640371,2361.0378336625236,23.260811062157494,26.305775093843213,104251.81218260089,33.312273018149696,54.45467799259187,0.1,0.1,10.249738399238801,1.455506745391748,339.5127752933381,40.78729474237196,2.50406942756285,-33.94609417544525,120.38039029627453,9768,20811.224552256484,2.03351973761638,9.208479528871832,1.304790673240213e-07,10.0,18.10578369283747,154.32648447171977,270,0.459915611814346,5.8,Poor,High
Cu-Be,Al-1100,163.18712852847761,None,Laser,924.6039495453643,0.0,0.0,0.0039009527504991017,129.2347085619642,8781.737827082667,30.034857592010944,30.26565270647108,107356.78702528865,24.824476555547328,75.56961107447043,0.1,0.1,12.222500385102093,1.3420564900226117,519.4452934438008,30.047950352163014,7.154455330411832,-30.549482374485304,135.65668436571892,4406,11553.735865290077,3.1177930744087123,2.8829161548839197,1.8751342402902776e-07,10.0,10.280689193420224,166.20616674020422,387,0.47297297297297297,5.54,Poor,High
Bronze,Al-1100,117.78538377547291,Ni-plated,Laser,190.42088596373088,0.0,0.0,0.02258593687348344,70.37637771880505,2873.1185017240587,29.658954126134393,41.13466820048596,107347.97277099796,28.692584568287476,32.676126093845525,0.1,0.1,4.468912075229412,1.360331656291548,461.505298117637,63.85259737168961,2.7057500277234237,-39.98312733621852,115.52446669332349,6421,11328.72692933367,1.7813765197592475,7.161741117358309,2.8535872197812726e-07,10.0,36.76832545672819,155.50759402954202,307,0.2927927927927928,6.090000000000001,Fair,High
Cu-Ni,Al-5052,120.90927835807994,Oxide-removed,RSW,1282.6960813992373,0.0,1426.3138990227033,0.9212156101192717,0.0,50.0,23.894667924316835,48.39084100408542,100046.5229443619,420.1375833876974,6.03462879410251,4.617057402192595,0.116324212444294,1.8227816823994465,2.1811101603800807,2557.915388866563,18.32111041409888,9772.94438665246,-37.5137615012802,136.94105675766752,5977,815083.1432488873,1.421868951510304,5.9289197048348985,2.958390023465193e-08,4072.019225251219,100.0,174.45481825894774,563,0.32608695652173914,6.220000000000001,Excellent,Excellent
Brass,Al-Mg,111.28518455830233,Oxide-removed,Friction,1567.0427027279181,1.9210323372599805,1601.15526733847,4.455649110294049,2467.9637019653474,0.0,20.090509551642903,29.737773154977006,96995.2131427054,403.62039773751275,3.174613308506775,5.116200400441635,0.20552498762657878,2.012369276861757,1.9440898182415098,8050.043261177013,13.208655434378041,62741.43725344192,-30.434662043975788,126.85981069726239,827,1261025.306961343,0.9582626672637149,0.853963242178441,4.129136879578342e-08,10183.678967554362,92.28139736246031,157.29447274123817,300,0.7077922077922078,5.84,Excellent,Excellent
Cu-Ni,Al,209.04067421337723,Ag-plated,Friction,1812.4115832646391,0.17439290584195483,2131.2891419740386,3.0498302409917155,1681.1256984294525,0.0,24.76182024063278,46.92694326850422,110329.18358548268,202.92190143792624,16.340704632654464,7.452463272808069,0.15748278487728037,4.602435966772872,1.3406332361967361,4561.6978923764045,13.172849271969003,26442.450382273233,-37.09640190289688,140.64408245121956,7650,494985.7250515427,0.43640904698132127,9.286559800095898,1.5405684828727058e-07,7990.468395638841,66.59422068324386,177.74048435411643,510,0.189873417721519,6.2,Good,Excellent
Brass,Al-6061,124.16628806220993,None,USW,1760.9599159374336,41.839061766367756,1942.5024677186016,1.6749457818552247,0.0,36759.88433801393,50.567542529214386,46.80295765973756,99881.26574875764,266.3077373655296,5.518081093193746,7.907875615485734,0.13968018394223466,5.299036323963455,2.1188383261858132,3895.508622066323,11.129342678460512,23754.534578159954,-27.72480915956668,102.25155822510587,8506,674140.892393906,1.1564585965921437,6.9927599167757934,7.177594295628043e-08,8505.939198121849,80.82371270226515,129.97636738467256,348,0.6526946107784432,5.8,Excellent,Excellent
Bronze,Al-5052,93.08109499542161,Sn-plated,USW,1709.7567630978524,37.62437081095234,948.0157986399078,0.7845436743231223,0.0,37382.03496507967,30.117995358843675,35.399023268366264,97132.26506614385,358.3437773218365,3.1247744107053954,3.193122948139008,0.13273628733280465,2.8442024963130166,2.576502910054396,3237.8982223613834,13.330669118642987,14410.862411809572,-20.979754864578936,149.87160845510243,9324,1411677.6713670169,1.4779844800416915,5.364301096021705,2.4387320492039316e-08,4483.151294506033,78.54432640548472,170.85136331968135,343,0.47101449275362317,6.120000000000001,Good,Excellent
