anode_material,cathode_material,tab_thickness_um,surface_finish,welding_technique,power_w,amplitude_um,force_n,time_ms,speed_mm_s,pulse_frequency_hz,preheat_temp_c,material_compatibility,weld_strength_mpa,contact_resistance_ohm,weld_width_mm,penetration_depth_mm,porosity_percent,thermal_cycles_to_failure,resistance_degradation_rate,strength_retention_percent,primary_failure_mode
Ti,Al,331.1327569579061,Plated,Laser,3734.496739164876,87.82209887330859,1596.63872069178,552.6287935878763,30.315532108429196,735.6664873110402,37.63849652647959,0.281,240.7563902483044,0.0003146201553193284,1.7667496288491757,0.16672284075057675,0.05653912518584544,815.1464158651808,5.705191880102569e-05,0.27240878522710643,Thermal_Fatigue
Steel,Ti,390.88714735978004,Polished,Laser,2752.5187603401673,64.93862940721138,3946.33499053756,851.5972013267768,13.488784928104439,396.3468524828235,177.06618867632304,0.888,1724.6131886782641,0.0001468747521786898,1.8602255565456667,0.27438885999707796,0.038824343600100314,16447.174335829965,9.065424849403798e-06,0.8931690926392453,Delamination
Ni,Steel,428.4624369908353,Plated,Resistance_Spot,521.1020372922776,98.45192433888256,4310.85839114045,494.8037429595333,33.34846733451727,677.5466128804316,145.02618798003135,0.9365,619.7405395234158,0.00015580909375364964,1.0375132101358733,0.06487442807614363,0.06629028645864651,4117.459202930971,4.888322283798473e-06,0.7665024118013618,Delamination
Steel,Ti,392.8158935941387,Rough,Resistance_Spot,231.37124199870198,86.54067103644249,2882.613357047051,772.0674043622529,45.54962777702427,890.735965906219,54.473731108415166,0.888,1411.827367557814,0.00027517243179861847,0.7566824103617348,0.03611763666108123,0.05556575753212712,10010.915031532377,1.460173529010518e-05,0.7304650455204721,Delamination
Steel,Ti,209.30222443155918,Rough,USW,1877.0620158317254,88.26699404972335,1541.1356584084685,330.1886092178693,18.58375048416166,456.3163486220834,260.6639360066308,0.888,716.8820422070866,0.0004171785897488426,1.2405343287955264,0.1370938666793154,0.052812954714644963,4549.744407475994,1.3539609460744706e-05,0.7814693077072746,Delamination
Al,Steel,498.5268804759799,Plated,Friction_Stir,4030.897266835005,63.80647126144058,2686.4851080889125,606.1292949872297,13.977596937148077,553.8749677991399,159.09432050975616,0.393,168.10075753771434,0.00019946614788242235,3.75487472603239,0.36975646578744875,0.03694872544326035,789.5782549677403,4.339198727603747e-05,0.4280810426925546,Thermal_Fatigue
Ni,Ti,245.526212173687,Coated,USW,301.64107737882324,17.284843401944023,4198.238963295282,643.0061810970383,48.35871042045397,677.5005000697679,147.06659534036464,0.8245,1568.295000581659,0.00027333894007435433,0.6810020208168948,0.028863907199975027,0.05372243485344886,11163.329348215395,1.950666842322983e-05,0.7736528160352311,Delamination
Ni,Steel,61.00911624152004,Polished,Resistance_Spot,3551.553450307465,92.20566358592887,1648.5853656684387,761.6942200917268,38.56091436138409,494.61289177376574,136.8619508034509,0.9365,456.81654465143333,0.00027489227200362546,2.910249532288511,0.05885220864811038,0.05854398971269963,2650.196340406878,5.812898616556108e-06,0.745680872905205,Delamination
Ni,Steel,213.17762821345792,Plated,Laser,3311.3437536947695,20.609761073431304,1988.64117062035,801.4935164148967,3.439133288487983,164.03528005327698,226.57189840034533,0.9365,481.8506153796778,0.00028190714728699474,2.2763653863317197,0.3850333240571635,0.03776190236301206,4662.4572605615285,4.934270250614825e-06,0.8753381283240306,Delamination
Steel,Steel,107.50232955822946,Polished,Laser,1401.1346161865592,56.543140842271214,2744.501251651217,283.738011881828,28.497960092355196,294.2820748712113,34.49551761219576,1.0,420.2777428223605,0.00019797381102538804,0.7845803432627213,0.06252136191098978,0.029360192966786058,5032.043287587682,0.0,0.9975240073960844,Delamination
Ti,Al,104.64917707776875,Plated,Resistance_Spot,479.71097510096234,87.11701643004797,4446.977158786241,391.2074215004006,12.487115506960592,29.158442295716767,80.28722412024135,0.281,365.5190819924846,0.00015199722188954885,0.7680152354910562,0.06549328368553681,0.09458429114548825,744.6999723482975,5.379362605916708e-05,0.2213483499502333,Thermal_Fatigue
