sample_id,weld_width_mm,weld_depth_mm,nugget_diameter_mm,tensile_strength_MPa,shear_strength_MPa,peel_strength_N_mm,contact_resistance_mohm,electrical_conductivity_MS_m,grain_size_um,porosity_percent,intermetallic_thickness_um,thermal_conductivity_W_mK,heat_affected_zone_mm,weld_quality_score,surface_roughness_post_weld_um,hardness_HV,crack_density_per_mm2,void_fraction_percent,oxidation_level,weld_penetration_percent,fusion_zone_area_mm2
WLD_000001,1.302,0.408,2.676,324.9,179.8,32.1,4.5848,27.7,24.2,1.46,7.38,13.4,1.202,0.63,7.95,245.5,0.265,1.536,High,64.3,0.417
WLD_000002,1.067,0.328,3.026,226.1,150.1,158.4,0.9971,29.12,15.6,0.31,3.25,24.4,0.813,0.82,0.73,213.9,0.139,0.128,Low,82.1,0.275
WLD_000003,0.747,0.437,3.845,50.0,37.8,218.5,0.5935,35.76,20.5,0.09,0.18,32.0,0.571,0.77,2.39,202.4,0.0,0.031,Medium,65.5,0.256
WLD_000004,0.791,0.425,1.798,216.2,135.8,76.3,5.7872,32.86,17.6,0.73,3.73,23.6,0.62,0.66,7.43,181.3,0.17,0.679,Medium,62.2,0.264
WLD_000005,0.83,0.467,2.088,119.8,61.3,106.7,0.9183,18.89,19.0,0.42,5.92,28.9,0.712,0.66,7.54,238.7,0.025,0.427,Low,76.7,0.304
WLD_000006,1.238,0.24,4.66,218.0,198.1,241.4,1.0387,26.8,20.6,0.5,4.1,28.7,1.022,0.78,0.65,99.5,0.019,0.577,Low,75.9,0.234
WLD_000007,0.973,0.093,2.919,187.6,151.8,61.6,0.1189,33.44,23.7,0.12,6.97,34.4,0.782,0.72,4.48,206.7,0.072,0.303,Medium,60.5,0.071
WLD_000008,0.804,0.141,2.862,104.9,93.6,68.5,3.0814,32.24,12.1,0.2,3.18,21.2,0.558,0.67,4.3,95.1,0.0,0.487,Low,94.4,0.089
WLD_000009,0.719,0.468,3.516,87.0,66.1,73.9,3.4668,32.3,14.6,0.82,3.25,22.1,0.36,0.61,6.6,267.9,0.01,0.948,Medium,93.0,0.264
WLD_000010,0.707,0.242,1.258,63.9,35.0,61.0,1.3223,35.6,18.5,0.03,0.4,31.4,0.66,0.76,5.72,289.1,0.0,-0.068,Medium,97.1,0.134
WLD_000011,1.387,0.487,1.251,237.3,157.2,376.9,0.8768,19.3,23.2,0.0,5.88,18.6,1.167,0.78,1.81,156.1,0.0,-0.288,Medium,70.6,0.531
WLD_000012,1.516,0.159,3.765,241.7,166.7,71.2,0.5152,19.85,20.2,0.38,5.2,13.0,1.253,0.79,0.59,257.2,0.158,0.631,Low,88.7,0.189
WLD_000013,1.041,0.134,1.613,66.1,37.3,63.8,2.0307,40.79,30.2,0.07,0.26,27.8,0.991,0.74,3.86,97.0,0.0,0.163,Medium,78.7,0.109
