sample_id,anode_material,cathode_material,tab_thickness_um,anode_surface_finish,cathode_surface_finish,welding_technique,power_W,amplitude_um,force_N,time_s,speed_mm_s,pulse_frequency_Hz,preheat_temperature_C,ambient_temperature_C,ambient_humidity_percent,electrode_material,shielding_gas,surface_roughness_um,weld_width_mm,weld_depth_mm,nugget_diameter_mm,tensile_strength_MPa,shear_strength_MPa,peel_strength_N_mm,contact_resistance_mohm,electrical_conductivity_MS_m,grain_size_um,porosity_percent,intermetallic_thickness_um,thermal_conductivity_W_mK,heat_affected_zone_mm,weld_quality_score,surface_roughness_post_weld_um,hardness_HV,crack_density_per_mm2,void_fraction_percent,oxidation_level,weld_penetration_percent,fusion_zone_area_mm2,min_cycle_temperature_C,max_cycle_temperature_C,total_cycles_tested,initial_contact_resistance_mohm,final_contact_resistance_mohm,resistance_drift_percent,tensile_strength_retention_percent,shear_strength_retention_percent,fatigue_life_cycles,crack_growth_rate_mm_cycle,thermal_expansion_mismatch_ppm_K,stress_concentration_factor,primary_failure_mode,time_to_failure_hours,cycle_life_score,reliability_score,temperature_stability_index,corrosion_resistance_score,dimensional_stability_um,interface_adhesion_strength_MPa,oxidation_resistance_score,creep_resistance_score
WLD_000001,Titanium,Copper,408.4,Passivated,Tin-plated,Electron Beam Welding,2468.0,,344.9,2.323,,,104.6,30.3,32.8,Tungsten,Nitrogen,0.99,1.302,0.408,2.676,324.9,179.8,32.1,4.5848,27.7,24.2,1.46,7.38,13.4,1.202,0.63,7.95,245.5,0.265,1.536,High,64.3,0.417,-39.0,101.9,9112,4.5848,6.2605,36.55,75.8,72.0,25696,2.08e-06,7.14,1.66,Thermal Degradation,1659.5,0.355,0.264,0.762,0.775,3.22,88.3,0.591,0.841
WLD_000002,Copper,Steel,327.9,Nickel-plated,Anodized,Electron Beam Welding,1841.4,,1855.0,0.74,,,79.3,21.4,69.3,Molybdenum,Helium,3.0,1.067,0.328,3.026,226.1,150.1,158.4,0.9971,29.12,15.6,0.31,3.25,24.4,0.813,0.82,0.73,213.9,0.139,0.128,Low,82.1,0.275,-33.0,135.6,5100,0.9971,1.1484,15.17,85.2,80.9,14140,1.54e-06,6.43,1.95,Fatigue Cracking,5100.0,0.361,0.574,0.76,0.907,3.17,92.0,0.778,0.857
WLD_000003,Aluminum,Aluminum,437.0,Passivated,Oxide-cleaned,Ultrasonic Welding,662.6,48.0,1934.7,1.636,,,59.6,29.6,34.9,Molybdenum,Helium,0.7,0.747,0.437,3.845,50.0,37.8,218.5,0.5935,35.76,20.5,0.09,0.18,32.0,0.571,0.77,2.39,202.4,0.0,0.031,Medium,65.5,0.256,-33.4,123.8,9045,0.5935,0.8103,36.53,79.3,75.4,3809,1.23e-06,0.09,1.39,Fatigue Cracking,1959.6,1.0,0.331,0.712,0.8,3.26,121.7,0.641,0.675
WLD_000004,Copper,Steel,424.9,Tin-plated,Anodized,Ultrasonic Welding,1146.9,36.5,692.3,1.088,,,91.1,34.5,39.2,Tungsten,Helium,4.7,0.791,0.425,1.798,216.2,135.8,76.3,5.7872,32.86,17.6,0.73,3.73,23.6,0.62,0.66,7.43,181.3,0.17,0.679,Medium,62.2,0.264,-30.2,142.4,8834,5.7872,8.1937,41.58,82.1,78.0,11003,8.7e-07,4.56,1.63,Thermal Degradation,7004.9,0.803,0.245,0.786,0.798,0.47,190.3,0.635,0.739
WLD_000005,Aluminum,Steel,467.0,Passivated,Electropolished,Cold Welding,944.7,,1009.7,1.974,,178.4,56.5,20.4,57.1,Molybdenum,None,0.47,0.83,0.467,2.088,119.8,61.3,106.7,0.9183,18.89,19.0,0.42,5.92,28.9,0.712,0.66,7.54,238.7,0.025,0.427,Low,76.7,0.304,-27.8,140.2,5743,0.9183,1.1007,19.87,87.2,82.8,1767,1.5e-06,12.94,1.58,Fatigue Cracking,3247.2,1.0,0.537,0.868,0.862,4.55,181.7,0.877,0.699
WLD_000006,Titanium,Copper,240.5,Bare,Silver-plated,Resistance Spot Welding,2391.9,,3701.0,0.811,,,98.8,29.1,76.3,Graphite,Argon,3.15,1.238,0.24,4.66,218.0,198.1,241.4,1.0387,26.8,20.6,0.5,4.1,28.7,1.022,0.78,0.65,99.5,0.019,0.577,Low,75.9,0.234,-38.6,90.8,5894,1.0387,1.2814,23.37,88.0,83.6,21728,1.28e-06,8.88,2.05,Thermal Degradation,5894.0,0.271,0.456,0.772,0.835,1.25,178.0,0.846,0.725
WLD_000007,Copper,Nickel,92.9,Passivated,Passivated,Cold Welding,1435.7,65.6,2667.3,2.387,,380.4,93.0,26.4,68.5,Copper,Nitrogen,0.22,0.973,0.093,2.919,187.6,151.8,61.6,0.1189,33.44,23.7,0.12,6.97,34.4,0.782,0.72,4.48,206.7,0.072,0.303,Medium,60.5,0.071,-22.6,134.1,5865,0.1189,0.1264,6.31,86.3,82.0,17252,1.32e-06,-0.09,2.17,Fatigue Cracking,5865.0,0.34,0.669,0.616,0.905,3.18,97.0,0.775,0.748
WLD_000008,Copper,Steel,140.8,Electropolished,Passivated,Ultrasonic Welding,1285.9,30.3,1824.4,0.574,,,73.3,21.9,67.8,Graphite,Air,3.5,0.804,0.141,2.862,104.9,93.6,68.5,3.0814,32.24,12.1,0.2,3.18,21.2,0.558,0.67,4.3,95.1,0.0,0.487,Low,94.4,0.089,-22.1,135.2,5998,3.0814,4.2589,38.21,87.0,82.7,6781,9.7e-07,5.27,2.14,Fatigue Cracking,5623.1,0.885,0.353,0.641,0.838,2.95,116.7,0.867,0.613
WLD_000009,Nickel,Copper,468.4,Oxide-cleaned,Anodized,Ultrasonic Welding,763.7,28.3,515.0,0.891,,,134.8,20.1,46.2,Copper,Argon,1.43,0.719,0.468,3.516,87.0,66.1,73.9,3.4668,32.3,14.6,0.82,3.25,22.1,0.36,0.61,6.6,267.9,0.01,0.948,Medium,93.0,0.264,-20.3,134.0,1821,3.4668,4.3481,25.42,92.9,88.3,5414,1.72e-06,3.26,1.6,Intermetallic Embrittlement,1821.0,0.336,0.36,0.752,0.751,0.85,108.6,0.505,0.797
WLD_000010,Aluminum,Aluminum,242.2,Silver-plated,Oxide-cleaned,Ultrasonic Welding,1262.0,16.6,1114.8,1.021,,,110.0,22.2,43.5,Molybdenum,Argon,2.08,0.707,0.242,1.258,63.9,35.0,61.0,1.3223,35.6,18.5,0.03,0.4,31.4,0.66,0.76,5.72,289.1,0.0,-0.068,Medium,97.1,0.134,-20.3,116.3,9396,1.3223,1.731,30.91,83.2,79.0,8844,8.1e-07,-4.51,2.03,Fatigue Cracking,2813.4,1.0,0.407,0.64,0.859,3.16,183.1,0.601,0.795
WLD_000011,Aluminum,Steel,487.3,Silver-plated,Silver-plated,Cold Welding,2846.0,19.1,2993.3,1.371,126.3,,64.9,29.6,61.7,Copper,Helium,2.29,1.387,0.487,1.251,237.3,157.2,376.9,0.8768,19.3,23.2,0.0,5.88,18.6,1.167,0.78,1.81,156.1,0.0,-0.288,Medium,70.6,0.531,-26.6,134.7,7619,0.8768,1.0948,24.86,79.3,75.3,23955,1.22e-06,12.01,1.92,Thermal Degradation,7619.0,0.318,0.398,0.884,0.791,1.98,80.3,0.733,0.762
WLD_000012,Aluminum,Steel,158.9,Silver-plated,Passivated,Resistance Spot Welding,3587.6,,1589.7,0.823,,,81.1,24.8,79.2,Molybdenum,Argon,0.84,1.516,0.159,3.765,241.7,166.7,71.2,0.5152,19.85,20.2,0.38,5.2,13.0,1.253,0.79,0.59,257.2,0.158,0.631,Low,88.7,0.189,-37.5,85.5,3054,0.5152,0.6079,17.99,98.7,93.8,33142,2.06e-06,12.32,1.87,Intermetallic Embrittlement,3054.0,0.092,0.464,0.743,0.778,1.16,195.0,0.885,0.743
WLD_000013,Aluminum,Aluminum,133.9,Oxide-cleaned,Tin-plated,Friction Stir Welding,1438.6,,2147.9,4.057,,,142.3,26.8,49.9,Graphite,Argon,3.41,1.041,0.134,1.613,66.1,37.3,63.8,2.0307,40.79,30.2,0.07,0.26,27.8,0.991,0.74,3.86,97.0,0.0,0.163,Medium,78.7,0.109,-26.3,106.3,1975,2.0307,2.3301,14.75,87.1,82.7,6744,9.2e-07,0.24,2.59,Oxidation,1952.7,0.293,0.638,0.74,0.933,0.7,55.1,0.668,0.721
WLD_000014,Copper,Aluminum,101.1,Passivated,Passivated,Cold Welding,2844.0,,566.1,4.912,81.9,482.7,92.6,21.2,74.1,Copper,Air,3.53,1.536,0.101,2.749,162.4,112.7,28.8,7.0608,42.08,42.2,0.86,12.46,46.2,1.548,0.42,4.42,276.8,0.155,1.139,Low,76.7,0.122,-25.5,137.3,9856,7.0608,9.8238,39.13,73.4,69.7,7245,1.45e-06,3.21,2.76,Fatigue Cracking,3589.9,1.0,0.275,0.962,0.74,1.49,103.6,0.788,0.914
WLD_000015,Brass,Aluminum,453.7,Electropolished,Anodized,Ultrasonic Welding,2105.1,13.4,407.1,1.807,,,98.8,19.7,30.5,Molybdenum,Argon,0.12,0.694,0.454,2.97,132.6,113.9,40.0,0.5334,28.73,23.0,1.15,6.1,29.0,1.061,0.64,4.9,99.1,0.189,1.054,Medium,95.1,0.247,-31.9,124.1,721,0.5334,0.6053,13.47,92.2,87.6,11882,2.53e-06,2.68,1.89,Intermetallic Embrittlement,721.0,0.061,0.476,0.679,0.731,4.95,154.6,0.523,0.833
WLD_000016,Brass,Aluminum,187.4,Nickel-plated,Anodized,Resistance Spot Welding,5563.7,,1509.2,0.741,,,50.8,30.7,46.3,Graphite,Air,3.32,2.138,0.187,4.305,124.9,80.3,86.2,1.4746,29.82,24.7,0.4,4.88,29.8,1.985,0.68,1.24,134.3,0.012,-0.006,Low,65.7,0.315,-24.5,116.4,8104,1.4746,1.87,26.81,84.4,80.2,7910,1.12e-06,2.19,2.46,Fatigue Cracking,3780.7,1.0,0.454,0.604,0.735,2.53,116.3,0.774,0.857
WLD_000017,Copper,Aluminum,294.1,Tin-plated,Tin-plated,Cold Welding,1207.8,,2920.4,1.996,191.2,251.4,95.0,21.3,54.6,Copper,Air,2.9,0.897,0.294,2.604,95.9,71.6,213.1,0.5048,49.62,21.3,0.31,5.77,37.0,0.711,0.66,5.1,220.4,0.018,-0.137,Low,77.2,0.207,-21.7,149.8,7917,0.5048,0.6219,23.19,72.0,68.4,4377,1.46e-06,2.39,1.64,Fatigue Cracking,2146.1,1.0,0.428,0.675,0.934,2.35,190.2,0.885,0.812
