sample_id,anode_material,cathode_material,tab_thickness_um,surface_coating,welding_technique,tab_width_mm,overlap_length_mm,preheat_celsius,usw_power_w,usw_amplitude_um,usw_force_n,usw_time_ms,laser_power_w,laser_speed_mm_s,laser_pulse_frequency_hz,laser_energy_per_pulse_j,laser_spot_diameter_mm,rsw_current_ka,rsw_voltage_v,rsw_weld_time_ms,rsw_squeeze_time_ms,rsw_hold_time_ms,rsw_force_n,effective_energy_j,energy_density_j_mm2,peak_temperature_c,fused_area_mm2,nugget_diameter_mm,porosity_pct,spatter_mass_mg,intermetallic_thickness_um,hardness_hv,bond_integrity_score,immediate_shear_strength_n,joint_resistance_mohm,cycles_to_failure,resistance_growth_pct_1000,retained_strength_pct_1000,delamination_probability,failure_mode
1,Aluminum,Nickel,114.119,bare,USW,7.377,2.101,50.379,1960.850016,21.539822,750.868898,345.021801,,,,,,,,,,,,355.624449,22.945334,46117.666,15.49877,4.442257,35.0,25.0,11.637152,350.0,0.0,487.108693,6.245544,62,16.633566,39.547857,0.980171,interfacial_delamination
2,Copper,Nickel,103.148,gold_plated,USW,6.485,5.251,27.425,1641.932008,41.985096,519.766425,270.513283,,,,,,,,,,,,210.060233,6.168179,11483.623,31.761782,6.359273,21.558555,2.229281,2.427631,338.25553,0.550372,1760.278435,2.719516,2177,12.316733,67.141129,0.351288,porosity_cracking
3,Copper,Copper,63.622,oxide_heavy,Laser,5.251,9.484,59.538,,,,,1077.024382,45.046158,61.776221,0.765324,0.210874,,,,,,,2613.613032,52.486133,167525.748,49.796258,7.962573,35.0,25.0,12.0,350.0,0.0,1412.568446,3.709435,213,15.217076,31.654269,0.981557,interfacial_delamination
4,Copper,StainlessSteel,165.049,tin_plated,Laser,8.98,6.555,35.707,,,,,1029.848163,45.670155,212.307233,1.002157,0.118767,,,,,,,5957.083844,101.207143,117179.854,58.86031,8.656978,35.0,25.0,12.0,350.0,0.0,1638.357995,8.619559,190,13.574955,38.244496,0.917543,interfacial_delamination
5,Copper,Copper,126.93,graphite_coated,RSW,6.4,9.697,20.0,,,,,,,,,,12.984732,4.493836,110.962762,95.146993,126.548445,942.359511,2516.397145,40.550557,64871.452,54.240881,8.310333,35.0,25.0,7.959271,350.0,0.0,1510.312,3.145369,499,16.736579,41.019033,0.851437,interfacial_delamination
6,Copper,Aluminum,175.485,nickel_plated,USW,6.692,3.778,45.905,1414.504971,25.529701,644.603415,298.311151,,,,,,,,,,,,217.120606,8.587242,11719.383,24.835707,5.623327,35.0,8.855124,6.133535,350.0,0.0,737.474373,3.750054,241,15.37006,35.640335,0.893502,interfacial_delamination
7,Copper,Aluminum,94.271,gold_plated,USW,4.746,7.356,64.983,1531.695388,28.658632,768.079699,258.461759,,,,,,,,,,,,259.947638,7.444957,18904.418,34.915937,6.66756,35.0,4.415508,4.809341,350.0,0.200872,1182.473016,3.207006,971,15.979138,49.825632,0.743666,interfacial_delamination
8,Copper,Copper,139.344,tin_plated,RSW,5.563,6.889,38.575,,,,,,,,,,9.066259,4.300948,281.293434,87.065775,84.330087,2816.358323,6972.04918,181.942395,265091.783,38.320091,6.985031,35.0,25.0,12.0,350.0,0.0,1092.533572,3.294435,361,15.048211,39.030461,0.95755,interfacial_delamination
9,Copper,Copper,128.054,graphite_coated,RSW,6.756,8.93,41.903,,,,,,,,,,9.532443,3.433041,282.09531,74.31237,115.849275,1395.909404,4119.164719,68.274789,108273.297,56.376927,8.472387,35.0,25.0,12.0,350.0,0.0,1591.155955,3.382678,50,13.987454,36.494331,0.989318,interfacial_delamination
10,Copper,Titanium,105.219,tin_plated,Laser,8.572,5.126,57.587,,,,,536.957929,14.297095,287.032256,1.29002,0.250623,,,,,,,4261.037593,96.963023,226375.831,43.719768,7.460948,35.0,25.0,12.0,350.0,0.0,1213.083179,7.513373,167,19.996488,32.787492,0.982918,interfacial_delamination
11,Copper,StainlessSteel,191.017,silver_plated,USW,2.686,7.024,21.8,1260.587657,30.358827,929.39994,311.408885,,,,,,,,,,,,241.313415,12.792226,12815.511,18.864068,4.900865,35.0,25.0,6.258382,350.0,0.000777,580.045157,18.080928,355,14.384064,37.218721,0.848264,interfacial_delamination
12,Aluminum,StainlessSteel,121.14,gold_plated,Laser,6.188,4.404,68.419,,,,,546.176171,10.752237,152.777571,1.106699,0.109558,,,,,,,6370.150393,233.76351,452427.231,27.250405,5.890356,35.0,25.0,12.0,350.0,0.0,806.602373,13.051389,216,16.503734,32.267615,0.974391,interfacial_delamination
13,Aluminum,Aluminum,90.982,bare,USW,2.283,3.081,20.0,1921.645953,34.949346,995.429547,339.874019,,,,,,,,,,,,484.105317,68.814204,219938.93,7.034962,2.992857,35.0,25.0,9.798958,350.0,0.0,256.611669,6.801907,129,15.194913,47.316846,0.980731,interfacial_delamination
14,Aluminum,Nickel,123.584,tin_plated,USW,3.047,7.146,52.318,2332.78784,24.617432,641.791891,387.296376,,,,,,,,,,,,486.953265,22.362522,41510.741,21.458011,5.226967,35.0,25.0,10.559989,350.0,0.0,623.344005,4.988876,92,17.549592,48.085004,0.963347,interfacial_delamination
15,Aluminum,Nickel,118.666,nickel_plated,Laser,4.732,3.784,38.174,,,,,668.807188,72.553317,123.818964,1.348171,0.216516,,,,,,,389.249866,21.739627,42012.322,17.905085,4.774669,35.0,25.0,12.0,350.0,0.0,527.220781,5.517219,89,17.563723,38.584021,0.955524,interfacial_delamination
16,Copper,Nickel,118.665,tin_plated,Laser,5.132,5.971,54.519,,,,,100.0,45.840957,184.679444,0.714008,0.289765,,,,,,,153.238709,5.000725,8127.942,27.797698,5.949212,13.366436,2.13103,3.660793,285.397986,0.523658,1247.405721,2.635252,2003,9.536044,79.443063,0.318983,pullout
17,Aluminum,Aluminum,177.271,bare,Laser,5.288,6.163,28.492,,,,,626.06848,18.306759,243.823491,0.353612,0.195666,,,,,,,2599.866304,79.775186,130878.145,32.589912,6.441643,35.0,25.0,12.0,350.0,0.0,914.181414,3.930509,122,13.544989,37.118359,0.949028,interfacial_delamination
18,Copper,Titanium,151.28,nickel_plated,Laser,7.112,4.658,26.208,,,,,879.818029,34.634611,0.0,0.0,0.1177,,,,,,,3098.12031,93.529023,151860.897,33.124695,6.49428,35.0,25.0,12.0,350.0,0.0,959.394084,8.958336,340,14.355218,40.649528,0.916783,interfacial_delamination
19,Aluminum,Nickel,90.947,tin_plated,USW,7.121,4.968,69.695,1255.671096,26.039783,1069.135242,139.154422,,,,,,,,,,,,123.660456,3.495822,8876.436,32.014795,6.384552,5.172172,0.0,1.72295,276.810215,0.710403,1769.133897,2.248037,2868,14.748382,82.499917,0.074149,mixed
20,Aluminum,Aluminum,198.877,oxide_heavy,RSW,7.058,5.806,25.592,,,,,,,,,,7.244216,3.769479,91.369608,115.013922,109.82874,1819.874511,3825.870885,93.369607,136534.72,40.828406,7.210017,35.0,25.0,12.0,350.0,0.0,1133.411926,4.445678,304,16.032629,30.374428,0.950261,interfacial_delamination
21,Copper,Copper,175.404,tin_plated,RSW,5.212,9.787,79.729,,,,,,,,,,16.797602,3.470087,205.870459,140.670946,106.605904,1960.293042,10736.290383,210.470789,243658.9,51.010834,8.059095,35.0,25.0,12.0,350.0,0.0,1419.982961,3.234853,70,15.210714,47.511592,0.958085,interfacial_delamination
