technique,anode_material,anode_symbol,cathode_material,cathode_symbol,tab_thickness_um,surface_coating,power_W,pulse_energy_J,amplitude_um,force_N,weld_time_ms,speed_mm_s,pulse_frequency_Hz,preheat_temp_C,ambient_humidity_pct,clamp_area_mm2,linear_energy_density_J_per_mm,total_energy_input_J,nugget_diameter_mm,bond_area_mm2,porosity_pct,imc_thickness_um,peak_temp_C,haz_width_mm,contact_resistance_mOhm,tensile_shear_strength_N,peel_strength_N,visual_defect_score,microhardness_HV,forward_pass_fail,pressure_MPa,effective_energy_J,resistance_growth_pct_1000cyc,strength_retention_pct_1000cyc,cycles_to_failure,crack_growth_mm,delamination_probability,reliability_class
USW,Copper,Cu,Copper,Cu,79.1,Tin-plated,2384.36,,18.91,593.02,114.9,,,-6.7,29.3,18.21,,156.632,4.497,15.881,9.298,1.606,100.0,0.179,0.4148,3569.5,2315.5,83.1,106.3,True,32.564,76.701,8.64,97.37,8652,0.222,0.3652,A
USW,Aluminum,Al,Aluminum,Al,173.0,Nickel-plated,1778.53,,51.42,156.82,502.9,,,-6.6,23.9,8.63,,672.939,6.0,28.274,2.091,3.596,161.8,0.558,0.237,5748.7,3718.5,89.1,95.8,True,18.173,285.186,6.06,100.0,10853,0.096,0.2535,A
USW,Copper,Cu,Aluminum,Al,104.1,Bare,2294.99,,42.17,997.48,464.9,,,10.2,77.0,6.03,,747.797,6.0,28.274,6.304,6.661,189.9,0.644,0.1754,3328.0,2200.3,82.9,92.4,True,165.392,387.706,17.91,84.7,7635,0.184,0.4806,B
USW,StainlessSteel,SS304,Nickel,Ni,212.5,Nickel-plated,1754.7,,46.71,198.12,213.9,,,39.2,48.6,22.1,,272.607,5.674,25.286,8.524,2.46,198.2,0.451,0.3478,5748.3,3706.8,75.8,116.0,True,8.966,145.784,12.39,100.0,9172,0.234,0.3483,A
USW,Copper,Cu,Aluminum,Al,91.2,Tin-plated,1340.36,,24.43,430.33,568.3,,,20.3,17.1,11.66,,458.869,6.0,28.274,5.459,4.924,167.8,0.442,0.3159,4461.9,2894.1,87.7,100.9,True,36.902,248.445,10.23,92.03,7734,0.164,0.4253,A
USW,Copper,Cu,Copper,Cu,65.9,Bare,1880.0,,40.06,868.84,521.4,,,12.2,61.0,24.78,,675.646,6.0,28.274,5.313,4.743,173.0,0.535,0.4087,5566.9,3625.7,92.9,105.1,True,35.062,353.857,14.16,93.48,8740,0.197,0.3783,A
USW,Copper,Cu,Aluminum,Al,88.9,Bare,2352.74,,29.16,838.21,297.8,,,-5.8,32.1,23.8,,440.497,6.0,28.274,1.86,4.487,139.8,0.43,0.3761,5216.5,3380.3,92.1,93.4,True,35.217,240.357,10.2,96.71,9205,0.137,0.2859,A
USW,Aluminum,Al,Aluminum,Al,153.5,Bare,2395.65,,32.97,380.29,598.8,,,24.4,27.3,16.28,,932.17,6.0,28.274,3.692,5.313,234.1,0.811,0.3745,4385.1,2856.2,91.8,90.5,True,23.364,435.926,8.55,92.62,8830,0.16,0.3469,A
USW,Copper,Cu,Aluminum,Al,168.0,Oxide,727.06,,32.17,1195.93,364.6,,,-3.9,17.7,12.87,,171.067,4.322,14.67,13.444,2.44,103.1,0.187,0.4397,2525.5,1640.1,58.7,93.9,False,92.957,73.272,17.78,93.0,8292,0.332,0.5015,B
USW,Nickel,Ni,Aluminum,Al,180.0,Nickel-plated,1881.92,,20.02,606.5,326.9,,,-8.5,60.5,9.6,,355.476,6.0,28.274,7.271,2.95,146.3,0.461,0.2583,5713.0,3741.5,76.2,106.5,True,63.156,196.58,14.94,98.56,10474,0.21,0.335,A
