sample_id,anode_material,cathode_material,tab_thickness_um,surface_coating,welding_technique,tab_width_mm,overlap_length_mm,preheat_celsius,usw_power_w,usw_amplitude_um,usw_force_n,usw_time_ms,laser_power_w,laser_speed_mm_s,laser_pulse_frequency_hz,laser_energy_per_pulse_j,laser_spot_diameter_mm,rsw_current_ka,rsw_voltage_v,rsw_weld_time_ms,rsw_squeeze_time_ms,rsw_hold_time_ms,rsw_force_n
1,Aluminum,Nickel,114.119,bare,USW,7.377,2.101,50.379,1960.850016,21.539822,750.868898,345.021801,,,,,,,,,,,
2,Copper,Nickel,103.148,gold_plated,USW,6.485,5.251,27.425,1641.932008,41.985096,519.766425,270.513283,,,,,,,,,,,
3,Copper,Copper,63.622,oxide_heavy,Laser,5.251,9.484,59.538,,,,,1077.024382,45.046158,61.776221,0.765324,0.210874,,,,,,
4,Copper,StainlessSteel,165.049,tin_plated,Laser,8.98,6.555,35.707,,,,,1029.848163,45.670155,212.307233,1.002157,0.118767,,,,,,
5,Copper,Copper,126.93,graphite_coated,RSW,6.4,9.697,20.0,,,,,,,,,,12.984732,4.493836,110.962762,95.146993,126.548445,942.359511
6,Copper,Aluminum,175.485,nickel_plated,USW,6.692,3.778,45.905,1414.504971,25.529701,644.603415,298.311151,,,,,,,,,,,
7,Copper,Aluminum,94.271,gold_plated,USW,4.746,7.356,64.983,1531.695388,28.658632,768.079699,258.461759,,,,,,,,,,,
8,Copper,Copper,139.344,tin_plated,RSW,5.563,6.889,38.575,,,,,,,,,,9.066259,4.300948,281.293434,87.065775,84.330087,2816.358323
9,Copper,Copper,128.054,graphite_coated,RSW,6.756,8.93,41.903,,,,,,,,,,9.532443,3.433041,282.09531,74.31237,115.849275,1395.909404
10,Copper,Titanium,105.219,tin_plated,Laser,8.572,5.126,57.587,,,,,536.957929,14.297095,287.032256,1.29002,0.250623,,,,,,
11,Copper,StainlessSteel,191.017,silver_plated,USW,2.686,7.024,21.8,1260.587657,30.358827,929.39994,311.408885,,,,,,,,,,,
12,Aluminum,StainlessSteel,121.14,gold_plated,Laser,6.188,4.404,68.419,,,,,546.176171,10.752237,152.777571,1.106699,0.109558,,,,,,
13,Aluminum,Aluminum,90.982,bare,USW,2.283,3.081,20.0,1921.645953,34.949346,995.429547,339.874019,,,,,,,,,,,
14,Aluminum,Nickel,123.584,tin_plated,USW,3.047,7.146,52.318,2332.78784,24.617432,641.791891,387.296376,,,,,,,,,,,
15,Aluminum,Nickel,118.666,nickel_plated,Laser,4.732,3.784,38.174,,,,,668.807188,72.553317,123.818964,1.348171,0.216516,,,,,,
16,Copper,Nickel,118.665,tin_plated,Laser,5.132,5.971,54.519,,,,,100.0,45.840957,184.679444,0.714008,0.289765,,,,,,
17,Aluminum,Aluminum,177.271,bare,Laser,5.288,6.163,28.492,,,,,626.06848,18.306759,243.823491,0.353612,0.195666,,,,,,
18,Copper,Titanium,151.28,nickel_plated,Laser,7.112,4.658,26.208,,,,,879.818029,34.634611,0.0,0.0,0.1177,,,,,,
19,Aluminum,Nickel,90.947,tin_plated,USW,7.121,4.968,69.695,1255.671096,26.039783,1069.135242,139.154422,,,,,,,,,,,
20,Aluminum,Aluminum,198.877,oxide_heavy,RSW,7.058,5.806,25.592,,,,,,,,,,7.244216,3.769479,91.369608,115.013922,109.82874,1819.874511
21,Copper,Copper,175.404,tin_plated,RSW,5.212,9.787,79.729,,,,,,,,,,16.797602,3.470087,205.870459,140.670946,106.605904,1960.293042
22,Copper,Aluminum,72.038,bare,USW,2.976,6.095,28.934,1835.982491,24.110348,481.773759,313.918283,,,,,,,,,,,
23,Copper,Copper,100.633,silver_plated,USW,10.107,7.397,39.738,1698.318927,30.710344,732.145218,299.138882,,,,,,,,,,,
