technique,anode_material,anode_symbol,cathode_material,cathode_symbol,tab_thickness_um,surface_coating,power_W,pulse_energy_J,amplitude_um,force_N,weld_time_ms,speed_mm_s,pulse_frequency_Hz,preheat_temp_C,ambient_humidity_pct,clamp_area_mm2,linear_energy_density_J_per_mm,total_energy_input_J
USW,Copper,Cu,Copper,Cu,79.1,Tin-plated,2384.36,,18.91,593.02,114.9,,,-6.7,29.3,18.21,,156.632
USW,Aluminum,Al,Aluminum,Al,173.0,Nickel-plated,1778.53,,51.42,156.82,502.9,,,-6.6,23.9,8.63,,672.939
USW,Copper,Cu,Aluminum,Al,104.1,Bare,2294.99,,42.17,997.48,464.9,,,10.2,77.0,6.03,,747.797
USW,StainlessSteel,SS304,Nickel,Ni,212.5,Nickel-plated,1754.7,,46.71,198.12,213.9,,,39.2,48.6,22.1,,272.607
USW,Copper,Cu,Aluminum,Al,91.2,Tin-plated,1340.36,,24.43,430.33,568.3,,,20.3,17.1,11.66,,458.869
USW,Copper,Cu,Copper,Cu,65.9,Bare,1880.0,,40.06,868.84,521.4,,,12.2,61.0,24.78,,675.646
USW,Copper,Cu,Aluminum,Al,88.9,Bare,2352.74,,29.16,838.21,297.8,,,-5.8,32.1,23.8,,440.497
USW,Aluminum,Al,Aluminum,Al,153.5,Bare,2395.65,,32.97,380.29,598.8,,,24.4,27.3,16.28,,932.17
USW,Copper,Cu,Aluminum,Al,168.0,Oxide,727.06,,32.17,1195.93,364.6,,,-3.9,17.7,12.87,,171.067
USW,Nickel,Ni,Aluminum,Al,180.0,Nickel-plated,1881.92,,20.02,606.5,326.9,,,-8.5,60.5,9.6,,355.476
USW,Nickel,Ni,Aluminum,Al,69.3,Carbon-coated,1196.89,,43.75,789.42,176.4,,,24.2,45.0,22.28,,149.864
USW,Aluminum,Al,Aluminum,Al,30.1,Bare,2458.2,,54.54,1023.25,253.8,,,91.2,47.1,4.41,,480.115
USW,Nickel,Ni,Aluminum,Al,136.9,Bare,2131.67,,20.78,649.05,374.9,,,113.1,16.0,19.97,,465.193
USW,Nickel,Ni,Aluminum,Al,148.6,Tin-plated,1223.43,,59.78,832.37,319.1,,,45.0,24.8,8.22,,311.796
USW,Copper,Cu,Aluminum,Al,159.4,Bare,741.99,,43.4,390.39,552.7,,,19.2,33.7,8.62,,290.261
USW,Copper,Cu,Aluminum,Al,77.1,Bare,1742.09,,36.27,973.85,503.7,,,20.9,56.8,23.65,,586.366
USW,Copper,Cu,Aluminum,Al,132.7,Tin-plated,2568.33,,19.43,572.75,269.7,,,46.0,39.7,18.14,,397.944
USW,Copper,Cu,Aluminum,Al,122.8,Bare,2446.53,,34.94,1054.42,375.2,,,14.7,41.4,9.25,,606.498
USW,StainlessSteel,SS304,Nickel,Ni,233.8,Oxide,1571.28,,24.62,571.09,129.3,,,98.7,77.8,7.49,,122.615
USW,StainlessSteel,SS304,Nickel,Ni,130.1,Nickel-plated,2590.85,,40.01,904.33,177.4,,,24.5,64.9,24.1,,316.646
USW,StainlessSteel,SS304,Nickel,Ni,194.6,Bare,1605.7,,53.37,315.3,580.4,,,65.3,48.0,16.27,,711.232
USW,Copper,Cu,Aluminum,Al,81.7,Bare,1092.43,,41.75,800.35,309.6,,,67.4,57.3,22.7,,236.298
USW,Aluminum,Al,Aluminum,Al,187.6,Bare,1943.38,,28.5,481.99,475.9,,,111.5,24.3,12.31,,578.073
USW,Aluminum,Al,Aluminum,Al,46.1,Bare,2466.52,,54.64,1073.23,284.8,,,119.8,79.7,9.57,,540.98
USW,Nickel,Ni,Copper,Cu,247.2,Tin-plated,2234.21,,28.47,846.56,569.5,,,81.5,52.8,4.16,,794.992
USW,Copper,Cu,Aluminum,Al,89.9,Nickel-plated,1007.19,,43.54,427.18,344.3,,,3.9,48.7,19.07,,245.688
USW,Nickel,Ni,Copper,Cu,90.9,Bare,1874.23,,26.79,928.29,375.8,,,2.0,39.7,20.19,,433.556
USW,Copper,Cu,Aluminum,Al,228.9,Nickel-plated,1765.02,,21.66,283.82,254.1,,,-0.2,71.8,21.53,,263.305
USW,Nickel,Ni,Copper,Cu,76.2,Bare,2160.23,,54.79,576.7,410.3,,,101.9,72.9,6.16,,683.452
USW,Nickel,Ni,Aluminum,Al,208.4,Carbon-coated,2073.13,,29.95,1127.36,501.1,,,102.4,78.3,4.52,,657.66
USW,Nickel,Ni,Copper,Cu,53.8,Oxide,1044.87,,51.75,633.32,252.6,,,24.7,65.1,22.03,,199.041
USW,Copper,Cu,Aluminum,Al,102.2,Oxide,1158.25,,43.87,569.66,590.6,,,-6.9,23.5,24.3,,485.917
USW,Nickel,Ni,Aluminum,Al,69.3,Anodized,816.81,,34.56,914.97,256.8,,,5.0,77.9,9.57,,138.174
USW,Aluminum,Al,Aluminum,Al,86.0,Tin-plated,2451.15,,39.23,905.4,471.0,,,40.1,50.4,4.04,,790.338
USW,Copper,Cu,Aluminum,Al,102.6,Bare,2039.51,,28.51,474.75,304.2,,,-0.9,56.5,21.81,,387.807
USW,Copper,Cu,Aluminum,Al,236.9,Tin-plated,1831.03,,28.54,725.33,100.2,,,6.5,39.4,22.96,,114.715
USW,Aluminum,Al,Aluminum,Al,132.3,Nickel-plated,1546.37,,55.55,985.83,184.8,,,65.4,55.8,8.49,,221.611
USW,Aluminum,Al,Aluminum,Al,210.1,Tin-plated,1049.28,,23.96,175.65,222.4,,,72.3,33.5,18.13,,139.979
USW,Nickel,Ni,Copper,Cu,168.5,Bare,1588.75,,25.98,838.86,102.8,,,-0.5,39.0,18.62,,99.764
USW,Nickel,Ni,Copper,Cu,68.7,Anodized,700.44,,26.21,1040.75,328.2,,,3.9,39.8,14.88,,140.771
USW,Copper,Cu,Copper,Cu,239.0,Carbon-coated,2038.55,,37.72,1022.1,373.9,,,118.4,51.7,16.87,,515.454
USW,Nickel,Ni,Copper,Cu,84.4,Tin-plated,1642.6,,43.2,438.33,138.7,,,51.7,28.1,20.08,,161.052
USW,Copper,Cu,Aluminum,Al,60.4,Bare,2012.84,,17.89,577.98,371.3,,,31.6,47.8,18.57,,423.059
USW,Copper,Cu,Aluminum,Al,158.5,Tin-plated,2131.19,,32.12,156.19,275.9,,,44.6,73.3,21.99,,379.285
USW,Nickel,Ni,Aluminum,Al,194.5,Nickel-plated,1041.08,,24.87,607.63,114.5,,,113.9,39.3,16.67,,72.109
USW,Copper,Cu,Copper,Cu,132.8,Bare,653.93,,32.73,742.61,113.6,,,42.6,21.6,17.07,,48.155
USW,Copper,Cu,Aluminum,Al,113.4,Bare,2122.46,,32.06,939.61,516.0,,,50.0,13.5,10.86,,706.106
USW,Copper,Cu,Aluminum,Al,250.0,Bare,2162.47,,44.33,941.94,574.8,,,-7.5,47.8,17.65,,886.181
USW,Copper,Cu,Aluminum,Al,177.3,Nickel-plated,1998.93,,49.51,326.18,403.6,,,9.8,18.8,8.58,,598.435
USW,Copper,Cu,Aluminum,Al,53.8,Bare,1954.69,,58.12,566.49,457.5,,,96.5,77.5,10.55,,706.078
