nugget_diameter_mm,bond_area_mm2,porosity_pct,imc_thickness_um,peak_temp_C,haz_width_mm,contact_resistance_mOhm,tensile_shear_strength_N,peel_strength_N,visual_defect_score,microhardness_HV,forward_pass_fail,pressure_MPa,effective_energy_J
4.497,15.881,9.298,1.606,100.0,0.179,0.4148,3569.5,2315.5,83.1,106.3,True,32.564,76.701
6.0,28.274,2.091,3.596,161.8,0.558,0.237,5748.7,3718.5,89.1,95.8,True,18.173,285.186
6.0,28.274,6.304,6.661,189.9,0.644,0.1754,3328.0,2200.3,82.9,92.4,True,165.392,387.706
5.674,25.286,8.524,2.46,198.2,0.451,0.3478,5748.3,3706.8,75.8,116.0,True,8.966,145.784
6.0,28.274,5.459,4.924,167.8,0.442,0.3159,4461.9,2894.1,87.7,100.9,True,36.902,248.445
6.0,28.274,5.313,4.743,173.0,0.535,0.4087,5566.9,3625.7,92.9,105.1,True,35.062,353.857
6.0,28.274,1.86,4.487,139.8,0.43,0.3761,5216.5,3380.3,92.1,93.4,True,35.217,240.357
6.0,28.274,3.692,5.313,234.1,0.811,0.3745,4385.1,2856.2,91.8,90.5,True,23.364,435.926
4.322,14.67,13.444,2.44,103.1,0.187,0.4397,2525.5,1640.1,58.7,93.9,False,92.957,73.272
6.0,28.274,7.271,2.95,146.3,0.461,0.2583,5713.0,3741.5,76.2,106.5,True,63.156,196.58
4.958,19.308,8.593,1.621,152.8,0.307,0.4769,3830.9,2521.1,75.4,100.7,True,35.43,116.935
6.0,28.274,5.532,5.956,285.2,0.715,0.08,3804.3,2483.3,87.4,91.0,True,232.081,378.8
6.0,28.274,5.231,4.754,296.9,0.632,0.3817,4831.2,3156.0,91.6,100.9,True,32.497,284.545
6.0,28.274,3.816,2.763,197.0,0.445,0.1733,6380.2,4152.7,93.8,103.5,True,101.21,187.92
5.201,21.241,8.431,2.745,138.7,0.265,0.3932,4078.8,2649.8,75.5,87.0,True,45.265,127.304
6.0,28.274,4.011,6.015,188.1,0.565,0.3691,3914.0,2551.2,92.2,102.4,True,41.185,333.539
6.0,28.274,11.429,4.251,178.5,0.347,0.3597,4220.3,2756.2,70.2,99.1,True,31.573,183.558
6.0,28.274,6.057,4.998,173.3,0.511,0.1939,4409.6,2867.5,80.5,93.0,True,114.041,296.17
4.771,17.88,16.879,2.057,225.6,0.278,0.5522,3197.4,2095.4,54.6,116.4,False,76.222,77.959
6.0,28.274,8.146,3.612,239.7,0.754,0.2075,5760.3,3786.6,83.8,113.1,True,37.518,264.57
6.0,28.274,5.07,5.206,362.4,1.194,0.3854,5033.6,3246.9,93.9,117.1,True,19.382,437.456
5.44,23.245,6.772,3.881,188.0,0.272,0.4171,4065.3,2643.8,81.5,95.2,True,35.264,132.211
6.0,28.274,5.568,4.947,275.9,0.534,0.3068,4454.7,2885.7,83.7,92.5,True,39.149,270.814
6.0,28.274,4.551,6.272,319.4,0.749,0.2822,3754.6,2440.1,88.5,96.4,True,112.155,399.089
6.0,28.274,6.477,5.268,257.0,0.604,0.124,4408.9,2859.6,85.1,112.6,True,203.29,317.745
5.071,20.194,10.197,2.896,121.8,0.256,0.3567,3645.6,2369.4,70.9,94.9,True,22.401,120.643
6.0,28.274,4.147,3.325,163.8,0.52,0.347,5951.8,3858.5,87.7,113.7,True,45.97,266.414
4.726,17.545,12.309,2.04,108.4,0.197,0.3955,3109.6,2020.9,68.1,95.7,False,13.185,80.543
6.0,28.274,5.057,6.674,311.0,0.81,0.2668,3625.0,2340.8,86.1,117.4,True,93.64,442.25
6.0,28.274,9.051,5.281,304.0,0.736,0.114,4081.7,2610.6,75.3,102.0,True,249.387,338.403
5.323,22.255,12.543,1.738,150.6,0.3,0.8064,4070.9,2636.7,61.8,117.6,False,28.747,133.44
6.0,28.274,5.863,4.552,136.5,0.416,0.5693,4665.9,3035.3,87.4,99.4,True,23.438,230.917
5.266,21.779,16.182,2.081,130.5,0.289,0.6339,3716.8,2451.0,58.5,107.1,False,95.561,107.821
6.0,28.274,3.432,5.835,267.8,0.921,0.1001,4139.9,2721.0,91.7,99.5,True,224.358,501.67
5.824,26.638,5.988,3.308,131.1,0.344,0.4777,5110.9,3303.3,83.0,90.0,True,21.769,181.44
3.344,8.784,11.201,1.202,105.9,0.139,0.3754,1448.3,980.7,72.1,90.1,True,31.593,40.308
5.181,21.078,7.809,2.469,188.6,0.283,0.08,4173.0,2739.8,87.1,85.0,True,116.147,121.086
3.613,10.251,8.306,1.909,176.0,0.164,0.4405,1978.2,1272.9,74.9,93.7,True,9.689,49.913
3.94,12.195,11.829,0.873,102.5,0.16,0.4078,2026.5,1289.6,74.1,119.2,True,45.043,48.382
4.641,16.917,14.866,1.422,119.1,0.234,0.7214,2762.7,1791.0,59.2,107.4,False,69.957,93.64
5.646,25.037,7.575,3.635,241.1,0.29,0.3817,5348.4,3440.4,74.6,103.6,True,60.602,163.54
4.537,16.164,7.94,2.013,166.2,0.23,0.329,3410.9,2237.2,77.8,114.4,True,21.827,90.961
6.0,28.274,4.852,4.896,179.1,0.441,0.3594,4573.0,2969.4,92.5,97.3,True,31.119,248.424
5.356,22.534,9.23,3.788,164.9,0.271,0.5003,3746.3,2459.1,75.3,84.5,True,7.102,130.989
3.449,9.345,11.104,2.564,216.6,0.155,0.2227,1791.2,1179.7,66.3,106.9,True,36.454,38.413
2.698,5.719,10.605,0.873,136.6,0.106,0.5094,1120.2,729.6,71.6,104.2,True,43.511,20.152
6.0,28.274,5.036,7.024,222.2,0.597,0.1866,3452.6,2271.3,87.0,106.7,True,86.49,355.166
6.0,28.274,5.575,5.34,154.4,0.532,0.446,4222.6,2746.9,89.0,99.2,True,53.359,310.452
6.0,28.274,3.81,4.443,157.7,0.444,0.2285,4976.5,3256.6,83.7,103.7,True,38.028,250.044
6.0,28.274,3.816,8.772,288.0,0.718,0.3343,3577.1,2319.9,78.9,97.0,True,53.69,438.589
4.402,15.222,14.976,1.933,174.3,0.162,0.4784,3085.6,2006.8,62.6,102.2,False,58.51,63.868
6.0,28.274,5.76,6.235,216.7,0.526,0.2572,3696.9,2349.9,89.5,102.9,True,164.107,306.624
6.0,28.274,7.407,4.83,270.1,0.476,0.3226,4579.6,2954.2,79.4,114.7,True,30.51,239.87
3.725,10.9,10.019,3.519,205.4,0.148,0.2795,1853.8,1216.8,73.7,95.3,True,28.509,46.577
5.423,23.099,5.936,4.245,226.4,0.281,0.4694,3922.9,2585.0,76.8,103.2,True,27.73,138.05
6.0,28.274,6.949,2.953,178.1,0.3,0.3779,6500.0,4231.2,75.8,96.7,True,34.917,171.234
5.898,27.321,5.525,2.635,168.7,0.36,0.1885,6002.5,3867.5,90.3,113.6,True,109.073,169.627
2.989,7.018,11.744,1.93,150.4,0.127,0.3934,1240.3,809.9,67.6,90.5,True,39.109,32.234
6.0,28.274,9.713,4.188,201.9,0.606,0.1649,4405.0,2877.3,73.4,89.5,True,160.309,314.076
3.782,11.236,9.185,1.515,115.5,0.15,0.3265,2059.5,1351.3,80.9,88.3,True,38.135,41.972
6.0,28.274,6.105,4.119,203.3,0.591,0.6516,4922.3,3221.1,88.1,91.0,True,41.757,305.101
6.0,28.274,3.206,5.842,315.8,0.71,0.2899,4373.5,2843.4,92.1,110.3,True,19.014,324.806
5.292,21.995,6.469,3.017,117.8,0.256,0.1265,4291.7,2780.8,89.6,95.5,True,87.791,121.0
6.0,28.274,4.499,5.764,296.3,0.75,0.4065,4264.5,2763.0,94.6,113.8,True,85.384,345.456
6.0,28.274,4.297,4.367,171.6,0.404,0.1891,5013.1,3238.6,93.2,94.7,True,172.4,222.795
6.0,28.274,5.439,10.346,218.8,0.92,0.1708,3377.5,2182.9,75.5,96.7,True,127.404,577.413
6.0,28.274,5.406,2.987,157.5,0.353,0.1446,6500.0,4260.9,84.0,101.9,True,43.242,212.382
6.0,28.274,4.744,4.902,185.8,0.461,0.3556,4632.5,3000.8,89.0,96.1,True,104.564,261.67
6.0,28.274,7.623,3.376,184.3,0.467,0.2067,5173.6,3385.0,84.2,90.3,True,48.609,231.067
4.974,19.43,11.167,3.557,202.2,0.23,0.3736,3143.7,2044.0,77.2,95.3,True,56.855,103.289
5.304,22.096,7.663,2.055,136.4,0.243,0.2381,5439.1,3541.0,83.3,103.9,True,106.51,126.627
6.0,28.274,8.95,3.702,238.3,0.478,0.6445,4808.2,3156.6,77.4,85.0,True,22.484,237.266
