resistance_growth_pct_1000cyc,strength_retention_pct_1000cyc,cycles_to_failure,crack_growth_mm,delamination_probability,reliability_class
8.64,97.37,8652,0.222,0.3652,A
6.06,100.0,10853,0.096,0.2535,A
17.91,84.7,7635,0.184,0.4806,B
12.39,100.0,9172,0.234,0.3483,A
10.23,92.03,7734,0.164,0.4253,A
14.16,93.48,8740,0.197,0.3783,A
10.2,96.71,9205,0.137,0.2859,A
8.55,92.62,8830,0.16,0.3469,A
17.78,93.0,8292,0.332,0.5015,B
14.94,98.56,10474,0.21,0.335,A
11.53,95.55,9911,0.261,0.2905,A
12.25,86.48,7905,0.226,0.4372,B
11.36,90.72,7967,0.25,0.3781,A
9.7,100.0,11242,0.154,0.2289,A
10.3,95.41,9036,0.189,0.377,A
14.97,87.83,7381,0.203,0.4323,B
13.62,89.51,6492,0.312,0.611,B
13.69,90.7,6935,0.214,0.4027,A
21.66,88.9,8315,0.378,0.5695,B
10.93,100.0,8418,0.247,0.4323,A
9.76,93.79,7977,0.153,0.4395,A
13.9,92.99,7695,0.275,0.3252,A
10.53,87.94,7605,0.212,0.4297,B
11.7,85.81,8055,0.196,0.4797,B
11.98,91.2,7632,0.288,0.419,A
12.08,93.65,8420,0.24,0.421,A
5.09,99.14,9856,0.143,0.2962,A
13.84,92.49,8843,0.293,0.4587,A
16.11,86.65,8091,0.195,0.51,B
14.92,87.31,8237,0.306,0.5097,B
16.37,97.95,8410,0.283,0.4516,B
11.6,90.9,7241,0.213,0.3705,A
23.03,95.66,8598,0.394,0.5963,B
7.59,90.87,9682,0.185,0.3897,A
11.28,97.71,8235,0.202,0.3173,A
13.3,88.79,7118,0.292,0.4347,B
11.37,96.02,9480,0.244,0.337,A
10.92,91.22,9760,0.218,0.3052,A
8.75,93.17,7857,0.272,0.4126,A
19.61,93.19,8105,0.35,0.5435,B
11.44,90.31,9185,0.173,0.3918,A
6.5,96.68,9837,0.135,0.2981,A
12.44,92.23,7529,0.175,0.3939,A
13.09,88.05,7262,0.259,0.5007,B
12.13,84.63,8403,0.346,0.4449,B
11.03,92.58,6871,0.254,0.3715,A
11.52,84.03,7391,0.268,0.522,B
13.17,89.84,6974,0.265,0.4668,B
9.23,94.3,8584,0.11,0.3553,A
16.22,75.78,7389,0.218,0.5825,B
16.63,90.29,8478,0.333,0.5233,B
12.07,86.5,7453,0.183,0.4574,B
8.37,89.36,8154,0.226,0.4743,B
10.38,83.78,7581,0.254,0.4907,B
12.91,86.93,7661,0.211,0.3779,B
12.11,100.0,9362,0.201,0.352,A
9.68,100.0,10027,0.197,0.2344,A
11.66,85.88,6760,0.256,0.4594,B
19.15,93.96,7637,0.253,0.4857,B
6.37,92.5,8512,0.231,0.3735,A
14.7,94.39,7999,0.207,0.3854,A
8.24,87.84,8416,0.156,0.3753,B
11.97,92.71,9400,0.218,0.3343,A
10.05,88.51,7768,0.153,0.3902,B
11.57,95.94,8144,0.18,0.3449,A
19.75,82.52,8687,0.256,0.7017,B
8.52,100.0,10335,0.23,0.2975,A
15.95,96.8,7780,0.171,0.4107,B
11.9,99.79,8606,0.24,0.3766,A
15.17,83.65,7457,0.313,0.5605,B
7.7,100.0,11226,0.172,0.3208,A
18.14,90.5,7528,0.265,0.4224,B
13.64,89.46,8806,0.21,0.3951,B
8.87,100.0,10603,0.19,0.3424,A
13.94,87.76,8859,0.229,0.5161,B
10.97,100.0,9770,0.228,0.3306,A
12.29,100.0,9682,0.186,0.3518,A
13.06,87.97,7621,0.278,0.4335,B
15.7,90.36,6981,0.311,0.4737,B
14.76,93.84,9204,0.249,0.413,A
13.13,96.45,9038,0.22,0.352,A
4.44,100.0,8972,0.156,0.2847,A
11.12,96.35,8705,0.188,0.4044,A
9.3,95.18,9632,0.168,0.3416,A
13.05,89.88,8910,0.263,0.4349,B
12.02,99.87,8837,0.269,0.3413,A
15.71,87.7,7167,0.279,0.5793,B
14.81,91.31,9406,0.314,0.4814,A
11.43,87.52,7279,0.249,0.3989,B
18.99,91.7,7627,0.272,0.5534,B
12.95,95.13,7839,0.283,0.4451,A
8.89,95.79,9847,0.165,0.366,A
13.18,92.76,8329,0.275,0.3998,A
18.19,94.33,7201,0.205,0.4109,B
11.2,82.63,8238,0.293,0.4363,B
9.41,93.67,6818,0.239,0.4206,A
13.95,95.48,9474,0.222,0.3578,A
14.89,99.35,10244,0.215,0.3649,A
10.47,100.0,8964,0.137,0.2762,A
9.99,87.61,8515,0.167,0.3767,B
13.33,95.88,8260,0.235,0.4183,A
21.23,79.28,8035,0.285,0.5909,B
10.55,95.66,9261,0.205,0.332,A
16.52,81.03,6370,0.254,0.4328,B
15.93,85.93,7753,0.281,0.5376,B
4.68,100.0,9431,0.155,0.3285,A
15.36,91.44,6289,0.231,0.4762,B
19.47,80.62,6296,0.349,0.6311,B
10.42,100.0,10309,0.188,0.3151,A
10.46,85.51,6564,0.308,0.5166,B
16.8,90.49,7137,0.318,0.4836,B
12.02,96.45,9753,0.196,0.2861,A
10.67,92.25,7769,0.265,0.3943,A
17.5,93.31,7461,0.291,0.4642,B
9.64,100.0,9210,0.214,0.3866,A
10.51,96.62,8566,0.276,0.4491,A
17.72,89.76,7622,0.3,0.4998,B
9.91,90.2,8192,0.227,0.4833,A
21.43,85.84,6539,0.246,0.4226,B
13.86,89.33,7788,0.342,0.4377,B
7.4,93.42,9954,0.137,0.3379,A
14.35,90.67,7674,0.248,0.4215,A
5.28,99.23,10831,0.24,0.3068,A
12.85,90.25,8404,0.178,0.3541,A
13.86,89.77,6867,0.279,0.5047,B
13.17,100.0,9338,0.169,0.3421,A
8.16,95.82,10799,0.277,0.3397,A
12.17,95.81,8492,0.135,0.3939,A
10.7,89.05,9608,0.24,0.4238,B
16.2,89.08,7065,0.291,0.4466,B
15.08,99.71,8325,0.244,0.3981,B
17.87,88.86,8045,0.336,0.525,B
11.5,84.53,8230,0.242,0.4782,B
8.38,98.0,9702,0.199,0.3356,A
6.44,91.95,7456,0.172,0.4392,A
6.79,99.78,9563,0.243,0.3324,A
12.39,84.85,6600,0.28,0.4233,B
10.63,95.91,9469,0.132,0.3205,A
9.18,88.38,7871,0.153,0.3741,B
8.4,98.44,10688,0.175,0.2684,A
10.7,91.41,9304,0.218,0.4898,A
7.32,97.17,9469,0.192,0.3197,A
15.02,93.08,7918,0.168,0.3635,B
14.99,93.48,8377,0.239,0.4029,A
14.04,93.24,7170,0.199,0.4366,A
11.06,94.69,9207,0.196,0.3933,A
7.38,84.01,8827,0.203,0.5101,B
19.82,89.04,7694,0.36,0.5945,B
8.42,92.96,8137,0.107,0.3261,A
8.35,100.0,9672,0.253,0.3443,A
14.1,96.71,10415,0.269,0.4082,A
4.81,96.24,8887,0.207,0.3554,A
11.84,93.53,8153,0.223,0.372,A
8.04,94.56,8948,0.212,0.3814,A
4.36,99.22,9368,0.123,0.3156,A
9.9,88.42,8259,0.267,0.4463,B
12.93,90.19,9255,0.151,0.422,A
8.45,98.92,9193,0.159,0.3004,A
10.44,94.26,8610,0.176,0.2436,A
15.07,87.38,7369,0.259,0.5318,B
10.45,96.26,8789,0.266,0.4153,A
12.05,95.87,9252,0.242,0.4799,A
10.73,94.33,9251,0.176,0.2866,A
13.88,91.39,8322,0.311,0.4742,A
11.2,98.54,8579,0.207,0.3566,A
10.25,94.86,8768,0.143,0.3385,A
11.69,90.26,7361,0.248,0.5058,A
17.36,96.73,7455,0.239,0.461,B
16.35,91.99,8782,0.223,0.4115,B
11.22,93.78,8584,0.211,0.3707,A
14.81,87.64,7897,0.231,0.4485,B
13.65,84.38,7523,0.223,0.4465,B
11.51,97.16,10035,0.109,0.3007,A
12.69,88.06,7647,0.251,0.4288,B
7.68,100.0,9195,0.132,0.2347,A
17.34,85.05,8780,0.404,0.5692,B
15.37,92.08,8521,0.221,0.5705,B
17.33,83.59,6614,0.272,0.4888,B
13.0,86.79,8139,0.258,0.5116,B
17.87,89.05,7314,0.326,0.4682,B
13.67,94.63,7316,0.235,0.4011,A
10.42,91.52,8762,0.274,0.485,A
14.05,97.27,8396,0.118,0.3141,A
6.17,99.29,10549,0.112,0.2733,A
8.49,91.94,10072,0.188,0.4017,A
10.36,84.72,8527,0.204,0.4819,B
8.91,93.42,8792,0.129,0.3158,A
12.85,100.0,8691,0.233,0.4399,A
14.47,79.59,6020,0.339,0.4878,B
14.23,85.52,8055,0.261,0.5299,B
9.5,90.91,7859,0.306,0.5098,A
6.92,98.47,10896,0.156,0.326,A
9.25,90.56,7117,0.251,0.3448,A
12.23,96.68,7361,0.28,0.5255,A
15.19,88.85,7883,0.22,0.4139,B
13.31,93.04,8271,0.271,0.4662,A
7.33,90.41,8810,0.331,0.4376,A
11.91,94.91,8719,0.159,0.338,A
7.8,99.7,8376,0.125,0.2754,A
7.08,86.21,8899,0.239,0.4619,B
10.41,100.0,8910,0.15,0.3303,A
13.92,91.68,7525,0.278,0.4109,A
14.4,97.2,7393,0.246,0.3474,A
9.13,91.55,7559,0.226,0.5449,A
9.68,91.43,7927,0.235,0.4126,A
8.2,95.64,9180,0.234,0.3088,A
12.82,88.81,7956,0.213,0.3563,B
12.32,100.0,9877,0.258,0.3613,A
13.15,96.55,8946,0.167,0.4072,A
9.01,95.39,9751,0.193,0.3277,A
14.46,94.1,8032,0.248,0.4304,A
12.18,89.32,8763,0.168,0.2831,B
8.78,100.0,9436,0.158,0.259,A
13.05,94.56,7952,0.234,0.3541,A
12.21,94.98,10327,0.162,0.3375,A
16.41,91.92,6930,0.309,0.4544,B
11.24,99.36,10360,0.166,0.3324,A
15.53,88.64,6636,0.279,0.4417,B
16.02,87.59,7554,0.257,0.43,B
9.05,92.75,9026,0.22,0.4086,A
10.46,99.19,9534,0.24,0.2822,A
6.74,88.51,9229,0.185,0.3876,B
16.7,94.49,8464,0.368,0.4806,B
10.47,88.27,7161,0.208,0.4263,B
10.29,99.47,8242,0.205,0.367,A
11.78,97.9,8268,0.165,0.3275,A
17.5,82.16,7434,0.205,0.525,B
13.2,85.6,6737,0.248,0.4533,B
8.11,96.08,8876,0.201,0.4624,A
10.04,93.82,9511,0.237,0.4801,A
15.03,87.42,6810,0.268,0.4536,B
10.99,99.37,9702,0.177,0.3426,A
2.87,100.0,11589,0.14,0.2095,A
8.73,91.78,8466,0.132,0.2995,A
11.76,89.16,8688,0.259,0.4928,B
8.61,90.61,8847,0.213,0.3373,A
17.36,88.79,6795,0.313,0.5165,B
14.08,95.54,8825,0.219,0.3713,A
21.88,79.53,7520,0.301,0.5928,B
14.53,85.14,6728,0.302,0.5093,B
12.55,94.56,8566,0.2,0.3007,A
12.32,91.12,6180,0.248,0.464,A
8.77,92.46,8871,0.18,0.3982,A
22.86,85.15,5233,0.293,0.578,B
26.84,79.29,6605,0.415,0.6446,B
9.97,89.4,7243,0.185,0.3019,B
10.1,92.6,8263,0.237,0.5107,A
17.8,83.96,7396,0.315,0.5858,B
9.94,100.0,8044,0.196,0.3907,A
19.05,92.4,8213,0.355,0.4684,B
28.52,89.45,7596,0.41,0.6036,B
11.12,87.63,7677,0.197,0.5296,B
8.3,100.0,8872,0.195,0.3412,A
13.97,82.58,6909,0.33,0.4807,B
19.3,87.15,6937,0.332,0.5552,B
8.98,98.05,9570,0.192,0.3044,A
7.82,96.45,10255,0.308,0.4049,A
10.51,98.15,9363,0.226,0.3337,A
10.54,91.33,8959,0.352,0.4246,A
10.13,94.52,7416,0.213,0.3442,A
14.54,92.69,7552,0.199,0.4182,A
13.77,90.62,7804,0.271,0.3693,A
22.35,82.47,5509,0.326,0.5439,B
32.69,73.29,6874,0.364,0.8294,C
14.73,85.8,7186,0.264,0.4826,B
10.02,83.9,10207,0.296,0.3974,B
18.76,90.0,7881,0.31,0.492,B
11.68,92.39,9575,0.168,0.3361,A
9.47,95.73,9149,0.24,0.3535,A
6.56,100.0,10616,0.179,0.2781,A
11.31,97.76,8891,0.077,0.273,A
17.46,87.73,7022,0.368,0.5049,B
14.62,90.77,9158,0.27,0.3539,A
13.49,94.19,8766,0.242,0.334,A
10.2,99.87,8989,0.242,0.3392,A
9.66,94.63,9538,0.199,0.3181,A
10.16,93.35,7630,0.242,0.366,A
9.66,98.52,9467,0.246,0.4059,A
6.86,93.22,8407,0.17,0.3549,A
9.66,98.22,9315,0.132,0.2899,A
17.16,89.93,9099,0.322,0.4861,B
14.29,88.43,8135,0.289,0.4663,B
9.4,97.93,8934,0.19,0.402,A
7.37,100.0,10830,0.154,0.2806,A
14.69,95.02,7026,0.223,0.4257,A
5.4,95.67,8906,0.336,0.431,A
18.87,97.77,6132,0.189,0.4931,B
16.08,83.69,5540,0.278,0.4851,B
14.04,91.97,8042,0.138,0.3721,A
10.53,94.52,8417,0.215,0.3562,A
9.75,85.96,7307,0.221,0.4015,B
14.04,96.45,7416,0.299,0.4383,A
10.55,86.87,7724,0.192,0.453,B
7.34,100.0,9806,0.156,0.2902,A
13.6,81.28,7856,0.179,0.4439,B
8.2,95.19,8274,0.251,0.3835,A
9.78,85.95,8382,0.174,0.4151,B
14.52,88.04,9203,0.223,0.3719,B
8.41,91.93,7603,0.258,0.3465,A
13.86,98.43,9455,0.233,0.3873,A
12.5,92.88,8385,0.22,0.4019,A
15.06,88.38,7759,0.227,0.3985,B
11.4,100.0,9359,0.17,0.3288,A
9.78,97.49,8729,0.209,0.3254,A
12.95,89.83,7602,0.304,0.4512,B
7.91,100.0,9126,0.179,0.3363,A
15.36,96.47,7662,0.188,0.3401,B
7.4,97.83,9444,0.112,0.2745,A
8.59,99.65,9177,0.201,0.3194,A
6.16,100.0,11242,0.181,0.2795,A
8.26,95.98,9635,0.216,0.2533,A
17.92,91.23,8560,0.293,0.492,B
8.8,94.19,9459,0.277,0.3672,A
10.62,92.3,7392,0.287,0.4072,A
6.9,100.0,10940,0.146,0.317,A
13.8,84.23,7794,0.203,0.4851,B
12.15,83.28,8259,0.247,0.4424,B
17.89,84.22,5807,0.306,0.533,B
12.01,97.96,8506,0.104,0.364,A
8.45,96.79,10180,0.193,0.329,A
12.57,97.03,9508,0.239,0.3543,A
9.28,97.73,9178,0.196,0.3565,A
2.98,96.86,10996,0.115,0.2046,A
9.64,84.53,7402,0.228,0.4959,B
2.77,94.7,10449,0.163,0.2613,A
21.71,73.99,7310,0.383,0.7521,C
12.73,100.0,9359,0.249,0.4113,A
9.71,96.04,8936,0.22,0.3586,A
8.45,94.26,8769,0.204,0.3791,A
11.46,98.07,9272,0.265,0.363,A
11.59,92.46,8832,0.204,0.3416,A
8.45,97.33,10250,0.176,0.3619,A
21.44,76.21,7220,0.531,0.9633,B
19.74,83.22,7451,0.414,0.5838,B
7.61,93.45,7552,0.239,0.4466,A
16.63,93.42,8001,0.231,0.3993,B
7.7,95.51,8212,0.228,0.3845,A
18.39,96.47,8730,0.247,0.3989,B
6.51,95.6,9217,0.173,0.3244,A
9.7,99.1,8416,0.167,0.2652,A
13.02,87.37,8332,0.112,0.4011,B
9.1,94.8,9085,0.133,0.3119,A
15.7,90.94,7483,0.168,0.3852,B
19.99,94.26,8447,0.359,0.5801,B
12.91,87.74,7967,0.276,0.5402,B
11.3,98.57,9525,0.222,0.4064,A
10.75,88.82,9228,0.219,0.3143,B
21.19,83.52,7853,0.433,0.6927,B
10.1,96.76,8646,0.179,0.3659,A
10.42,95.65,10589,0.22,0.3387,A
14.78,85.0,7690,0.299,0.4846,B
11.94,89.75,7605,0.255,0.4269,B
18.98,86.41,6024,0.344,0.5728,B
13.89,93.79,8237,0.187,0.387,A
20.84,92.74,7347,0.335,0.5273,B
13.63,92.23,8350,0.247,0.3799,A
13.84,85.59,8291,0.142,0.4891,B
20.37,80.4,4944,0.341,0.6098,B
12.33,87.58,6883,0.277,0.469,B
7.32,95.44,9317,0.251,0.3502,A
8.43,89.4,7985,0.252,0.3986,B
15.37,82.99,6735,0.286,0.5552,B
10.09,96.99,9893,0.264,0.3689,A
12.71,92.93,8147,0.255,0.4355,A
13.63,89.48,8719,0.278,0.4879,B
13.02,89.34,7536,0.203,0.458,B
11.81,94.71,8162,0.319,0.4429,A
