sample_id,cycles_to_failure,resistance_growth_pct_1000,retained_strength_pct_1000,delamination_probability,failure_mode
1,62,16.633566,39.547857,0.980171,interfacial_delamination
2,2177,12.316733,67.141129,0.351288,porosity_cracking
3,213,15.217076,31.654269,0.981557,interfacial_delamination
4,190,13.574955,38.244496,0.917543,interfacial_delamination
5,499,16.736579,41.019033,0.851437,interfacial_delamination
6,241,15.37006,35.640335,0.893502,interfacial_delamination
7,971,15.979138,49.825632,0.743666,interfacial_delamination
8,361,15.048211,39.030461,0.95755,interfacial_delamination
9,50,13.987454,36.494331,0.989318,interfacial_delamination
10,167,19.996488,32.787492,0.982918,interfacial_delamination
11,355,14.384064,37.218721,0.848264,interfacial_delamination
12,216,16.503734,32.267615,0.974391,interfacial_delamination
13,129,15.194913,47.316846,0.980731,interfacial_delamination
14,92,17.549592,48.085004,0.963347,interfacial_delamination
15,89,17.563723,38.584021,0.955524,interfacial_delamination
16,2003,9.536044,79.443063,0.318983,pullout
17,122,13.544989,37.118359,0.949028,interfacial_delamination
18,340,14.355218,40.649528,0.916783,interfacial_delamination
19,2868,14.748382,82.499917,0.074149,mixed
20,304,16.032629,30.374428,0.950261,interfacial_delamination
21,70,15.210714,47.511592,0.958085,interfacial_delamination
22,85,21.09678,40.988343,0.906673,interfacial_delamination
23,2671,9.327736,80.98486,0.106655,pullout
24,135,16.046376,36.093308,0.993676,interfacial_delamination
25,293,18.619489,37.622772,1.0,interfacial_delamination
26,50,16.18183,27.932072,0.95347,interfacial_delamination
27,2289,11.158889,68.837223,0.26989,mixed
28,294,13.187665,33.065566,0.889322,interfacial_delamination
29,128,12.783918,35.612842,0.958044,interfacial_delamination
30,2007,12.948623,82.226479,0.13426,mixed
31,357,16.451792,39.384743,0.918096,interfacial_delamination
32,1605,11.568645,62.049866,0.463542,porosity_cracking
33,2648,7.264471,79.168966,0.141691,tearing
34,281,21.901646,41.102704,0.923035,interfacial_delamination
35,2519,15.118571,69.482567,0.123094,tearing
36,185,16.24237,29.755968,0.963819,interfacial_delamination
37,175,21.127917,34.287957,0.926514,interfacial_delamination
38,135,15.155371,33.256116,0.983108,interfacial_delamination
39,2313,10.707964,76.58009,0.285003,mixed
40,72,18.485353,44.183438,0.929248,interfacial_delamination
41,1606,18.51897,64.605133,0.46082,porosity_cracking
42,50,17.09589,42.718422,0.998863,interfacial_delamination
43,2645,8.993866,75.522841,0.119897,mixed
44,231,18.979345,41.758283,0.903562,interfacial_delamination
45,278,14.066064,27.294972,0.929688,interfacial_delamination
46,50,15.841171,33.039919,0.924121,interfacial_delamination
47,2161,13.879704,78.975069,0.304923,tearing
48,174,20.022227,46.96344,0.992989,interfacial_delamination
49,206,16.910001,34.794657,0.968869,interfacial_delamination
50,50,15.72577,39.549196,0.931321,interfacial_delamination
51,148,13.849559,35.678524,0.979974,interfacial_delamination
52,2223,9.535821,81.35423,0.193466,pullout
53,232,11.574855,39.665946,0.976566,interfacial_delamination
54,3016,8.980797,81.509241,0.111463,tearing
55,1372,12.232586,60.478601,0.63065,porosity_cracking
56,2426,15.189978,74.25292,0.217161,tearing
57,183,16.802961,41.136144,0.96203,interfacial_delamination
58,102,18.314312,40.488862,0.91102,interfacial_delamination
59,1447,11.578516,69.853185,0.607849,porosity_cracking
60,50,18.084699,40.79304,0.97425,interfacial_delamination
61,274,17.388669,47.197769,0.982611,interfacial_delamination
62,2915,11.018697,85.449739,0.114347,mixed
63,304,20.494657,35.705147,0.96924,interfacial_delamination
64,2610,15.207281,85.831381,0.202832,mixed
65,188,11.218223,40.328929,0.822518,interfacial_delamination
66,298,18.915509,36.199176,0.947927,interfacial_delamination
67,407,15.086728,41.745541,0.847805,interfacial_delamination
68,307,15.870037,38.98394,0.925258,interfacial_delamination
69,257,17.869577,38.621121,0.904932,interfacial_delamination
70,993,8.58384,46.394638,0.726061,interfacial_delamination
71,576,16.238758,58.820676,0.809145,interfacial_delamination
72,2356,10.488631,92.606086,0.181727,mixed
73,226,16.769906,32.814315,0.94948,interfacial_delamination
74,165,17.756237,49.582259,1.0,interfacial_delamination
75,2599,10.189174,85.686516,0.117289,tearing
76,2848,7.419745,86.459179,0.178225,tearing
77,50,15.421261,41.492428,0.994232,interfacial_delamination
78,728,11.102776,54.776551,0.819606,interfacial_delamination
79,239,17.450921,41.68711,0.981318,interfacial_delamination
80,2346,9.507655,76.694108,0.146,pullout
81,50,19.085069,32.341335,0.991892,interfacial_delamination
82,2283,18.661218,75.851834,0.305565,pullout
83,1526,14.344014,60.672232,0.510409,porosity_cracking
84,583,13.901655,52.870805,0.753057,interfacial_delamination
85,2457,7.011,76.735136,0.214989,tearing
86,50,17.362657,32.979788,0.916482,interfacial_delamination
87,50,16.561142,36.897766,0.933387,interfacial_delamination
88,199,16.68488,33.052735,0.997628,interfacial_delamination
89,50,14.380671,40.567174,0.983666,interfacial_delamination
90,2694,9.499172,85.293073,0.111694,pullout
91,236,12.224079,30.205519,0.976226,interfacial_delamination
92,642,20.250155,51.952184,0.781023,interfacial_delamination
93,2472,13.571519,74.675851,0.165839,tearing
94,1285,14.990909,59.127295,0.551528,porosity_cracking
95,66,13.946365,34.511544,0.9788,interfacial_delamination
96,208,13.487319,40.355975,0.957792,interfacial_delamination
97,109,17.252761,48.337692,0.969251,interfacial_delamination
98,1216,12.05245,58.751443,0.735399,interfacial_delamination
99,2853,10.415238,87.903461,0.16335,tearing
100,50,14.474633,34.634799,0.978833,interfacial_delamination
101,197,16.911083,44.385174,0.934234,interfacial_delamination
102,2839,8.85313,79.51891,0.098324,pullout
103,214,14.436809,44.20259,0.95893,interfacial_delamination
104,50,13.004594,33.357401,0.973116,interfacial_delamination
105,50,17.111463,46.780832,0.980007,interfacial_delamination
106,50,16.670445,45.754791,0.951873,interfacial_delamination
107,2164,10.152547,70.502711,0.132082,mixed
108,91,15.979354,32.089515,0.982897,interfacial_delamination
109,798,13.045743,62.903992,0.788118,interfacial_delamination
110,50,15.525191,36.724117,0.92064,interfacial_delamination
111,2800,12.947328,78.106554,0.100766,tearing
112,262,17.361365,25.591815,0.955176,interfacial_delamination
113,50,14.785882,33.540801,0.971653,interfacial_delamination
114,1467,14.139276,61.660109,0.646904,porosity_cracking
115,50,15.851533,41.250531,0.904061,interfacial_delamination
116,719,14.264505,50.076439,0.864843,interfacial_delamination
117,114,13.272567,37.531412,0.994946,interfacial_delamination
118,178,15.72304,44.629097,0.916726,interfacial_delamination
119,1353,14.504431,58.422576,0.51439,porosity_cracking
120,375,12.151537,34.696057,0.870662,interfacial_delamination
121,219,15.096297,28.25439,0.944472,interfacial_delamination
122,149,18.307356,42.167657,0.96557,interfacial_delamination
123,116,13.318546,28.993256,0.91096,interfacial_delamination
124,2495,15.667743,82.828774,0.123553,mixed
125,50,19.33182,43.478954,0.925552,interfacial_delamination
126,66,15.17277,35.709201,0.965436,interfacial_delamination
127,294,19.926196,47.573643,0.90986,interfacial_delamination
128,283,13.002062,36.067259,0.925585,interfacial_delamination
129,2498,10.422242,73.910304,0.141521,mixed
130,157,14.943323,31.043395,0.924449,interfacial_delamination
131,2652,9.671134,75.630724,0.12511,mixed
132,50,12.178499,35.45997,0.987503,interfacial_delamination
133,1945,12.028242,73.836168,0.147805,tearing
134,50,17.874964,34.091564,0.982591,interfacial_delamination
135,2651,15.674475,76.786159,0.217162,tearing
136,90,20.632768,42.231851,0.949941,interfacial_delamination
137,119,19.454213,32.089256,0.971659,interfacial_delamination
138,2454,12.801966,83.272272,0.131994,tearing
139,165,14.984977,48.06574,0.923579,interfacial_delamination
140,310,17.982333,38.707524,0.977309,interfacial_delamination
141,272,18.614576,50.490505,0.750575,interfacial_delamination
142,107,16.302871,33.03038,0.939108,interfacial_delamination
143,50,11.266874,30.352782,0.94641,interfacial_delamination
144,50,16.389558,33.620845,0.932188,interfacial_delamination
145,447,15.221066,37.727321,0.957351,interfacial_delamination
146,2053,11.52472,67.787417,0.099639,tearing
147,2115,13.311327,77.326108,0.289748,pullout
148,310,13.824074,30.86989,0.878046,interfacial_delamination
149,220,16.230511,40.769497,0.960386,interfacial_delamination
150,766,13.58517,55.414257,0.791069,interfacial_delamination
151,223,15.446038,37.12964,0.919829,interfacial_delamination
152,224,13.457037,39.411765,0.950024,interfacial_delamination
153,177,11.046456,42.411239,0.926912,interfacial_delamination
154,84,16.83001,30.396209,0.961183,interfacial_delamination
155,1360,18.637688,65.98221,0.240216,mixed
156,340,11.683588,41.024844,0.865792,interfacial_delamination
157,2809,9.047322,80.58605,0.104017,mixed
158,192,13.264131,34.122024,0.987673,interfacial_delamination
159,235,14.929104,38.314271,0.960477,interfacial_delamination
160,236,19.06442,23.832235,0.968396,interfacial_delamination
161,2442,14.606732,75.97073,0.132039,pullout
162,392,13.350578,50.870814,0.891271,interfacial_delamination
163,50,17.976151,45.156229,0.971162,interfacial_delamination
164,2836,12.31572,79.479963,0.23575,mixed
165,542,11.022831,38.918097,0.758061,interfacial_delamination
166,50,15.176195,36.83518,0.977908,interfacial_delamination
167,196,16.074599,38.809906,0.993754,interfacial_delamination
168,679,17.339116,48.129578,0.720439,interfacial_delamination
169,165,19.429896,36.164033,0.976504,interfacial_delamination
170,159,18.82087,30.314906,0.977998,interfacial_delamination
171,174,14.918296,47.992909,0.912376,interfacial_delamination
172,50,14.25353,41.357623,0.950424,interfacial_delamination
173,1217,13.179141,67.626628,0.493564,porosity_cracking
174,2712,13.408944,83.107916,0.098671,tearing
175,2909,10.006334,85.035415,0.113684,mixed
176,371,16.61097,47.508381,0.957113,interfacial_delamination
177,2993,12.581087,86.785638,0.080408,mixed
178,1817,12.617753,68.829562,0.490954,porosity_cracking
179,249,17.553382,40.786645,0.852931,interfacial_delamination
180,72,18.960417,20.809583,0.948745,interfacial_delamination
181,169,15.763585,44.262241,0.936339,interfacial_delamination
182,2377,14.183459,76.023651,0.145096,mixed
183,2170,15.473268,69.916961,0.173104,tearing
184,1085,11.768588,65.126507,0.727667,interfacial_delamination
185,428,16.392565,44.434487,0.882375,interfacial_delamination
186,877,10.578009,49.537973,0.720763,interfacial_delamination
187,2818,8.602493,77.637782,0.144779,pullout
188,387,16.784139,39.518337,0.939957,interfacial_delamination
189,1656,14.170742,68.036668,0.51538,porosity_cracking
190,3000,11.911775,83.690825,0.121162,mixed
191,193,21.065194,33.715003,0.938449,interfacial_delamination
192,264,20.020511,29.736295,0.978994,interfacial_delamination
193,51,16.120202,35.012702,0.914938,interfacial_delamination
194,50,16.222287,33.448925,0.945486,interfacial_delamination
195,2529,9.217222,81.658922,0.061414,pullout
196,212,13.419601,39.16391,0.912717,interfacial_delamination
197,1143,14.703117,52.296455,0.654832,porosity_cracking
198,50,15.769318,46.582296,0.987068,interfacial_delamination
199,2974,8.811611,77.907192,0.118981,mixed
200,2330,13.957885,75.020675,0.320432,porosity_cracking
201,1961,16.986519,71.29141,0.484492,porosity_cracking
202,221,14.611527,43.58773,0.985338,interfacial_delamination
203,267,17.448567,40.564149,0.943084,interfacial_delamination
204,2601,15.709382,76.267585,0.174355,mixed
205,254,15.64106,25.310952,0.988033,interfacial_delamination
206,1343,12.606264,61.627873,0.565147,porosity_cracking
207,1243,17.133225,67.098721,0.685106,porosity_cracking
208,181,14.206442,30.853578,0.92203,interfacial_delamination
209,820,17.632667,58.132464,0.716259,interfacial_delamination
210,2835,13.283296,65.737196,0.149813,tearing
211,193,13.284447,37.060294,0.916481,interfacial_delamination
212,330,15.184817,40.531627,0.870502,interfacial_delamination
213,397,14.599962,49.772698,0.949587,interfacial_delamination
214,1038,13.375268,52.776622,0.753929,interfacial_delamination
215,844,11.958845,55.182736,0.756505,interfacial_delamination
216,227,15.302327,37.233224,0.922063,interfacial_delamination
217,1434,15.921089,62.841989,0.307031,mixed
218,1931,13.897573,76.092269,0.465874,porosity_cracking
219,2772,4.560235,84.005103,0.176252,tearing
220,1441,15.657277,62.223318,0.653037,porosity_cracking
221,207,14.105868,42.859634,0.955381,interfacial_delamination
222,2122,16.935439,72.925557,0.194339,pullout
223,266,15.165443,38.532087,0.905638,interfacial_delamination
224,108,19.607207,37.92373,0.915741,interfacial_delamination
225,484,14.234556,55.567945,0.81054,interfacial_delamination
226,2146,11.739972,72.914758,0.303148,tearing
227,1509,14.797326,52.179274,0.577287,porosity_cracking
228,876,14.840134,58.104914,0.69217,interfacial_delamination
229,160,15.879927,44.882728,0.981543,interfacial_delamination
230,1599,15.270452,69.557578,0.457101,porosity_cracking
231,293,20.672616,32.29874,0.948091,interfacial_delamination
232,697,15.628357,46.247971,0.767765,interfacial_delamination
233,306,15.768987,39.18715,1.0,interfacial_delamination
234,323,15.309459,42.538918,0.915055,interfacial_delamination
235,389,14.967239,38.543197,0.98773,interfacial_delamination
236,813,13.464625,52.156095,0.798647,interfacial_delamination
237,645,13.142489,44.524592,0.738909,interfacial_delamination
238,1258,15.799847,66.044935,0.740723,interfacial_delamination
239,1493,13.541931,61.300335,0.492155,porosity_cracking
240,159,19.899313,34.326257,0.986167,interfacial_delamination
