technique,anode_material,anode_symbol,cathode_material,cathode_symbol,tab_thickness_um,surface_coating,power_W,pulse_energy_J,amplitude_um,force_N,weld_time_ms,speed_mm_s,pulse_frequency_Hz,preheat_temp_C,ambient_humidity_pct,clamp_area_mm2,linear_energy_density_J_per_mm,total_energy_input_J,nugget_diameter_mm,bond_area_mm2,porosity_pct,imc_thickness_um,peak_temp_C,haz_width_mm,contact_resistance_mOhm,tensile_shear_strength_N,peel_strength_N,visual_defect_score,microhardness_HV,forward_pass_fail,pressure_MPa,effective_energy_J,resistance_growth_pct_1000cyc,strength_retention_pct_1000cyc,cycles_to_failure,crack_growth_mm,delamination_probability,reliability_class
Laser,StainlessSteel,SS304,Nickel,Ni,180.3,Bare,378.95,9.6183,,697.05,1754.4,91.567,219.236,98.9,41.6,10.22,4.1385,1878.645,6.0,28.274,10.504,12.0,834.0,3.5,0.3321,3432.3,2252.1,59.2,145.8,True,68.215,1362.645,20.76,72.25,7658,0.451,0.8658,C
Laser,StainlessSteel,SS304,Nickel,Ni,138.2,Tin-plated,1567.34,3.0784,,454.4,257.0,72.18,60.724,24.6,36.0,5.89,21.7142,260.926,6.0,28.274,6.809,2.835,215.3,0.622,0.1673,6495.8,4207.1,86.4,124.6,True,77.086,212.816,9.25,100.0,9806,0.221,0.2948,A
Laser,Copper,Cu,Copper,Cu,141.4,Carbon-coated,2508.68,1.6645,,467.49,2332.5,11.497,297.638,76.5,48.5,18.42,218.1964,3973.126,6.0,28.274,12.435,12.0,466.7,2.01,0.4461,3443.0,2223.5,48.2,116.0,False,25.384,1500.985,21.96,73.35,7069,0.435,0.8792,C
USW,Aluminum,Al,Aluminum,Al,99.3,Carbon-coated,2464.74,,50.74,483.4,520.7,,,91.0,59.5,13.1,,960.708,6.0,28.274,4.132,7.674,341.1,1.057,0.4016,3523.6,2326.9,88.0,98.3,True,36.898,582.875,12.39,85.43,9065,0.155,0.4986,B
Laser,Copper,Cu,Aluminum,Al,117.7,Bare,2501.38,10.0043,,518.85,891.8,52.448,179.787,71.5,10.3,5.62,47.6927,1980.133,6.0,28.274,6.879,12.0,388.9,1.51,0.2036,3306.9,2150.1,62.8,97.6,True,92.32,982.418,20.34,75.61,7432,0.358,0.8678,B
RSW,Aluminum,Al,Aluminum,Al,149.0,Nickel-plated,5471.67,,,1273.19,193.3,,,104.8,72.2,19.73,,671.986,6.0,28.274,7.573,5.091,290.8,0.666,0.2377,4184.6,2713.4,85.2,98.2,True,64.545,349.59,15.32,88.46,7756,0.297,0.4442,B
Laser,Copper,Cu,Copper,Cu,52.5,Bare,2177.92,5.9214,,740.34,1405.6,116.963,19.829,89.3,19.4,20.91,18.6206,1902.848,6.0,28.274,8.187,12.0,389.2,1.429,0.3485,3844.9,2489.5,76.3,107.8,True,35.413,1049.591,17.91,75.82,7896,0.335,0.7744,B
RSW,Nickel,Ni,Copper,Cu,158.4,Oxide,6848.13,,,2272.87,264.3,,,48.9,63.3,11.56,,1199.064,6.0,28.274,7.225,7.69,300.0,1.066,0.3855,3455.1,2276.2,78.1,114.2,True,196.681,597.895,14.27,85.4,8297,0.3,0.5973,B
USW,Copper,Cu,Aluminum,Al,122.0,Anodized,2517.47,,20.48,1185.67,191.0,,,114.2,37.2,14.91,,279.139,5.555,24.232,8.52,4.452,235.8,0.279,0.595,3814.5,2481.0,81.4,95.7,True,79.54,136.645,20.4,86.78,5799,0.281,0.4808,B
USW,Nickel,Ni,Aluminum,Al,247.5,Bare,1293.36,,27.78,726.06,305.8,,,88.8,50.9,17.47,,245.639,5.339,22.39,5.353,3.105,216.9,0.304,0.2971,4696.6,3099.9,86.4,103.2,True,41.554,115.342,8.45,95.69,10645,0.15,0.3035,A
USW,StainlessSteel,SS304,Nickel,Ni,134.9,Bare,2486.68,,51.16,587.16,106.5,,,-1.3,32.6,8.94,,198.833,5.741,25.885,6.846,2.191,166.2,0.497,0.2644,6202.7,4073.6,85.1,114.8,True,65.691,163.765,5.99,100.0,10301,0.13,0.298,A
RSW,Copper,Cu,StainlessSteel,SS304,104.4,Tin-plated,6610.39,,,1332.44,118.6,,,21.0,21.0,23.62,,538.079,6.0,28.274,6.352,4.422,210.8,0.681,0.2487,4903.2,3156.8,78.1,113.1,True,56.419,339.24,14.42,95.34,7992,0.226,0.4011,A
