sample_id,anode_material,cathode_material,tab_thickness_um,anode_surface_finish,cathode_surface_finish,welding_technique,power_W,amplitude_um,force_N,time_s,speed_mm_s,pulse_frequency_Hz,preheat_temperature_C,ambient_temperature_C,ambient_humidity_percent,electrode_material,shielding_gas,surface_roughness_um
WLD_000001,Titanium,Copper,408.4,Passivated,Tin-plated,Electron Beam Welding,2468.0,,344.9,2.323,,,104.6,30.3,32.8,Tungsten,Nitrogen,0.99
WLD_000002,Copper,Steel,327.9,Nickel-plated,Anodized,Electron Beam Welding,1841.4,,1855.0,0.74,,,79.3,21.4,69.3,Molybdenum,Helium,3.0
WLD_000003,Aluminum,Aluminum,437.0,Passivated,Oxide-cleaned,Ultrasonic Welding,662.6,48.0,1934.7,1.636,,,59.6,29.6,34.9,Molybdenum,Helium,0.7
WLD_000004,Copper,Steel,424.9,Tin-plated,Anodized,Ultrasonic Welding,1146.9,36.5,692.3,1.088,,,91.1,34.5,39.2,Tungsten,Helium,4.7
WLD_000005,Aluminum,Steel,467.0,Passivated,Electropolished,Cold Welding,944.7,,1009.7,1.974,,178.4,56.5,20.4,57.1,Molybdenum,None,0.47
WLD_000006,Titanium,Copper,240.5,Bare,Silver-plated,Resistance Spot Welding,2391.9,,3701.0,0.811,,,98.8,29.1,76.3,Graphite,Argon,3.15
WLD_000007,Copper,Nickel,92.9,Passivated,Passivated,Cold Welding,1435.7,65.6,2667.3,2.387,,380.4,93.0,26.4,68.5,Copper,Nitrogen,0.22
WLD_000008,Copper,Steel,140.8,Electropolished,Passivated,Ultrasonic Welding,1285.9,30.3,1824.4,0.574,,,73.3,21.9,67.8,Graphite,Air,3.5
WLD_000009,Nickel,Copper,468.4,Oxide-cleaned,Anodized,Ultrasonic Welding,763.7,28.3,515.0,0.891,,,134.8,20.1,46.2,Copper,Argon,1.43
WLD_000010,Aluminum,Aluminum,242.2,Silver-plated,Oxide-cleaned,Ultrasonic Welding,1262.0,16.6,1114.8,1.021,,,110.0,22.2,43.5,Molybdenum,Argon,2.08
WLD_000011,Aluminum,Steel,487.3,Silver-plated,Silver-plated,Cold Welding,2846.0,19.1,2993.3,1.371,126.3,,64.9,29.6,61.7,Copper,Helium,2.29
WLD_000012,Aluminum,Steel,158.9,Silver-plated,Passivated,Resistance Spot Welding,3587.6,,1589.7,0.823,,,81.1,24.8,79.2,Molybdenum,Argon,0.84
WLD_000013,Aluminum,Aluminum,133.9,Oxide-cleaned,Tin-plated,Friction Stir Welding,1438.6,,2147.9,4.057,,,142.3,26.8,49.9,Graphite,Argon,3.41
WLD_000014,Copper,Aluminum,101.1,Passivated,Passivated,Cold Welding,2844.0,,566.1,4.912,81.9,482.7,92.6,21.2,74.1,Copper,Air,3.53
WLD_000015,Brass,Aluminum,453.7,Electropolished,Anodized,Ultrasonic Welding,2105.1,13.4,407.1,1.807,,,98.8,19.7,30.5,Molybdenum,Argon,0.12
WLD_000016,Brass,Aluminum,187.4,Nickel-plated,Anodized,Resistance Spot Welding,5563.7,,1509.2,0.741,,,50.8,30.7,46.3,Graphite,Air,3.32
WLD_000017,Copper,Aluminum,294.1,Tin-plated,Tin-plated,Cold Welding,1207.8,,2920.4,1.996,191.2,251.4,95.0,21.3,54.6,Copper,Air,2.9
WLD_000018,Brass,Aluminum,340.5,Bare,Silver-plated,Friction Stir Welding,1985.8,,2656.3,3.751,102.6,286.2,147.4,23.2,33.8,Graphite,Argon,1.65
WLD_000019,Brass,Aluminum,217.7,Nickel-plated,Passivated,Cold Welding,2844.9,14.2,1864.3,4.951,,438.7,116.3,29.9,64.9,Graphite,None,1.55
WLD_000020,Copper,Nickel,414.6,Bare,Electropolished,Electron Beam Welding,510.1,,1902.3,1.012,,,26.6,18.5,74.3,Tungsten,Nitrogen,2.25
WLD_000021,Titanium,Copper,66.2,Bare,Nickel-plated,Cold Welding,1288.9,7.9,160.2,4.122,,,87.9,21.7,68.5,Copper,Helium,4.23
WLD_000022,Brass,Aluminum,289.1,Passivated,Tin-plated,Friction Stir Welding,704.4,72.9,171.1,2.024,,125.5,44.0,25.3,34.0,Graphite,None,0.39
WLD_000023,Copper,Nickel,120.4,Nickel-plated,Electropolished,Cold Welding,556.7,,2807.1,3.209,198.8,,114.9,27.6,32.4,Molybdenum,None,0.69
WLD_000024,Copper,Steel,102.2,Oxide-cleaned,Passivated,Ultrasonic Welding,1278.5,49.2,433.1,0.133,,,119.2,23.9,70.3,Tungsten,None,2.05
WLD_000025,Copper,Nickel,477.1,Silver-plated,Nickel-plated,Friction Stir Welding,1623.5,52.8,2576.6,3.311,,,103.5,28.0,31.3,Molybdenum,Helium,2.92
WLD_000026,Copper,Nickel,308.0,Bare,Bare,Electron Beam Welding,2273.3,41.7,2885.5,4.531,,,33.1,19.6,30.9,Molybdenum,Argon,3.31
WLD_000027,Copper,Steel,430.2,Nickel-plated,Anodized,Laser Welding,595.3,,248.0,0.07,76.2,936.7,25.1,34.4,50.9,Graphite,Nitrogen,2.18
WLD_000028,Brass,Aluminum,413.1,Bare,Tin-plated,Friction Stir Welding,1613.7,37.4,2795.7,4.299,,377.3,33.4,26.6,75.1,Graphite,Argon,1.67
WLD_000029,Aluminum,Aluminum,95.0,Silver-plated,Silver-plated,Electron Beam Welding,3640.5,,992.0,4.753,174.2,224.3,58.1,29.4,46.4,Graphite,None,3.98
WLD_000030,Copper,Aluminum,101.1,Oxide-cleaned,Nickel-plated,Laser Welding,209.4,,274.8,0.045,178.7,351.6,35.2,30.9,37.1,Graphite,Argon,0.6
WLD_000031,Titanium,Copper,241.7,Electropolished,Nickel-plated,Ultrasonic Welding,2554.7,38.2,254.6,0.261,,,148.3,24.3,48.7,Graphite,Argon,4.74
WLD_000032,Copper,Aluminum,316.3,Silver-plated,Anodized,Friction Stir Welding,517.3,58.0,1301.5,4.536,,,21.5,19.0,53.4,Graphite,None,4.13
