sample_id,min_cycle_temperature_C,max_cycle_temperature_C,total_cycles_tested,initial_contact_resistance_mohm,final_contact_resistance_mohm,resistance_drift_percent,tensile_strength_retention_percent,shear_strength_retention_percent,fatigue_life_cycles,crack_growth_rate_mm_cycle,thermal_expansion_mismatch_ppm_K,stress_concentration_factor,primary_failure_mode,time_to_failure_hours,cycle_life_score,reliability_score,temperature_stability_index,corrosion_resistance_score,dimensional_stability_um,interface_adhesion_strength_MPa,oxidation_resistance_score,creep_resistance_score
WLD_000001,-39.0,101.9,9112,4.5848,6.2605,36.55,75.8,72.0,25696,2.08e-06,7.14,1.66,Thermal Degradation,1659.5,0.355,0.264,0.762,0.775,3.22,88.3,0.591,0.841
WLD_000002,-33.0,135.6,5100,0.9971,1.1484,15.17,85.2,80.9,14140,1.54e-06,6.43,1.95,Fatigue Cracking,5100.0,0.361,0.574,0.76,0.907,3.17,92.0,0.778,0.857
WLD_000003,-33.4,123.8,9045,0.5935,0.8103,36.53,79.3,75.4,3809,1.23e-06,0.09,1.39,Fatigue Cracking,1959.6,1.0,0.331,0.712,0.8,3.26,121.7,0.641,0.675
WLD_000004,-30.2,142.4,8834,5.7872,8.1937,41.58,82.1,78.0,11003,8.7e-07,4.56,1.63,Thermal Degradation,7004.9,0.803,0.245,0.786,0.798,0.47,190.3,0.635,0.739
WLD_000005,-27.8,140.2,5743,0.9183,1.1007,19.87,87.2,82.8,1767,1.5e-06,12.94,1.58,Fatigue Cracking,3247.2,1.0,0.537,0.868,0.862,4.55,181.7,0.877,0.699
WLD_000006,-38.6,90.8,5894,1.0387,1.2814,23.37,88.0,83.6,21728,1.28e-06,8.88,2.05,Thermal Degradation,5894.0,0.271,0.456,0.772,0.835,1.25,178.0,0.846,0.725
WLD_000007,-22.6,134.1,5865,0.1189,0.1264,6.31,86.3,82.0,17252,1.32e-06,-0.09,2.17,Fatigue Cracking,5865.0,0.34,0.669,0.616,0.905,3.18,97.0,0.775,0.748
WLD_000008,-22.1,135.2,5998,3.0814,4.2589,38.21,87.0,82.7,6781,9.7e-07,5.27,2.14,Fatigue Cracking,5623.1,0.885,0.353,0.641,0.838,2.95,116.7,0.867,0.613
WLD_000009,-20.3,134.0,1821,3.4668,4.3481,25.42,92.9,88.3,5414,1.72e-06,3.26,1.6,Intermetallic Embrittlement,1821.0,0.336,0.36,0.752,0.751,0.85,108.6,0.505,0.797
WLD_000010,-20.3,116.3,9396,1.3223,1.731,30.91,83.2,79.0,8844,8.1e-07,-4.51,2.03,Fatigue Cracking,2813.4,1.0,0.407,0.64,0.859,3.16,183.1,0.601,0.795
WLD_000011,-26.6,134.7,7619,0.8768,1.0948,24.86,79.3,75.3,23955,1.22e-06,12.01,1.92,Thermal Degradation,7619.0,0.318,0.398,0.884,0.791,1.98,80.3,0.733,0.762
