Anode_Material,Cathode_Material,Anode_Thickness_um,Cathode_Thickness_um,Surface_Finish,Welding_Technique,Power_W,Amplitude_um,Force_N,Pressure_MPa,Time_ms,Speed_mm_s,Pulse_Frequency_Hz,Pulse_Energy_J,Preheat_Temperature_C,Ambient_Humidity_%,Chamber_Atmosphere,Cooling_Rate_C_per_s,Electrode_Material,Gap_Distance_mm,Weld_Strength_MPa,Joint_Resistance_mOhm,Nugget_Diameter_mm,Penetration_Depth_um,HAZ_Width_mm,Porosity_%,Surface_Roughness_um,Microhardness_HV,Grain_Size_um,Visual_Quality_Score,Interfacial_Bonding_%,Initial_Crack_Density_per_mm2,Residual_Stress_MPa,Thermal_Cycles_to_Failure,Retained_Strength_%,Resistance_Increase_%,Final_Crack_Density_per_mm2,Fatigue_Life_Cycles,Max_Operating_Temp_C,Thermal_Shock_Score,IMC_Growth_Rate_um_per_1000cycles,Delamination_%,Oxidation_Resistance_Score,Energy_Efficiency_Loss_%,Overall_Performance_Score,Cost_per_Joint_USD,Pass_Quality_Threshold,Pass_Performance_Threshold,Optimal_Design
Al,Ni,414.95481070093314,349.4021244989349,Coated,Ultrasonic,1332.8285686218796,51.45469543846792,875.0851377652298,8.750851377652298,475.3438554888108,0.0,0.0,0.0,82.19678894531395,56.62136000680056,Air,39.754492035186466,Molybdenum,0.126919240870564,65.86072468960242,8.839238495190216,2.3836170569070116,118.58876903825339,4.628357811434428,14.136400015924531,9.472120075187636,120.62182437010037,47.76868444851331,3.419119161616692,47.19874592195385,1.7652228809408452,147.49876241570124,494,29.036059845557524,202.6266654709391,5.076856068667025,6966,150.18672351282441,2.053078507225895,5.020596260768844,48.84834858530014,3.20629471245725,40.28944983322504,19.115406152008575,0.059753413434553995,0,0,0
Ni,Cu,281.73816922706203,152.5151888019297,Coated,TIG,1025.705303476892,0.0,0.0,0.0,1506.1778348536325,43.646626160368555,0.0,0.0,92.95673490285301,65.80582947298271,Air,25.540403143807776,Tungsten,0.11476821172713436,107.14462874926038,7.0862552776711185,3.279851751462795,209.64781282434876,4.111763582714593,10.775196097193074,7.92989822463276,161.43923154525623,39.744966545797766,4.786413481195946,57.574472667985596,1.3330976030459307,115.4887945167651,1758,37.48613560893139,187.1480536352082,4.724525759373436,20647,177.70054296107574,2.9876526683980202,4.457140829982036,47.7569717663913,3.39430761029821,36.76243852163439,31.492627302308122,0.051046755895226795,0,0,0
Cu,Al,352.0988877824632,223.87668444207566,Bare,Friction_Stir,0.0,0.0,3696.934647154366,0.0,15571.9375419828,3.6991705794181824,0.0,0.0,97.49280859711244,57.41355127685425,Air,9.837469444650907,Copper,0.43219171272836576,104.50764292439099,7.894261845830189,3.244345973295717,194.71678704550837,4.064202457777675,10.877262315531757,7.7221838706252255,163.01199514964412,42.9892085874514,4.895242038927995,56.87678677459967,1.4225052281288613,118.38091637365422,476,29.642612937239516,194.6046424808252,5.040037027082618,14274,151.24438817253838,1.8728767481896171,4.795195968703271,51.450983768229314,2.727266995279661,39.66980024894131,20.387183423817177,0.0935181992524831,0,0,0
Ni,Al,199.35344349728302,180.71797930098276,Passivated,Friction_Stir,0.0,0.0,4715.234383383444,0.0,12321.383903974638,9.257545423477815,0.0,0.0,73.29736436525369,46.53965165974721,Vacuum,17.296810455001204,Copper,0.04233886876016146,132.36106804314937,5.399856957948773,4.088345268194816,258.00423181109517,3.3203565764374523,9.463333148328353,6.55823538176018,209.13584437203616,36.56644243765205,6.207609777630674,69.82680638060604,1.1099260492829364,101.94899051612096,4243,57.817082068857616,122.73488905470398,3.47206060612529,43992,225.94150390547537,4.685363915771859,3.354161915399162,33.2096640268939,5.6137698835347045,26.11166018487726,48.79265248556087,0.14734030108174262,1,1,1
Ni,Steel,382.18433211339453,463.5305990867449,Anodized,Resistance_Spot,4782.268509448287,0.0,2041.9827772987142,25.524784716233928,833.8779694644293,0.0,0.0,0.0,129.00274977355713,44.46221983481046,Air,23.10235808106041,Tungsten,0.20428180234986593,141.0206051212683,5.291630680197868,4.544487943198423,291.2741620934809,2.9680553926948297,7.0489775480157855,5.4614140648508664,223.6314481127333,32.27818623952402,6.888264476318444,75.71636224518186,0.8334747869921739,91.1631391722061,6121,71.07011590458762,91.72549043044123,2.5828963293676477,67670,265.9548535958913,6.028890755813661,2.6292044582710483,24.350321710930697,6.787857825520092,19.653805713164346,65.4999320870644,0.10257396443095942,1,1,1
Cu,Steel,271.04053348133493,404.16002691499307,Bare,Resistance_Spot,3734.9873081129126,0.0,2378.4594727259037,29.730743409073796,338.94838761314077,0.0,0.0,0.0,44.072872049857686,59.51792033133282,Argon,38.71818102489967,Copper,0.41032888514277954,127.66962909345374,5.834888503184013,4.122017085300547,258.09177916795244,3.5050582027376795,9.342440469273857,6.787427237751168,200.90616780861282,37.119121216908084,5.986690868383483,68.14136384194987,1.1144763330550727,103.0711211976937,4350,56.70633060832827,121.05691621571991,3.4404151511920524,51886,231.2618584609635,4.982559519655064,3.383816814219158,33.5098128543494,5.542920944197419,26.14025095047376,51.78419508183445,0.08922859099263356,0,1,0
Cu,Al,277.0182059258982,370.5593475640024,Passivated,Friction_Stir,0.0,0.0,4463.331583224548,0.0,6085.2276484622835,9.274595521611925,0.0,0.0,92.12948474830904,59.649507885487736,Air,8.284222162892789,Molybdenum,0.4066196659205868,96.4929920459282,6.605701761738594,3.5961427024420125,223.7257084183161,3.7936683391156016,10.042919809899646,7.0140713187418235,177.21192757442518,39.722776669112385,5.572539204711533,60.34349507322346,1.3057215472507042,108.28902828456128,385,34.93982530718031,190.65489533860995,4.860716304497936,10975,160.67296437186147,2.5643075142511718,5.041378627518837,47.39928310835304,3.624111161231799,38.096651057785444,22.658898582625852,0.09552513242674426,0,0,0
Cu,Al,359.7289298307527,220.38652785264867,Coated,Laser,2465.4566729955327,0.0,0.0,0.0,446.05910904513877,43.925497451764485,19.033074558554855,13.04180175132176,113.89032330433523,54.28231970022762,Vacuum,34.67961477916878,Tungsten,0.06939140534013477,120.59888048165033,5.9618148354979725,4.006959889651675,249.1634607787231,3.5526611631643763,9.421360379234692,6.6964174676708055,199.42842292453741,34.66854973068593,5.956631713313962,65.26091706047175,1.0480492439475062,102.21256777162687,5684,69.51239148897967,93.1858377277179,2.4988881088580506,58929,262.38071490211973,6.11141826382851,2.7429974670624175,24.33319815149352,6.656460670737728,18.707372037737354,63.43371679444773,0.07984375058628494,0,1,0
Cu,Al,474.51224858757064,173.6179088200854,Electroplated,TIG,1831.6302641209795,0.0,0.0,0.0,4470.821839066752,48.094856366403796,0.0,0.0,137.51690234395505,41.65868096389348,Vacuum,37.220613841977965,Tungsten,0.2438549004286047,58.37766416551251,8.71430979424161,2.5857331659876683,162.51979144301274,4.434805059759862,12.66014918387311,8.471882132033638,137.08376463163987,43.4781296871273,4.1540680716692036,49.02971840205068,1.7417295360520035,132.09637601665204,998,33.71252659439888,190.68098733873893,4.724365353385532,14391,162.98661440732184,2.661208848007984,4.540947149099148,46.29508847645627,3.5018211065196825,38.37811270764452,25.56984826711606,0.14767408884070313,0,0,0
Ni,Cu,125.60253864344837,402.58043519556475,Anodized,TIG,503.2113790182128,0.0,0.0,0.0,4274.170319622012,22.11085248860256,0.0,0.0,134.90939153645618,67.00619273562174,Argon,34.426461646658815,Copper,0.23991620136256542,76.34592102269399,8.480256876637894,2.7405669692418786,153.24910846753772,4.4360297498510946,12.212904257874042,8.374964710831868,141.49744834638946,44.757006200730196,4.153150590420052,52.388892361527326,1.5975558167625943,129.8009280685044,648,28.889274831030967,193.63952091427458,5.029536311501218,7413,161.27574197951859,2.040743812922355,4.91298018280912,48.59551273049719,2.8038097455541093,40.85389252168055,18.614680956465445,0.06332327098425591,0,0,0
