sample_id,timestamp,batch_id,anode_material,cathode_material,anode_thickness_um,cathode_thickness_um,surface_finish,surface_roughness_ra_um,welding_technique,power_w,amplitude_um,force_n,time_ms,speed_mm_s,pulse_frequency_hz,pulse_energy_j,current_ka,preheat_temp_c,ambient_temp_c,ambient_humidity_percent,energy_density_j_mm2,weld_width_mm,weld_length_mm,penetration_depth_um,imc_thickness_um,contact_resistance_microohm,shear_strength_mpa,peel_strength_n_mm,porosity_percent,crack_density_per_mm2,void_fraction_percent,surface_roughness_post_weld_um,peak_temperature_c,cooling_rate_c_per_s,grain_size_um,thermal_cycles_tested,resistance_increase_percent,strength_retention_percent,fatigue_life_cycles,delamination_area_percent,imc_growth_rate_nm_per_cycle,corrosion_mass_loss_mg_cm2,quality_score,quality_class,pass_fail
WS_000001,2023-01-01 00:00:00,49,Cu-C10100,Al-3003,257.4542081109768,249.4563273866794,anodized,1.2786893562514765,Laser,730.9270981897415,0.0,0.0,52.75852435069878,64.37727556692977,967.8105063681171,3.976932749812983,0.0,35.7649746928964,21.3815337550657,52.83742902552653,0.12355082487696668,1.8350133274905411,3.0710752936504724,32.60351873631707,0.888135955586792,72.44034605505479,29.16932892908623,3.143150630898464,0.0,0.0,6.633962849189342,1.007738328277694,168.28639983789614,22.370173594102553,46.47948430599997,1266,28.130217835762608,63.58781889210003,716,4.392278079919597,0.4508699856984212,1.7948376832427142,0.7062720324100903,Good,0
WS_000006,2023-01-01 01:15:00,29,Cu-ETP,Al-3003,135.2537723906766,446.28039692960147,anodized,3.440506165121493,Laser,2694.547931425179,0.0,0.0,67.48251356975754,16.826840721542865,241.8596006664054,40.738572379706724,0.0,64.45185158985855,19.76308459429084,34.21430970197116,4.84209401561048,2.378231705519203,2.4850722953956783,63.829883904095745,0.7512662406002821,89.258057102474,24.90847925580977,9.501214670027458,0.0,0.0,6.039286427026344,2.645599083134794,108.94110041873489,5.743291299752886,47.20256984757247,349,28.167162083781058,73.15192650024628,706,0.0,0.02430324315306366,1.3702089110128008,0.7376957397916108,Good,0
WS_000018,2023-01-01 04:15:00,46,Cu-ETP,Al-1060,228.82701407829188,196.05064818060794,bare,2.7514042906253406,Laser,1573.8636217965072,0.0,0.0,31.47178234966774,34.242829979369404,584.2304944885541,37.34317144260423,0.0,41.18448125659006,24.778444975224463,64.1281086023973,2.1810797451672492,1.9077110702232738,3.1867179941607713,30.0,0.7634226557369314,84.28187864948727,35.29912093143303,8.839326038671096,0.0,0.0,3.7677203902394236,3.006012788577192,193.27228302758482,21.38009289962624,42.34336940999107,1355,36.15586316340055,67.58319829984757,412,8.200824016660734,0.08736265057871784,1.4208865534827395,0.6768143226399459,Good,0
WS_000020,2023-01-01 04:45:00,17,Cu-C10100,Al-6061,443.17396559893155,204.08454717430146,bare,2.4443405064002954,Laser,1790.0438585440745,0.0,0.0,24.258076668515315,27.386552145972054,956.3829853839285,12.667175746131859,0.0,68.04768754115653,26.06134924997507,49.196153742000895,0.925065388196003,2.0130355436913736,2.723884980755711,66.94371911716965,0.680649322965439,101.05324085747132,45.013319179997225,4.8205169993904295,0.0,0.0,3.297291355128557,1.885817282023028,179.4629135355847,5.0,49.61095241083499,260,22.740535689325014,74.57818145619227,525,0.0,0.2579024329295092,1.41340437638702,0.737334650106493,Good,0
WS_000022,2023-01-01 05:15:00,29,Cu-101,Al-3003,274.15852935990057,111.40800993545929,tin_plated,3.0208827855834697,Laser,1420.3893509069696,0.0,0.0,97.73991255066113,67.37172659898607,963.4409662954783,18.22431462062558,0.0,59.710519090274154,20.738794071560157,39.584553586755966,0.5410077948306539,2.5352950407146295,3.083931769602509,30.0,0.9839679305675868,82.59245867329788,39.96537501466018,6.37399954088226,0.0,0.0,3.4948613556226347,3.080971337884825,155.19631432508888,12.235932862130301,46.84125303497484,767,32.43824870546334,74.21657999024596,767,5.329047821774934,0.6605639376366208,1.2898661788708057,0.7280254455849252,Good,0
WS_000023,2023-01-01 05:30:00,11,Cu-110,Al-1100,481.2480457576551,463.72165856241975,tin_plated,2.108900656844178,Laser,2268.015366167463,0.0,0.0,86.67906722219718,60.70619583757249,767.9869521757153,37.975711916181325,0.0,71.76379762935852,23.60064680554103,49.619404786616954,1.2511313348571669,2.1714422756397247,2.9844874012003464,49.04033849101008,0.4729454948902552,94.11770125616786,15.577375797329937,5.397283941121657,0.0,0.0,6.553386977634983,1.6752636613034866,112.85795886132829,5.0,39.74292765727866,848,33.15827972874874,68.42060793286976,550,6.084425747784708,0.045585121129432755,1.614394167678305,0.6965724686286215,Good,0
WS_000024,2023-01-01 05:45:00,35,Cu-ETP,Al-3003,387.6980802303327,103.28925255555662,anodized,4.208565183772539,Laser,1715.2382579875582,0.0,0.0,89.55455143802439,58.358502570974295,584.3470828522434,31.373250878675048,0.0,39.402417443040406,21.489228545340627,64.60318844694041,1.0751904005939703,2.6886793400225493,2.6909208908819746,30.0,0.2,108.8005335214075,47.11507550687374,6.590053707575389,0.0,0.0,3.300759715937413,3.3052449933763928,172.65493094340877,23.535296604885204,44.93227850040549,305,35.841233481577866,58.91266624428542,406,0.0,1.3231056044148264,2.8281106189554905,0.6705864820550134,Good,0
WS_000033,2023-01-01 08:00:00,15,Cu-ETP,Al-6061,325.76663511189906,451.13304143032576,tin_plated,2.3940710381129815,Laser,1759.896594211696,0.0,0.0,93.80909455583135,37.67283416850242,839.2933881946913,19.474090277761032,0.0,79.51438147037659,20.357149666933385,30.28602025691037,1.033853210547295,2.2150955254840476,3.1860107452009556,42.31336055361113,0.32127442668726536,76.70136549376758,28.59385240292186,8.366155800780135,0.0,0.0,11.129166904285036,2.0415092732344475,169.69332385391345,17.32461314197186,46.58324451276422,1649,46.32883909024138,46.30215102406335,554,15.222261541547365,0.0,1.3122817601707817,0.6046537118677282,Good,0
WS_000034,2023-01-01 08:15:00,13,Cu-110,Al-1100,340.2332787948544,458.0424902920368,bare,4.540702383607942,Laser,2684.2817122647216,0.0,0.0,43.87764771950889,89.57477576741347,924.8184869224665,26.599134339449986,0.0,74.0555848906753,18.84255271282435,33.221017253657465,0.5938978716177042,1.5577196698451348,2.6760961673275676,43.90434646531915,0.354838029576509,101.46922931155544,15.0,4.407623436115383,0.0,0.0,10.867503703656062,5.362590537446725,153.85182617201676,5.0,46.75694974464474,1710,42.14104231386285,46.13787444881518,564,15.505373006241175,0.5558150100339084,1.6624939148623346,0.6106605482645414,Good,0
WS_000041,2023-01-01 10:00:00,19,Cu-C10100,Al-1100,404.8848233256708,468.7822520531001,tin_plated,2.6413668181661794,Laser,1049.2190635737043,0.0,0.0,55.77384200047177,23.832429064290544,85.11423270953236,47.54833831644613,0.0,37.579488566662846,22.155672712902664,40.98835071892614,3.99022174266663,1.6971521378985805,3.158813301494557,31.16396916386077,0.2,96.73945920655301,36.12354333384014,6.188893304192614,0.0,0.0,2.6109470780751294,2.396808481330912,153.16663562540987,5.0,48.53712741869064,1124,44.949098501789955,52.7802749698468,485,7.558041418947277,0.0,1.4432163021924644,0.6326890453447391,Good,0
