sample_id,timestamp,batch_id,anode_material,cathode_material,anode_thickness_um,cathode_thickness_um,surface_finish,surface_roughness_ra_um,welding_technique,power_w,amplitude_um,force_n,time_ms,speed_mm_s,pulse_frequency_hz,pulse_energy_j,current_ka,preheat_temp_c,ambient_temp_c,ambient_humidity_percent,energy_density_j_mm2,weld_width_mm,weld_length_mm,penetration_depth_um,imc_thickness_um,contact_resistance_microohm,shear_strength_mpa,peel_strength_n_mm,porosity_percent,crack_density_per_mm2,void_fraction_percent,surface_roughness_post_weld_um,peak_temperature_c,cooling_rate_c_per_s,grain_size_um,thermal_cycles_tested,resistance_increase_percent,strength_retention_percent,fatigue_life_cycles,delamination_area_percent,imc_growth_rate_nm_per_cycle,corrosion_mass_loss_mg_cm2,quality_score,quality_class,pass_fail
WS_000004,2023-01-01 00:45:00,22,Cu-C10100,Al-3003,236.00175442395687,342.90666804059515,anodized,0.4760236173517556,USW,2546.691834164486,46.83723171816436,1167.9320922375225,137.88082746255458,0.0,20000.0,0.0,0.0,49.836549558006745,26.953441337843437,66.76969527766366,16.0065538433397,1.8731636388273627,2.937114188817207,62.639239581513955,0.5224391139728668,95.74556769928716,42.46964590018431,4.807277834321024,0.0,0.0,8.593392609015513,1.0081271550117115,163.11297478673626,5.0,46.14606315113319,1189,37.72592721260804,55.39930240194524,374,15.626197219307134,0.0,3.1356069886309523,0.6275435787330834,Good,0
WS_000007,2023-01-01 01:30:00,33,Cu-101,Al-1060,410.7193748834523,112.8438321928233,anodized,2.5771544448057235,USW,2330.5041476501247,31.627992545876822,2046.5846401199478,411.639752389444,0.0,20000.0,0.0,0.0,33.17386351248512,19.693684069188325,58.12073924464876,95.90117603311134,2.071741005346735,3.9849075834552417,68.53644079838122,1.0394707970468202,69.2970303478223,35.16966715823713,7.797621000234713,0.0,0.0,0.7699231329451582,2.814457093195454,246.11047176169984,23.418856195075605,36.573140498555155,1067,22.667177418859765,69.06103589387666,830,6.85268511630499,0.0,1.014193768266479,0.7311363723466634,Good,0
WS_000010,2023-01-01 02:15:00,13,Cu-110,Al-3003,272.13861294888017,403.79462767532283,tin_plated,4.277897940580545,USW,3824.9282132121834,51.82435699277893,2392.692104936076,250.27788417145527,0.0,20000.0,0.0,0.0,24.47654466797679,26.06426199976002,68.31199656332087,35.643301058974714,2.4965159659160268,4.622238345562003,83.78247423561126,0.7121471968104743,80.65036897158258,29.99348037577758,7.459245926082968,0.0,0.0,3.71306840422018,4.896875859685629,169.35024140456983,14.605739345725194,47.37322094099155,1979,35.92440991101519,50.17224348846669,512,15.341459533806985,0.25457684592349683,2.6882673396241965,0.6269120905620892,Good,0
WS_000012,2023-01-01 02:45:00,10,Cu-C10100,Al-6061,382.6416515976871,391.6134971317976,anodized,2.0639809771471738,USW,3879.2086732671623,44.2181106455167,2317.298418261081,112.38434618480382,0.0,20000.0,0.0,0.0,58.42839501879471,23.663130315873936,42.981665193922,22.297111279289155,2.2175680397249677,2.857654670619552,58.4544830816282,0.6862729249013476,104.90553371067509,49.27997101756098,5.52620893982915,0.0,0.0,0.6642090990352368,2.9325684961630154,119.67182592572955,20.940397962559004,47.388800853768565,1572,30.44906352083137,59.56720002318342,430,9.399397035779403,0.0,1.6591018915818088,0.6642872020012918,Good,0
WS_000013,2023-01-01 03:00:00,40,Cu-C10100,Al-6061,314.13910722466267,471.12402465907854,tin_plated,0.46876224641020847,USW,1216.2972074505399,26.24419990549601,1136.8998279740701,380.6042671634485,0.0,20000.0,0.0,0.0,35.40211838798055,23.373364222410117,56.79510670983562,67.2119798272412,2.4226985908594956,3.050192501264835,111.84904505317289,1.4066211216033127,48.922836719874155,44.29100316582045,6.936704426127761,0.0,0.0,0.9627152451946289,1.9958281866090264,236.2994182894963,16.57669551976792,56.163603533741025,1467,17.16508995375949,69.50394355412693,833,5.846795830806141,1.023746178948726,0.986496907068477,0.7425828151052499,Good,0
WS_000016,2023-01-01 03:45:00,6,Cu-101,Al-1060,184.6983448209678,105.63186531315627,nickel_plated,4.711986011966924,USW,3858.475944839431,23.45636639040556,3347.227498663268,317.8666328053142,0.0,20000.0,0.0,0.0,26.57521747398365,20.831797218190314,30.820791160966614,222.91498550433812,2.7586057228163976,4.936723739899937,110.69208749171119,2.8286120468026636,87.1379862734521,72.79273626322613,7.80258101209424,0.0,0.0,0.0,6.274535126991903,382.2991307864036,37.8064161706972,38.85688673217642,486,23.19369706717736,82.02235362820336,592,4.661548224249163,0.0,1.0457091433383403,0.7509916022159419,Good,0
WS_000025,2023-01-01 06:00:00,36,Cu-ETP,Al-3003,472.06608114502,394.43285773483416,tin_plated,1.0073621003407898,USW,2066.850490616711,28.327361024024967,2140.700275684073,245.6596333368856,0.0,20000.0,0.0,0.0,24.81969825085786,19.906857354373667,62.125374271972916,63.27477747305053,2.3711457897570294,3.374814233904139,89.17022763337482,0.7851205043281231,102.15746193024549,43.20625395633118,9.124190095035276,0.0,0.0,0.4286422643697726,1.4178723679141525,239.0382071090694,22.4725059114444,42.14480573632167,1677,33.1900173016014,58.8509989895789,416,14.218605037596289,0.5636284061371194,1.754390086647317,0.6484159204093854,Good,0
WS_000026,2023-01-01 06:15:00,27,Cu-110,Al-1060,311.0351893088663,160.85915476780661,nickel_plated,2.8187267328208794,USW,2495.2012769860576,56.140324214282344,2543.5838012061945,698.8029973121544,0.0,20000.0,0.0,0.0,21.636048796351925,26.059999557958484,49.83718323674945,55.32360989813335,2.80697047967912,4.222731517081039,73.68602128690469,0.2,111.05494871979784,44.691826896836545,4.836603447002018,0.0,0.0,4.979824791436906,2.2391276074045963,177.37488274025165,21.11633671566925,42.187517875197145,1152,47.224590021443376,57.740404342421854,465,12.15307707399804,0.05587025685632988,2.777175080011984,0.6317271063101432,Good,0
WS_000043,2023-01-01 10:30:00,30,Cu-110,Al-1100,176.80934765453782,189.95872229216292,bare,2.8541828740716793,USW,2615.636326420393,57.19976729678622,2812.897878249574,285.1913895969095,0.0,20000.0,0.0,0.0,49.269161170757314,27.06464213672127,49.948473907375316,22.79949594448143,2.1745990430603412,3.680143473316583,56.59739516211743,0.4001078049534876,86.23291050869723,33.33861570695798,5.125530899347228,0.0,0.0,3.1717995343005154,3.642074616205667,208.67494423312792,33.050050538102845,46.62853295192082,1593,38.66573469294728,53.99137864088704,371,17.202306287085804,0.0,2.4474623240443694,0.619458853607844,Good,0
WS_000045,2023-01-01 11:00:00,18,Cu-ETP,Al-1100,349.3518263839628,405.6372000851926,bare,2.3329954892684595,USW,1342.5513039638777,48.75914988707599,3060.2190304268593,610.1643393135714,0.0,20000.0,0.0,0.0,79.90842107210173,18.91862346342368,47.43264475973988,34.45604789721624,2.2158887811221093,3.297390932315918,62.11724855336101,1.0666410187173434,78.20318827045016,35.74809641606385,3.0,0.0,0.0,3.034227702061899,2.459917781755557,191.91365744985856,12.584899005201734,40.73020756174235,1512,16.77317697293789,66.93405578718757,501,7.6349459889864715,0.0,1.1707145917613833,0.7112598502792125,Good,0
