sample_id,anode_material,cathode_material,tab_thickness_um,surface_finish,coating,welding_technique,power_w,amplitude_um,force_n,time_s,speed_mm_s,pulse_frequency_hz,current_a,voltage_v,rotation_speed_rpm,travel_speed_mm_s,tool_diameter_mm,pulse_duration_ms,spot_size_mm,pre_heat_temperature_c,humidity_percent,atmospheric_pressure_kpa,weld_position,joint_type,joint_geometry,cleaning_method,pre_treatment
WS_000001,Nickel,Titanium,132.54565543977372,Etched,Silver,Resistance_Spot_Welding,,,2284.5804889825968,0.10897516665982285,,,5133.240027692805,4.003377500251196,,,,,,45.71602722594934,59.05330837693117,95.564115790271,Overhead,Corner,V-Groove,Acetone,Solution_Treatment
WS_000002,Nickel,Titanium,327.8666793324724,Cleaned_Alcohol,Gold,Ultrasonic_Welding,892.2927863521257,36.21062261782377,1243.11314470864,0.3650383352388795,,20000.0,,,,,,,,72.58603673633927,41.9817105976215,99.56069984217037,Vertical,T-Joint,J-Groove,Ultrasonic,Solution_Treatment
WS_000003,Copper,Steel,436.97318303134426,Anodized,Silver,Ultrasonic_Welding,176.85060632129506,95.39969835279999,1932.9824644953908,1.6359549614212763,,20000.0,,,,,,,,74.83047845120672,25.86032684038303,101.84233026512157,Vertical,Corner,U-Groove,Ultrasonic,None
WS_000004,Steel,Copper,166.4509917200076,Etched,Tin,Laser_Welding,2183.263785007099,,,,11.189141480541252,568.1326274921714,,,,,,0.7231345198656157,1.7003410717304972,100.95574400655782,43.709014160108865,104.26658865793794,Vertical,Corner,Square,Plasma,Solution_Treatment
WS_000005,Titanium,Aluminum,292.86145957508586,Etched,Polymer,Ultrasonic_Welding,597.8222938903925,58.84264748424236,324.80223870078714,1.6241742634326755,,20000.0,,,,,,,,33.41911586235875,79.21321619603104,102.72244769296657,Overhead,T-Joint,U-Groove,None,Solution_Treatment
WS_000006,Steel,Copper,322.68198865145513,Cleaned_Alcohol,Aluminum_Oxide,Laser_Welding,667.7583916731356,,,,43.29206786790408,623.6748287007304,,,,,,6.684870694567718,0.2207608655434449,75.9768179088192,39.51099932160482,102.29606178338064,Overhead,T-Joint,U-Groove,None,Stress_Relief
WS_000007,Titanium,Steel,392.35327187760385,Cleaned_Alcohol,Aluminum_Oxide,Resistance_Spot_Welding,,,1354.7347815304875,0.050029253643047035,,,7395.966007172086,1.998017387306482,,,,,,99.08057033583862,32.10315214012377,103.95763595673519,Flat,Corner,Square,Ultrasonic,Annealing
WS_000008,Titanium,Steel,141.37755113064622,Anodized,Nickel,Laser_Welding,4414.2924111747625,,,,31.59334835855587,296.3380521518763,,,,,,2.199335770622385,0.9674156839175294,59.31927869903005,44.99059687222197,103.83280258918869,Overhead,Lap,U-Groove,Ultrasonic,None
WS_000009,Copper,Steel,242.19850488181535,Oxidized,Diamond_Like_Carbon,Resistance_Spot_Welding,,,134.06543960283443,0.5156398295517901,,,4756.699028339011,2.9989702942365724,,,,,,41.57576612006291,40.25691028421768,104.4290970391252,Horizontal,Butt,J-Groove,None,Annealing
WS_000010,Copper,Aluminum,483.1012827239501,Anodized,Zinc,Resistance_Spot_Welding,,,1574.3037181021714,0.2919920894336929,,,1331.9825261907952,6.486079005819072,,,,,,110.48222418119506,23.08872507499936,97.78646464236611,Flat,Butt,U-Groove,Acetone,None
