anode_material_encoded,cathode_material_encoded,tab_thickness_um,surface_finish_encoded,welding_technique_encoded,power_w,amplitude_um,force_n,time_ms,speed_mm_s,pulse_frequency_hz,preheat_temperature_c,material_compatibility,thermal_mismatch,electrical_mismatch,weld_strength_mpa,thermal_cycles_to_failure,weld_quality_score
2,2,218.13836831001433,4,3,1103.1391859378364,12.552351290608794,214.3143326305605,159.39573603429216,0.0,32.72794939711929,128.79249387504348,1.0,0.0,0.0,99.8841972756824,4722.903288316006,0.6889880964378444
3,3,199.81044330413147,2,2,2690.5174484081735,0.0,775.9000030920737,133.21597623359213,0.0,0.0,76.71763969853737,1.0,0.0,0.0,100.2808316901918,3810.9384008247443,0.6920393065346394
1,2,129.269260626287,0,0,3337.7171283936054,0.0,4579.205560071179,637.1226570520747,106.46525809521003,0.0,102.89893425028497,0.63,1.4831019207897191,1.4273960368054424,135.7307860663725,3126.086824022204,0.667418701176926
2,3,323.2700015456696,0,0,4294.680336616249,0.0,1410.8885116728948,319.2081560551561,158.8788956705182,0.0,60.30615786561167,0.787,1.4198170531585343,1.7847907999119617,139.3167891916598,5060.665968804079,0.6879676645388569
2,3,264.48087222888296,1,2,2323.281089755225,0.0,877.548137975748,178.54481135078294,0.0,0.0,121.09976882789105,0.787,1.4198170531585343,1.7847907999119617,113.27286390659549,2729.357048143189,0.7243529048450835
3,2,439.56544654580165,3,2,3128.5233646067272,0.0,1625.5273667596548,163.8693854158404,0.0,0.0,156.2591146592753,0.787,1.4198170531585341,1.7847907999119619,112.5145799896738,2665.887935471214,0.6844856857899579
1,0,64.44931121692622,1,2,776.1279598964894,0.0,1342.0345532924368,190.97810435415542,0.0,0.0,97.11207624975275,0.575,0.5259012861714379,0.457995479617339,105.65930157415899,2634.4535731209307,0.6716748467382545
1,3,339.7405673998069,3,0,2920.1083585123088,0.0,3794.820914850508,610.0596099500615,48.92073510578459,0.0,89.07150741415353,0.41700000000000004,2.9029189739482533,3.2121868367174042,115.18838612145748,2398.6516710915853,0.6139545736135359
2,2,393.3269953302025,1,2,1136.9294994507625,0.0,924.2830138533477,101.76820902379052,0.0,0.0,65.31762852329487,1.0,0.0,0.0,90.29804549543704,2658.8974425058486,0.6678545405361748
0,1,391.7689561347382,1,1,527.9758205141477,0.0,95.95006817522973,5.912472662736347,38.672146695485026,515.0328876858991,78.22480351741739,0.575,0.5259012861714379,0.457995479617339,99.5543461591083,4372.983028243096,0.6621153891403784
2,2,448.7332851929863,0,2,4822.94114912433,0.0,1058.1981523133727,157.30238682296988,0.0,0.0,84.8103951498596,1.0,0.0,0.0,116.55965587750215,2856.2984699806366,0.632981940784765
2,1,378.06518427327234,3,1,761.8142026401082,0.0,60.979964448562484,7.404451997313184,22.65711228586777,240.90011836287974,76.30407939803985,0.63,1.4831019207897191,1.4273960368054424,111.05668203762343,2197.402001705942,0.5157838849932809
2,3,467.5145277414633,4,1,86.72666527237716,0.0,44.12962088720117,30.915172396435505,15.282363575158932,175.86097378886407,36.25542337319336,0.787,1.4198170531585343,1.7847907999119617,80.56510460666875,2469.9972900661605,0.5081698291341974
