,anode_thickness_um,cathode_thickness_um,anode_surface_roughness_um,cathode_surface_roughness_um,power_W,pulse_energy_J,amplitude_um,clamping_force_N,pressure_MPa,weld_time_ms,welding_speed_mm_s,pulse_frequency_Hz,ultrasonic_frequency_kHz,preheat_temperature_C,ambient_temperature_C,ambient_humidity_percent,heat_input_J_per_mm,weld_nugget_diameter_mm,penetration_depth_mm,weld_width_mm,bond_area_mm2,tensile_strength_MPa,shear_strength_MPa,peel_strength_N_per_mm,weld_hardness_HV,heat_affected_zone_hardness_HV,contact_resistance_uOhm,weld_resistance_uOhm,current_capacity_A,weld_thermal_conductivity_W_mK,thermal_resistance_K_W,average_grain_size_um,porosity_percent,intermetallic_thickness_um,crack_density_per_mm2,surface_roughness_after_weld_um,weld_spatter_count,oxidation_score,thermal_cycle_min_temp_C,thermal_cycle_max_temp_C,thermal_cycle_rate_C_per_min,thermal_cycle_dwell_time_min,thermal_stress_MPa,cycles_to_failure,resistance_degradation_percent_per_1000cycles,resistance_after_50pct_life_uOhm,strength_degradation_percent_per_1000cycles,tensile_strength_after_50pct_life_MPa,primary_failure_mode,crack_propagation_rate_um_per_cycle,permanent_deformation_um,power_dissipation_increase_percent,voltage_drop_increase_mV,thermal_resistance_increase_percent,max_operating_temp_C,MTBF_hours,reliability_10years_percent,corrosion_resistance_score,vibration_resistance_score,shock_resistance_score,overall_performance_score
count,5000.0,5000.0,5000.0,5000.0,5000.0,1699.0,2052.0,5000.0,5000.0,5000.0,1699.0,1699.0,2052.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,275.6187740785982,278.45811493388294,1.143242259847755,1.1211386728335304,2223.3615314905746,25.54254609874417,35.282994990185486,1054.7472834649332,54.600895090950864,525.1250338524096,104.56742933464598,105.60894979369074,39.71734892787524,84.53275600870901,25.03144780670777,49.82431984476774,123.49193430205631,3.2497208567484672,0.12147824094048555,3.253936653913332,10.6820644517673,9.099569575300697,6.4010250574636585,1.247665520451734,59.1355178493029,61.38538127038556,10.0,4.986221258182525,32.04168917313782,229.69682490609074,0.24690558490653502,99.39016566423334,2.8622018061067975,4.266443389477427,0.9222709389945485,1.5279740896142506,5.4052,4.691168672241788,-47.493414931993,117.74312914529804,12.433146601553176,19.931026129858072,0.06388982539158063,1781.0198,18.358661319082074,11.5331230849968,5.507598395724623,8.711842577302413,2.7044,0.0001022988373391863,63.5,15.33123084996801,0.052335545847731806,9.17508466920918,505.70764657056594,3259.779831887011,0.002718084381692757,6.845666769537596,4.8097828737391914,4.260838804779205,31.979092504125436
std,130.8464179781966,129.51279801571468,0.6185384307141197,0.5767593349787768,1758.6658373120279,14.111741746139224,14.366515893573258,545.828905171875,53.55707808652202,704.314494340876,54.7968588754331,55.42206998646496,16.253658214463375,37.779362658536805,5.734157525234421,17.437618991656027,179.68571822407404,1.7437744643417528,0.06613069673812007,1.7598398362348449,18.306543256721856,8.387185389166074,5.988425671066831,0.7154976776819065,27.544134161971233,28.08382035271063,0.0,1.1622164952270897,56.144550641244535,75.42573831067108,0.24178969071537137,35.13972832516948,1.735014225348372,7.939096184047941,1.8895053655072913,0.5773174772412618,5.78512804536773,2.570746714503232,4.37210408205592,18.81453133815537,4.348928597391544,5.78351490068472,0.05789721095435337,2301.953007543322,10.022431983016588,1.9815156481857499,3.0067295949049764,8.026061310802342,1.5301924512255174,2.1224641701537534e-05,48.14783113213456,19.8151564818575,0.1647088622729723,5.181098456519161,139.8169108634691,2022.3178885216566,0.06678559879861859,1.4172053655687114,1.1159359856777742,0.7486910738911743,9.43749809053279
min,50.07098506012553,50.11360452075294,0.14541149421705452,0.16080814708776614,102.8804535231459,1.058747298205327,10.006500563539824,100.5140933340616,2.1791881801499526,1.1817991194407604,10.06558834288861,10.055211498868145,20.0,20.031604840475,15.014200434624188,20.000136576232435,0.5364095749232609,1.2331240505270271,0.024601371037637113,1.1880985441902914,1.1942724605718007,5.0,3.000677134665766,1.0,25.0,27.50147978063435,10.0,3.0003833593681954,3.291115665665758,34.18918011221042,0.0018868575482423621,41.02655217585562,1.0468462893832013,0.0,1.686516493336586e-05,0.3803632189508002,0.0,0.0,-54.99998971098872,85.02203509148416,5.001924725683678,10.000613053652742,0.0,50.0,5.683287313272808,10.024550152231306,1.7049861939818423,-2.058170065472039,1.0,0.0001,0.0,0.245501522313063,8.915580392521855e-05,2.4350317173727465,397.65,578.9956550245022,1.9623524431373215e-64,0.0,0.0,0.11956412189029131,0.510000024462809
5%,72.38804386690136,72.9300792650593,0.44703289287577647,0.4530016807947603,383.67523815595405,3.532787017486966,13.049130632431114,201.43351206095596,7.077925290340817,15.811981283486164,19.766474579189683,18.95999365285637,20.0,25.991540841389654,15.99178429336461,22.874827280720996,3.548071804222138,1.8109104868670984,0.03651963879128992,1.7940195830651593,2.5756322170542054,5.0,3.0961396842331204,1.0,25.986623018175102,28.32534956298309,10.0,3.1758316080377167,7.512199721408276,107.11302296539152,0.03779212450810808,50.27349692195601,1.4342858654057957,0.0,0.011445211669172728,0.7836805334812803,0.0,1.225139989280625,-54.27928628548379,88.2599333511898,5.7206963296648174,11.026426166205216,0.0,294.0,6.632029232569584,10.181733526842649,1.9896087697708753,4.35847294507414,1.0,0.0001,0.0,1.8173352684265045,0.0017045313976710185,3.1263678106561095,397.65,1339.4466545447267,3.954454010182242e-27,4.525985534871692,2.728997780618909,3.0884195877595264,20.327007277125826
25%,161.2252966790577,168.2281788801132,0.7152320478539765,0.7114984713376806,1044.2549805293406,13.365039334012987,22.64005049592201,578.3549923929479,20.693653222643533,70.57628740200127,56.17992925567595,58.5193552926465,20.0,51.82642257091826,20.108610616084515,34.71815582771803,15.929833193845443,2.2487261032917476,0.0665240831866604,2.244890692620087,3.9715771541462255,5.0,3.4462052987529597,1.0,37.78307040656182,42.47064357630548,10.0,3.973478914815387,11.81937120649934,177.00460370527531,0.10591978149970545,66.19451465191338,1.8453978800637294,0.0,0.07837991389897281,1.1232819185677425,1.0,2.6584570683611677,-51.33172459588784,101.37632262623896,8.674449677137934,14.81719855266846,0.0,664.75,8.39706288977224,10.480642252285385,2.519118866931672,4.795855376562641,1.0,0.0001,0.0,4.806422522853849,0.005672927597337278,4.232039944285143,397.65,1923.1227339848538,1.6500205945354851e-18,5.863170232400565,4.513231072117176,3.875105170728509,27.273750114015606
50%,273.28871001196654,280.6023375929514,1.0079298378906463,0.9969706320804432,1732.8611927236677,25.43404800432684,35.52370166568781,1069.2304043274628,38.332642995792106,277.15337754629985,103.81749864518937,106.02588727170767,40.0,83.31062305754432,25.00622494322754,49.751338965623184,70.11816860039086,2.751531364274953,0.11069095875744628,2.7630195072106,5.946190658215297,5.0,3.8475400423129,1.0,50.0,55.26795508514057,10.0,4.979255096454629,17.86727472115678,228.64962679957608,0.1828352855965437,98.76970623891708,2.4620763455118624,1.1047085637095757,0.263004797562287,1.4331409175302108,3.0,4.242529022405885,-47.52336385020682,117.83002807639797,12.387551510728542,19.957288362741537,0.05703704654606334,1181.0,17.902430760858742,10.93625049420763,5.370729228257623,4.941378179137585,3.0,0.0001,100.0,9.36250494207632,0.01396212954784587,8.724571011537487,399.2706960368863,2645.363371514039,4.1547310334554e-13,7.130461903567129,4.985355611120641,4.321599736187645,29.98000000000178
75%,392.27855206053545,387.99750818443283,1.4244611739846214,1.3806179755567745,2681.3402995274882,37.51645445146171,47.76517886817086,1529.7617544745362,66.88593107669871,782.7841532249874,151.7415958255646,153.41766610926305,60.0,117.46665068094742,29.889709439512735,64.77978814138781,164.78249412270458,3.705141655655425,0.16474833702190642,3.701057249025897,10.782004652977369,9.705199039310251,6.809082289832304,1.0,81.89275327522735,84.22580262773944,10.0,5.986285705754134,32.19198944876075,283.1434691990572,0.30809989957247674,127.70744227718464,3.2928711410795684,5.618597454392315,0.7815438023040322,1.8221616030399403,8.0,6.35383063428667,-43.65095987276695,134.1692783594733,16.16450419871571,25.017253863642125,0.11284494510252888,2133.25,25.88684935568007,11.855434402134497,7.7660548067040205,9.355198061220124,4.0,0.0001,100.0,18.55434402134497,0.038153836971175484,12.899993261852043,653.7124999999999,3953.5516772630626,2.3836296105100742e-08,7.952031275153371,5.417896112988824,4.737845201861771,34.83625001834768
95%,478.8715528773318,478.20960585475086,2.3212144684356852,2.2395026513924687,6498.7928729171945,47.45830833331021,57.23000936254139,1900.0829879433452,165.67133791946546,1455.8012667167523,190.03516039557576,191.07173568358238,60.0,143.4697646260626,34.037487038944455,76.98573179185361,354.642162704331,5.653341593800085,0.24343648749460783,5.67623216847575,25.101538289909993,25.689083723914788,18.29410756492173,2.585560829638407,109.19829044383042,111.60436636053448,10.0,6.81073291343098,75.1000909684602,355.55146276149736,0.6487876904522595,158.3822714110517,5.310458253226062,16.127010941616433,4.573238063571665,2.596047842910426,18.0,10.0,-40.745586520447546,146.60883848425408,19.27507903315474,28.930335252839516,0.16112875671584753,5075.150000000001,35.629948182046334,14.718175643430023,10.688984454613898,25.061149424094936,5.0,0.0001,100.0,47.18175643430023,0.19544434977396205,18.155344410639863,668.3144491679591,7094.68510267508,0.00043415862246519167,8.635443116062547,6.086817352881577,5.319553503204411,49.73300307759438
max,499.9123148602107,499.96617207492943,9.389031305198388,6.084077005740966,7981.434899476816,49.99387985792338,59.99089720792077,1999.7476809554623,379.18244500585956,4990.493063671266,199.7788615231748,199.87374225317302,60.0,149.97074767180845,34.998345280273526,79.99614796835985,1933.0402691809063,15.0,0.33913723603942,16.43513396550856,176.71458676442586,121.22297004204712,96.65070560399876,11.795936446984031,176.06885872101915,161.11443303652052,10.0,6.999839920102925,628.5889591884139,436.7607565424606,3.4772083185572424,179.31759681171215,15.0,112.62886593486856,10.0,7.923177027068388,34.0,10.0,-40.00392716626008,149.998504387372,19.999821542533635,29.999507782192595,0.1979096620554704,91938.0,59.37863799772389,57.054467103146926,17.81359139931717,119.16356771526004,5.0,0.0007583505768419267,100.0,470.54467103146925,3.881349818790275,31.879459732329078,961.1897107055892,27901.189268248447,4.3297901249035435,9.751820778816066,8.585591276226769,7.74443516811375,75.02164054506257
