anode_material,cathode_material,tab_thickness_um,surface_coating,welding_technique,power_W,amplitude_um,force_N,time_s,speed_mm_s,pulse_frequency_Hz,preheat_temp_C,humidity_percent,atmospheric_pressure_Pa
Brass,Al-Mg,265.0002266099076,Sn-plated,Laser,1836.0276128244986,0.0,0.0,0.08995727464335605,113.95479521899308,6846.030960329782,6.0745484281880415,75.89187213324996,108431.9409968519
Bronze,Al,227.47929336518268,None,TIG,152.75897220659542,0.0,0.0,6.895924663829221,5.940626251781867,64.90256812604113,57.482014492355106,33.46898461969164,104810.20869750963
Cu-Be,Al-1100,114.37850681432467,None,USW,1307.0964049448878,36.06664296187723,1921.9304547811792,0.4829417330137026,0.0,24813.416322390167,40.14347283025281,67.45135200469426,108802.14153078523
Bronze,Al-1100,147.06079018472724,Ag-plated,Laser,1630.8474634715883,0.0,0.0,0.01317813591477578,198.89169019077292,6781.707614170989,33.111801327805864,45.84659537284345,103153.68032583139
Bronze,Al-Mg,329.58997760445874,Ag-plated,RSW,7375.6032617384,0.0,4352.214173470898,0.7994214419917383,0.0,50.0,30.31985426023497,54.01549269022405,89133.38772109819
Cu-Ni,Al-5052,93.04119816463255,Ni-plated,Laser,162.5120145501616,0.0,0.0,0.041243115443231254,48.3538549874542,8713.46194284842,34.157314898076095,69.29156447340378,107761.48318154045
Cu-Be,Al-Mg,69.55591009728514,None,Friction,1520.4294001976734,0.3034392924629896,1398.9943751639403,0.8118867615543437,2245.9902220929043,0.0,23.223917027545177,53.34380924584857,100553.38014379512
Cu-Be,Al-6061,121.04925841909275,Sn-plated,USW,1545.79493908079,19.37485076879276,1131.843057257749,0.17988442611001354,0.0,21432.365332199588,22.365734822013057,30.93576626438981,99225.39486219225
Cu-Be,Al-Mg,145.07982936361861,Sn-plated,TIG,93.82605361545217,0.0,0.0,9.375792943174085,4.393966654204079,117.10235679706484,26.145095097127268,78.65245356460994,100541.31902409246
Bronze,Al-6061,108.82674387982044,Sn-plated,Laser,1055.5897065823399,0.0,0.0,0.06626128252376279,63.03204586451908,1208.675013855538,39.68268883563374,70.45610454301314,108606.84260889489
Brass,Al,221.71643985086607,Ni-plated,Laser,254.75805151501297,0.0,0.0,0.02014629946087929,101.7376150640371,2361.0378336625236,23.260811062157494,26.305775093843213,104251.81218260089
Cu-Be,Al-1100,163.18712852847761,None,Laser,924.6039495453643,0.0,0.0,0.0039009527504991017,129.2347085619642,8781.737827082667,30.034857592010944,30.26565270647108,107356.78702528865
Bronze,Al-1100,117.78538377547291,Ni-plated,Laser,190.42088596373088,0.0,0.0,0.02258593687348344,70.37637771880505,2873.1185017240587,29.658954126134393,41.13466820048596,107347.97277099796
Cu-Ni,Al-5052,120.90927835807994,Oxide-removed,RSW,1282.6960813992373,0.0,1426.3138990227033,0.9212156101192717,0.0,50.0,23.894667924316835,48.39084100408542,100046.5229443619
Brass,Al-Mg,111.28518455830233,Oxide-removed,Friction,1567.0427027279181,1.9210323372599805,1601.15526733847,4.455649110294049,2467.9637019653474,0.0,20.090509551642903,29.737773154977006,96995.2131427054
Cu-Ni,Al,209.04067421337723,Ag-plated,Friction,1812.4115832646391,0.17439290584195483,2131.2891419740386,3.0498302409917155,1681.1256984294525,0.0,24.76182024063278,46.92694326850422,110329.18358548268
Brass,Al-6061,124.16628806220993,None,USW,1760.9599159374336,41.839061766367756,1942.5024677186016,1.6749457818552247,0.0,36759.88433801393,50.567542529214386,46.80295765973756,99881.26574875764
Bronze,Al-5052,93.08109499542161,Sn-plated,USW,1709.7567630978524,37.62437081095234,948.0157986399078,0.7845436743231223,0.0,37382.03496507967,30.117995358843675,35.399023268366264,97132.26506614385
Cu,Al,220.38937014903675,None,RSW,7336.478802997479,0.0,3728.880769166905,0.8540579706425134,0.0,50.0,56.39398722442541,28.853910821701,101191.57333826178
