anode_material,cathode_material,surface_finish,welding_technique,power_W,amplitude_um,force_N,time_ms,frequency_Hz,speed_mm_s,tab_thickness_um,preheat_temp_C,energy_density_J_mm2,contact_resistance_uOhm,peak_temperature_C,weld_nugget_area_mm2,IMC_thickness_um,tensile_shear_strength_N,penetration_depth_pct,surface_indentation_um,hardness_HV,porosity_pct,microstructure_uniformity_score,thermal_cycles_to_failure,resistance_increase_after_cycling_pct,strength_retention_pct,crack_initiation_cycle,max_operating_temp_C,bond_separation_force_N,electrochemical_stability_score,energy_efficiency_score,process_stability_index,overall_quality_score,weld_quality_class
Ni-plated-Cu,Al-Alloy-6061,Oxide-Removed,Resistance-Spot,6123.957592679835,0.0,1996.6462104925915,120.20838819909643,0.0,0.0,150,60,118.45238993695641,51.96673416733705,235.40573614385116,4.986528977660765,1.4131479378387728,777.2672588984992,46.13997612475541,17.89650678581364,83.32130570012052,6.148232490916385,57.77932637532573,2333,60.25024920699171,100.0,818,83.15145845385976,766.8030896617643,65.28151113684004,50.70843461124737,9.070493526731909,66.23536997015051,Poor
Cu,Al-Alloy-6061,Ni-Plated,Laser,810.2636846490514,0.0,72.19987722668247,46.98908274177176,10.070088925691289,198.52019626533132,50,80,18.763456695085146,56.33640051767595,260.6055860455444,1.7160319334832281,2.226444769619778,343.8929863229856,36.03331776835389,5.2060471222504745,108.5918664267412,9.313334867611871,56.50519754291335,2369,88.90095127136908,100.0,753,91.41890790412978,329.2982701105743,66.1496822502314,58.47503518328001,16.30998034204736,55.89936695431417,Poor
Cu,Al-Alloy-6061,As-Received,Ultrasonic,2074.3239807751675,25.994438868610217,283.99819378450775,1463.257726378043,20000.0,0.0,300,60,1011.7568639601742,87.90735344221119,257.1330306311957,5.134357853297983,2.5056704262536367,775.2146680847156,45.744320148950415,0.0,116.18172249767348,5.628870251341176,75.13828208750547,2641,62.29153399387181,100.0,724,78.33105143251825,756.1584646110678,58.376062008359455,37.57815866055551,18.16060971199675,71.04677475451486,Poor
Ni-plated-Cu,Al-Alloy-6061,As-Received,Resistance-Spot,7019.582847154244,0.0,2200.7688464694493,252.72466338629434,0.0,0.0,100,80,184.88228109241078,80.86990281111999,284.9060548378794,5.634191946857296,2.7690270121221308,927.2283081604064,48.84811713082998,32.31086559325948,97.13352675065188,4.669802239736811,69.40002598992027,2199,40.977668387738916,99.12111627478286,576,82.11566175950865,953.0140322157229,48.78250072469686,51.426993158621634,12.582150335708793,64.24376831349014,Poor
Cu-Alloy,Al-Alloy-1050,Cleaned,Ultrasonic,547.8987566606426,19.23575302488596,633.8458388468212,1056.5689263556415,20000.0,0.0,500,60,115.77856021530519,81.18210106771402,224.16359561810805,2.8069825164545628,1.9195534241849654,432.6892613296102,37.650038836922214,6.632753422167541,85.37739082541995,4.776382976512904,59.847160492912245,2660,51.98936914793645,100.0,734,84.66657034107295,328.118902307289,64.70404159456785,29.59362610825843,16.765322957515178,62.341708356340106,Poor
Cu-Alloy,Al,Zn-Coated,Laser,4143.872563946901,0.0,31.171107608941096,26.48333303771273,59.203925140895166,45.122346549850135,400,40,45.01686520963543,67.01243513514652,208.6156983952676,1.7382843012242746,0.4219521753665022,275.2106012065459,40.25874769161084,2.5072118894877753,73.22146238979697,4.813252525280112,62.11779297193023,1430,55.41055387472479,86.41792065189249,339,89.40174198207262,257.07477568649546,62.95474822170961,65.12829470256784,11.23077594822969,46.425648055092566,Poor
Cu-Alloy,Al-Alloy-1050,Zn-Coated,Laser,4499.995977210315,0.0,32.65407688058354,28.95175474586457,56.87508340232413,192.62268462637633,250,100,110.56161876413171,48.565128572314144,257.63079111654724,1.1168039850904992,1.9124546336475872,254.2783090646024,45.62903454651143,1.3296172976842289,90.48682914350088,6.163561520000331,50.91916898923362,2714,60.73917820995392,100.0,836,83.95604912107149,249.8518893345557,66.45325916714323,54.85986092237862,15.812025788537252,59.65322796258537,Poor
Cu,Al-Alloy-6061,Cleaned,Ultrasonic,1342.8035290621424,31.70784332632994,453.66360495457275,1223.0757730556556,20000.0,0.0,400,25,410.5876160923856,71.48395079984516,187.98448024847178,2.0820280984268686,0.3869686359254787,423.7799769418566,43.9332005382003,4.7946126901962876,86.86482390246671,5.1558193566195065,49.38285520146818,1358,53.778858993086075,95.6801288472045,309,70.01189852108189,356.71072620512336,58.37355427756526,34.3527338138249,6.763325476221736,50.83417989471778,Poor
Cu,Al-Alloy-6061,Ni-Plated,Resistance-Spot,5948.00140693332,0.0,2322.5179201024685,397.0716560086756,0.0,0.0,250,40,428.6932774646884,42.665993326870726,238.88276097694714,3.325193370622774,1.8817797096802935,596.2104265173293,44.25647158402878,38.29483661717076,90.73807713816467,4.307615667065403,74.87117336980886,3044,50.428637989333716,97.14282535972865,1001,91.88859355619496,575.3717463592096,69.52309076109998,45.123742424060055,31.351292822828675,70.10271115643091,Poor
Cu,Al-Alloy-6061,As-Received,Laser,1024.7556406972622,0.0,37.081825219826634,33.77322138051676,69.9330120955747,122.34657966446815,300,60,18.18566725914875,87.745509215999,211.85682947787367,2.5328016890992155,0.6441877256991804,499.329173935907,41.78144026137603,13.935938821547367,82.30676808629242,5.654318028066065,54.465423497416396,1722,58.59640051845474,90.87282456691878,562,78.29304468758514,391.4610154879565,56.739475233162835,53.56390967993426,0.0,50.81727525807005,Poor
Ni-plated-Cu,Al,Ni-Plated,Ultrasonic,2665.1885634946198,19.43939678995823,660.9229809703832,156.6070253538039,20000.0,0.0,100,40,417.3872529358701,41.61440966200041,218.6347874216273,3.09786489737886,0.9363890544599524,571.0775975160059,40.961029154660565,12.174192604182675,87.22315433554759,6.129542147273435,64.99100723707983,2079,52.25927213955393,95.81843236752015,690,86.68123676426181,542.6776782071456,68.92987224140101,48.63746802711539,23.021523157601955,56.356049264777596,Poor
Cu,Al-Alloy-3003,As-Received,Ultrasonic,2025.7120734941084,46.30265895704372,648.7260124679749,674.5360922498817,20000.0,0.0,200,100,683.2079530390605,87.23730136985048,291.2142611839668,3.02659610475014,3.289975393807353,614.3316739353901,45.124100469079075,0.0,116.64996435736548,5.329688555123979,60.29162572141413,1839,58.83916785971457,99.67068810290071,578,76.97225299622146,581.0943775773095,63.53442397509258,40.62772928030298,11.758062777728385,57.956768677534235,Poor
Ni-plated-Cu,Al-Alloy-3003,Ni-Plated,Laser,5342.573114583917,0.0,62.43540481337932,15.486050606047986,19.494483384724354,96.74156839175295,200,80,53.67982002869789,49.013066479281825,271.5624785545497,0.5,2.6598669570849833,185.77149856968882,32.14227682299274,0.0,94.67192272621459,4.489611183564615,63.384906842913935,2567,50.47701290930731,96.54120497159293,778,81.31250564644634,193.54850977643213,56.29031417528522,53.17049469160516,8.62441857554905,59.64349230835052,Poor
Cu-Alloy,Al-Alloy-3003,Cleaned,Resistance-Spot,7272.639099464453,0.0,1295.0086874296599,99.52336603745454,0.0,0.0,50,60,120.83926322708915,53.27215450646753,265.7475266635021,3.8643461842368723,2.685064128187143,782.7365199373689,47.94699535603271,13.905479227414917,101.66559890953457,6.5752992929294285,78.58261585733055,2451,64.73631661429427,100.0,737,85.06648324056589,790.145586058874,55.16118236315501,65.16510308826918,13.23373165228291,67.90908040204972,Poor
Cu,Al,Ni-Plated,Resistance-Spot,2152.590972000592,0.0,1835.223548438605,268.17348711154244,0.0,0.0,50,60,118.15007298944995,35.33390261786569,260.335706328505,3.9399698421443996,2.1389638743072763,691.7758170741288,51.11109217343892,48.00013320933982,114.97768046871177,4.338267617836863,54.65143674761349,2765,45.09740461635449,100.0,882,81.08955157592521,716.4125245570392,78.07295025588543,53.26120835843839,10.339962939580792,68.71054983025222,Poor
Ni-plated-Cu,Al-Alloy-3003,As-Received,Ultrasonic,694.6767413269447,20.156616557373788,644.3769131094821,1074.8259819757036,20000.0,0.0,250,25,298.6626442609661,85.67349540816222,187.02436644443253,3.012718458699987,0.1988680997721116,547.2692775285897,36.3437991171005,3.7332595191078948,82.80802130422568,4.370043860939015,64.35866560685683,1123,47.54790818632084,94.88890199958065,264,80.88300087356419,531.8056634290563,53.64780020440248,41.367935644451556,13.516370121076037,40.825543643182996,Poor
Cu,Al-Alloy-3003,As-Received,Laser,3264.734627758738,0.0,5.147875124998935,14.65367674759396,91.74392973699884,55.51675922672476,100,100,27.755558412787124,75.8169857833592,297.412434047708,2.0384623589324993,3.539803218879482,346.74339956409506,41.52035754822801,0.0,107.52739371514129,4.220740104871127,52.09835331557268,1506,53.73034926895733,92.02721170298071,438,83.18336552342134,325.08792108760383,58.119377389931856,55.86353109806489,10.017523039361246,44.01134965231494,Poor
Cu-Alloy,Al-Alloy-6061,Zn-Coated,Resistance-Spot,6331.337307301023,0.0,1094.0938599809992,377.6973568753368,0.0,0.0,500,100,322.01508512950187,65.22905770493723,243.02643359252863,4.295986334139846,2.220362251695017,753.3360443312274,40.454085073337424,20.693606601664275,97.10302348853425,6.138163412976687,60.66878129113336,2472,56.7989684961627,91.37195741729609,697,83.46491943805535,667.2840032893903,62.81294601022966,52.471991076798915,17.93440025469706,65.89764435481632,Poor
