sample_id,anode_material,cathode_material,tab_thickness_um,surface_finish,welding_technique,power_w,amplitude_um,force_n,time_s,speed_mm_s,pulse_frequency_hz,preheat_temp_c,weld_angle_deg,overlap_ratio,atmosphere,material_compatibility,process_intensity,energy_density,thermal_mass_anode
WS_000000,nickel,titanium,121.44685351053074,Rough,Resistance_Spot,1899.774242362026,,2566.6200138464023,0.3403715250276316,,,45.71602722594934,29.28998128269838,0.1451292632216802,Vacuum,94.09700000000001,646.6290560809762,128804.0326315091,479909386.3322133
WS_000001,titanium,aluminum,157.91851038324938,Coated,USW,2043.7037740692913,65.04878444394528,113.42597991746307,0.14381860757868994,,,114.45943884651004,17.993743727186498,0.13733253057089234,Vacuum,81.172,293.922631089959,81950.54940846437,371661214.18697745
WS_000002,titanium,nickel,82.79169030426586,Coated,Friction_Stir,8067.917612223739,,8739.463660626885,20.72891861904561,95.59485787421316,,22.387693008775976,42.39907900581837,0.5506305742764315,Argon,94.09700000000001,167239.20760895067,1177031.148127462,194850243.13108972
WS_000003,copper,aluminum,119.63989140283653,Coated,Friction_Stir,7721.982418614817,,2098.3441136030096,15.360130393226836,16.533819011891495,,183.67767237418076,11.645099172000762,0.6300178274831856,Argon,91.20800000000001,118610.65684412872,539481.7879689761,412709769.3832249
WS_000004,aluminum,titanium,106.77904301333386,Coated,USW,2902.930060873373,86.00804638103362,1519.9082092610236,1.1254150515392516,,,125.61520981949268,43.43648882688621,0.5856273981493477,Air,81.172,3267.0011840726497,254603.59064079434,259473074.52240127
WS_000005,copper,copper,130.2816307594439,Polished,USW,2967.217341501293,79.50202923669917,477.5597949149276,0.11049202253484457,,,166.78305712187014,31.80858047314277,0.6832057344327899,Air,100.0,327.8538453629425,174816.72758238073,449419513.4677777
WS_000006,nickel,copper,121.97981010235469,Polished,Friction_Stir,7842.858763796644,,1858.6910484137018,11.753729313749725,137.07983800608537,,139.8660241911494,26.60840044684772,0.3197774343920513,Nitrogen,94.02700000000002,92182.83895563554,527106.6415507625,482015417.6004648
WS_000007,copper,nickel,107.5017186373632,Anodized,USW,2304.323802912183,31.238642777406017,586.5298132465155,0.17682382012301956,,,147.91932014344172,4.99008693653241,0.45146920149261616,Nitrogen,94.02700000000002,407.4593376313362,199394.27796518453,370837928.6114481
WS_000008,nickel,titanium,102.79106356581124,Oxidized,Resistance_Spot,6439.756413500355,,2929.284910857529,0.21103061248742172,,,189.7136427004366,26.94894599198412,0.6558279464317637,Vacuum,94.09700000000001,1358.985740210782,609478.9644187376,406189166.78665966
WS_000009,aluminum,aluminum,55.086215453787446,Polished,USW,2678.6514754692944,82.33048692092031,454.4831118834681,1.7958620971309578,,,117.08160354481713,36.334806982382815,0.8168730399387946,Nitrogen,100.0,4810.488656219221,882734.9819284105,133859503.5527035
WS_000010,aluminum,copper,66.7098884140605,Anodized,USW,1712.074928397458,72.31924296012433,611.8834342171908,0.5638384922707709,,,50.2923875911275,9.84438988078816,0.5464816016138729,Vacuum,91.20800000000001,965.3337462822108,384717.85184786137,162105028.84616703
WS_000011,copper,aluminum,73.65914844823521,Coated,Friction_Stir,5273.169845729733,,5475.236553031469,9.72547098468632,64.11969393171884,,26.639650523815902,27.430395029095358,0.5021432185830892,Argon,91.20800000000001,51284.06033196736,971892.8168926616,254094598.4870322
WS_000012,nickel,copper,153.73415311056698,Oxidized,Friction_Stir,7821.181139450191,,5976.037801641952,18.188204992502413,25.362132003215898,,86.5378020910528,10.897197222484165,0.7425118051039167,Air,94.02700000000002,142253.24584781367,330926.5599895576,607495879.4317164
WS_000013,titanium,aluminum,137.67671590988525,Anodized,Resistance_Spot,1812.6079304896748,,4258.861230151571,0.32757226432201847,,,53.573331871973764,1.8348813699643762,0.5727143545505935,Nitrogen,81.172,593.7600841185506,95627.51712620429,324022150.89391494
WS_000014,titanium,nickel,85.14214517482131,Coated,USW,2227.344345256165,44.806181167048365,1879.7869785997955,0.36128979387738713,,,81.39194318904653,5.106308455826508,0.8397548946228502,Argon,94.09700000000001,804.7167793915637,307254.4542040985,200382038.66894194
