sample_id,thermal_cycles_to_failure,max_operating_temp_c,resistance_degradation_rate,strength_retention_percent,failure_mode,joint_thermal_conductivity,stress_concentration_factor,thermal_fatigue_life,electrical_stability_score,thermal_stability_score
WS_000000,244,850.5974041087176,5.665263828553487e-12,50.0,General_Degradation,56.39641921366005,1.3724725570740635,201.15122629927666,57.81988496223879,71.60655555261755
WS_000001,100,290.9444256289777,2.5752736182353305e-11,52.549954821793406,Thermal_Fatigue,129.42178228323854,1.2048577909640132,119.51980628107704,54.96557412493715,59.499749504059835
WS_000002,689,872.041772761578,1.0593946564320544e-11,54.71656457982088,Crack_Propagation,50.43481978060095,2.793770425802117,584.6028550782966,40.586000726429404,66.97447458130326
WS_000003,1516,351.53133231907714,2.0464737698584126e-11,50.65603479104199,Thermal_Fatigue,297.7768590531674,2.3405266121693407,1665.9332721249377,73.41544204915631,90.60379606273519
WS_000004,150,283.50570520878534,1.074953296500381e-11,51.63569933973074,Thermal_Fatigue,127.21220585137992,1.555179686115653,133.67991739346778,62.452822262721085,65.36246798839582
WS_000005,5281,578.3801583902696,1.3956213058231134e-12,97.13687396807461,General_Degradation,393.1395797554612,1.3825589117509445,4635.311392280061,92.05424081192189,90.32829606838357
WS_000006,5397,610.9712496551138,4.830913513644902e-12,61.72550117324563,Crack_Propagation,219.06846041769538,2.00775656775234,5058.816566602292,58.892993064877416,87.38127887839342
WS_000007,378,570.2485821892186,2.525995117765298e-12,60.07828275011033,General_Degradation,242.62513564104765,1.1177250634439122,343.10311411240514,61.31418772910376,85.44074295544569
WS_000008,171,876.4127040242832,3.993078196476062e-12,51.65845272394255,General_Degradation,56.30185694285813,1.3823700013054927,155.68757423196223,57.25297767143695,71.44734618780109
WS_000009,2764,350.97745832033536,8.739733722342629e-13,94.2783144632003,General_Degradation,231.2537899892917,1.6192073536352853,3083.2432547919425,86.80984087884855,82.83037543265272
WS_000010,221,326.2924408230392,2.559765821826352e-12,50.0,Thermal_Fatigue,317.78844008019627,1.168226731265253,237.63579566182904,74.14159083353181,86.51949827424974
WS_000011,1010,403.8755205521775,6.299909538842977e-12,50.964731855547775,Thermal_Fatigue,309.38014281821916,1.8565323848812216,864.9429873320762,81.88688637607521,91.13189779279139
WS_000012,907,695.1191234126785,7.914857674470716e-12,61.80887008825437,Crack_Propagation,196.31647992881392,2.468346538813295,955.6245755654327,30.10661642692205,82.99508988696059
WS_000013,100,232.96155281044014,2.1977620311852446e-11,52.64933322038412,Thermal_Fatigue,128.49586096181739,1.0728109046322627,107.11169191373497,52.81643184212737,64.69269626927404
WS_000014,1085,851.1908558742606,8.201981025361856e-12,50.0,General_Degradation,56.20858176293048,1.1330234546003184,1249.0198154463292,63.300247453728545,71.52112466105388
WS_000015,241,320.9741109334326,3.455461165974747e-11,50.0,Thermal_Fatigue,133.89462332339411,2.5815762950779146,208.83447616654908,42.57367591162691,68.47347689326281
WS_000016,5083,682.1680884514781,1.6199732693310352e-11,64.97567385796798,Crack_Propagation,194.41741079007238,3.4134184030041452,4506.851284336295,60.252475616513195,83.06291807013716
